v_lowestBiostratigraphicZone,reps
Horizon F1a,1
"Rancholabrean, Early; Irvingtonian,  Late",1
Chonetes,1
Pleydellia lotharingica,1
Perisphinctes cautisnigrae,1
Ctenopyge affinis,1
Bryozoan - Archimedal layer,1
Monodiexodina sutchanica,1
"Offaster pilula Zone, Echinocorys scutata var. cincta Subzone",1
Bridger A,1
"Gonioteuthis quadrata Zone, Gonioteuthis quadrata Subzone",1
Altonian Sands,1
N16/17 Zone,1
H. aragonensis Planktonic Foraminiferal Zone,1
Djetis Beds,1
Prionocyclus percarinatus,1
centrifugus graptolite Biozone,1
Sabellidites,1
Anahoplites intermedius Subzone,1
Zone à Bucklandi ; Sous-zone à Bucklandi ; Horizon à Bisulcatus,1
Beyrichoceras (B2) zone.,1
Polygnathus asymmetricus,1
Scrinodinium crystallinum,1
Above Number 7 Coal,1
Hemphillan ?; Blancan ?,1
E. hoffi Subzone,1
Favositid - Pleurodictyum bed of Wanakah,1
Lioceras opalinum,1
Td Zone,1
"E Zone, E12 Subzone",1
Tapinocephalus Zone,1
Acacia,1
Zone NP.13,1
Bispathodus stabilis stabilis,1
"G. insueta Planktonic Foraminiferal Zone, to G. bisphaericus Planktonic Foraminiferal Zone",1
(Cardioceras densiplicatum,1
Siemens,1
Katroliceras katrolensis,1
"G. insueta-fohsi Planktonic Foraminiferal Zone, to G. barisanensis Planktonic Foraminiferal Zone",1
Zone à Serpentinum ; Sous-zone à Thouarsense,1
Sous-zone à Variabilis,1
D1390,1
"C Zone, C2 Subzone, Zone S1",1
Conodont Zone,1
Brodieia gradata,1
Ashgill Shelly zone 6,1
Opalinum–Propinquans,1
coronatum Zone,1
Jensen,1
White River Group; Oreodonzone,1
"Sous-zone à ""Berrense""",1
P13,1
Siemiradzkia aurigera,1
"Devonian Stage, G.g.2",1
Echinalosia discinia,1
Zone à insigne ou thouarsense,1
B2,1
C Coral-Brachiopod Zone (Cleistopora),1
N. arenosus Zone,1
Zone à Opalinum ; Sous-zone à Bifidatum ; Horizon à Crassicostatum,1
Kelloway Rock,1
M. breviporus Zone,1
"Racnholabrean, Early",1
sowerbyi,1
"Alveolina stipes Zone (Ta3), Local Zone 7",1
Olcostephanus laticosta,1
Upper G. insueta Planktonic Foraminiferal Zone,1
Pentamerus Limestone Horizon,1
Aphanaia lima,1
"Tf, 3",1
Epilaugeites vogulicus,1
NPD 7Bb,1
50 feet above beds with solid fossils,1
Parkinonia compressa,1
White River Group,1
MP19,1
P. beppensis Zone,1
Zone à Bifrons ; Sous-zone à Sublevisoni ; Horizon à Tethysi,1
Subfengshanites multiformis,1
Rancholabrean; Cf,1
Porifera - Prismodictya prismatica colony,1
Rotalia cushmani,1
Aon Zone,1
Chalk Marl,1
Fusulinella Stricta,1
"BACULITES BACULUS ZONE, UPPER/ BACULITES GRANDIS",1
"Petteroceras feisti Zone, Section E",1
"Chadronian, Orellan or Whitneyan",1
"Grammoceras thouarsense Zone, Grammoceras striatulum Subzone",1
"E Zone, E6 Subzone",1
"Baculites grandis zone, Lower part",1
Nerinea thompsonensis,1
Costapolygnathus costatus-Tortodus australis,1
plicatilis Zone,1
Brastovian,1
Pseudopolygnathus granulosus,1
L. polyseptus,1
Dorsoplanites ilovajskii,1
zone 2,1
Symphsurina Zone,1
Missisquoia Zone (Zone A),1
Lower Chester,1
Baculites pseudovatus zone,1
Cranocephalites borealis,1
P. Zone,1
Untian,1
Kunda Level,1
"Kansan, pre-glacial",1
Zone à Dispansum ; Sous-zone à Gruneri,1
Zone à Bifrons ; Sous-zone à semi-politum,1
Crassicollaria,1
Rancholabrean; Late,1
Praeoxyteuthis pugio,1
Eodicynodon or Tapinocephalus Assemblage Zone,1
Micraster levis,1
Metoicoceras gourdoni,1
Just Below Upper Nodular Layer,1
Rasenia cymodoce-Aulacostephanus euxodus,1
Prionoceras vetus,1
Marsupites Zone (Uintacrinus Subzone),1
Arctoceras blomstrandi,1
Ris Wurm,1
Laticephalus-Erbiell,1
Ogygopsis Zone,1
Zone à Bifrons ; Sous-zone à Bifrons ; Horizon à Semipolitum,1
Eumorphoceras pseudobilingue,1
obductum Subzone,1
Globorotalia opima opima Zone,1
Zone N.1 = Zone P.21,1
Sowerbyi,1
Wasatchain,1
14-15,1
Ostrea overwegi Zone,1
G. ruber zone,1
Zone à Athleta ; Sous-zone à Treezense,1
Paradoxides groomi,1
Sabaudiella riverorum,1
Cyclolobus kullingi,1
Hoploscaphites melloi zone. middle high,1
Tretaspis kaiaeri,1
Baculites gregoryensis  zone,1
P. aspex Zone,1
C. turneri,1
BVE zone,1
Echinocorys sphaericus Zone,1
GLOBIGERINA DISSIMILIS,1
Zone à Margaritatus ; Sous-zone à Gibbosus ; Horizon à Ugdulunai,1
SIPHONOGERINA BASISPINATA,1
Baculites sp. (smooth) - Baculites perplexus,1
Zone 23,1
Recent,1
Bed 16,1
Post-Wisconsinan ?,1
Orthorhynchula Zone,1
Transitans,1
Sous-zone à Gibbosus,1
Quasiendothyra communis - Quasiendothyra regularis,1
"Bradfordensis Zone, Gigantea Subzone",1
Mariella (Wintonia) brazoensis,1
"Wa-M, Red Hot local Fauna",1
"Unterkarbon II: Pericyclus-Stufe, Kohlenkalk hellgraue Mergelkalke",1
Stone Coal,1
Hesperorthis laurentia,1
Holaster globosus Zone,1
Trilobite Zone H,1
Zone N.3,1
Crinoid - Cyclocrinites beds,1
Ammonites parkinsoni Zone,1
P. obsoletus Zone,1
FC zone,1
GLOBOROTALIA OPIMA OPIMA,1
"Honey Creek, Bed # 7",1
Albian,1
Amaltheus viligaensis,1
Sutneria subeumela,1
Ludwigia murhisonae,1
Conochitina hirsuta-Lagenochitina sp. A,1
MP 24 ?,1
Ceratites spinosus,1
Oxytropidoceras carbonarium,1
Megistaspis armata,1
Protrachyceras seimkanense,1
MN1-MN2,1
Micraster grimmensis/ Cardiaster granulosus,1
Pectinid bed,1
Aquitanien,1
Zone à Edoxus ; Sous-zone à Caletanum,1
"Interstadial Of Wisconsinan ? Or Aftonian ? 50,000 Yrs Bp",1
Drakeoceras drakei,1
Megistocrinus zonule,1
Streptognathodus cancellosus,1
Capricornus,1
Cardium pellati Zone,1
Weilersbach Horizon,1
Danville Coal (Coal #7),1
Horizon Yz5,1
Flesten-Niederohe Horizon,1
Globorotalia lobata lobata Zone,1
Irvingtonian; Yarmouthian section,1
Hunsruckschiefer,1
Craw Coal,1
UVIGERINA COCOAENSIS,1
Mamet 19,1
Yunnanaspis-Yiliangellau,1
"P5 Planktonic Foraminiferal Zone, to P6 Planktonic Foraminiferal Zone",1
Sparnacian,1
Neocavia depressidens,1
C Zone,1
Simbirsites variabilis Zone,1
"Irvingtonian, Late; Rancholabrean, early",1
Bed No. 8,1
Acerocare Zone,1
Mammal - Pyrotherium beds,1
inversum Zone,1
Protogrammoceras nipponicum,1
anglica Zone,1
Preglacial,1
"N3 = P22, Globigerina ciperoensis ciperoensis Zone",1
Karakaschiceras inostranzewi,1
Ptychagnostus praecurrens,1
Garniericeras catenulatum,1
VCo spore,1
Halobia Shale,1
Lower Greensand,1
Rafinesquina,1
Zone N.16/17,1
Kisselovia reticulata Assemblage Zone (LC-3),1
Protrachyceras hispanicum,1
Rhynchonella pleurodon,1
"Baculites eliasi zone, apparently",1
pilaticus,1
Bishop's Scaphite zone,1
Dorsoplanites ilovaiskyi–D. maximus,1
Baculites obtusus-Baculites maclearni,1
cruritus Subzone,1
jasoni,1
Aulopora Shale,1
"Division 1, Band B",1
Bolivina obliqua Zone,1
Zone à Variabilis ; Sous-zone à Thouarsense,1
Trinil Level,1
"N14 Zone 'Globorotalia mayeri' zone of Bolli 1957, 1966",1
Caloosahatchee Formation,1
jason,1
Vavilovites meridialis,1
Holaster subglobsus Zone,1
Pampean; Middle,1
horizon with Inoceramus sulcatus,1
Aulopora Zone,1
P6,1
Mediterranean zone MPL 3,1
Zone à Margaritatus; Sous-zone à Gibbosus,1
Homolsomites packardi,1
pontai Zone,1
Salem Limestone,1
Pachydiscus (Pachydiscus) neubergicus,1
Neocucullograptus kozlowskii,1
"one P. 22, Zone N. 3",1
Ornamentaspis frequens,1
Mauer Sands,1
Tortonian,1
Ambites lilangensis,1
Lower Act Zone,1
"Hybonoticeras beckeri zone, Sutneria subeumela subzone",1
"Minkina LF, Zone A",1
Strophomena zone,1
"Baculites eliasi zone, Top of",1
"Bed 1 of Weller, 1900",1
Ammonoid - Lower Anasibirites bed,1
Echinosphaerites Limestone,1
6a,1
Cordatum Zone,1
G. stainforthi Zone,1
Barstovian; Lower,1
Baculites compressus? zone,1
Puerco,1
Steinheiman,1
Oxytoma-Mytilus,1
Balcombian,1
Zone à Bimammatum ; Sous-zone à Hauffianum,1
Huayqueirian,1
Macrocephalites herveyi,1
Bartonian; (bartonian),1
oregonensis,1
Zone N.5/6,1
Pseudofusulina verneuili Zone,1
Ozarkian,1
Symphysurina zone,1
"Baculites eliasi zone, Upper level",1
Bed 20,1
#7 Coal,1
Bed 11,1
Climacograptus pygmaeus-Paraclimacograptus manitouilensis,1
Ar3/4-He1,1
NP14a,1
Parkinsoniidae,1
ONNIELLA-ZYGOSPIRA,1
Zone à Davoei ; Sous-zone à Figulinum,1
Schoharie Grit,1
Bivalve - Daonella dubia beds,1
N4/5  Zone,1
Serotinus Zone,1
beckeri,1
Chonetes carinata Subzone,1
M. cortestudinarium Zone base of M. coranguinum Zone,1
Aulograptus cucullus Zone,1
Metoicoceras geslinanum,1
NN 12 Zone,1
Hemithlaeus kowalevskianus – Taeniolabis taoensis Biozone,1
Sardaspis Zone,1
Rusophycus parallelum,1
NP 23 Zone,1
Zone2,1
Proceras Channel Sandstone,1
Baculites grandis zone?,1
Ilowaiskaya pseudoscythica,1
Sigaloceras enodatum,1
Bryograptus kjerulfi,1
Baculites reesidei zone |  HIGH,1
Petasobairdia bidentata,1
"Stephanoceras humphriesianum, Teloceras blagdeni, Bj-18 Teloceras blagdeni",1
Gymnostomix gibbsii,1
Sous-zone à Variabilis ; Horizon à Variabilis,1
Parapopanocers beds,1
Vavilovites compressus,1
Sous-zone à Luciaeformis,1
zone 23,1
Bathyuriscus fimbriatus,1
Didymoceras nebrascense  |  Baculites baculus zone,1
Zone à calloviense,1
Monterhermosan,1
CIBICIDES PERLUCIDUS ZONE,1
Jeletzkytes nebrascensis Zone,1
Ensenadan; Lower Pampean,1
Orbitolina bed,1
"Stoliczkaia dispar  Zone, A. (S.) briacensis Subzone",1
Cynognathus,1
Timansky Horizon,1
Asaphus Limestone,1
Black River Stage,1
Dolerolenus aff. coutessolei,1
Baculites cpmressus | Baculites cuneatus zone,1
Anaucarense,1
"Zone N. 2, = Zone P. 21, or N. 3, = P. 22",1
Agassiceras,1
Lunata,1
Mariatheca tumefacta,1
Subbotina trinidadensis,1
Kepplerites mclearni,1
Girvanella Band,1
