v_lowestBiostratigraphicZone,reps
Zone à Spinatum ; Sous-zone à Apyrenum,1
Lower Chester Group,1
Nyalamitse angustecostatus,1
Uintan; Early,1
MP 12–13,1
"Amaltheus margaritatus, Amaltheus stokesi",1
Spiroplectammina,1
Uddenites Zone,1
Horizon Chc11,1
Zone à Thouarsense ; Sous-zone à Thouarsense ; Horizon à Fascigerum,1
Scaphites hippocrepis II,1
N5/6  Zone,1
Unit 1,1
Bed No. 6,1
Polygnathus communis carina,1
Globorotalia kugleri Zone,1
Cistecephalus or Daptocephalus Assemblage Zone,1
"E Zone, E7 Subzone",1
Protosphyraena perniciosa,1
Wagnericeras,1
sunrisensis,1
LeGrand,1
Unter Filurger hiebe,1
Wisconsinan; Middle; Port Talbot Interstadial,1
"Parahoplites nutfieldensis Zone, subarticum Subzone",1
Brooki,1
Pleistocene Gravels,1
Brachiopod - Spirifer bed at top of formation,1
Kachpurites fulgens,1
Rancholabean ?,1
N9,1
elegantum,1
P12,1
O. pilula and G. quadrata zones,1
Cedaria prolifica,1
Turrilites costatus Zone,1
Ochetoceras canaliculatum Zone,1
"E Zone, E5 Subzone",1
Actinocamax plenus,1
Cleoniceras mangyschlakense,1
Zone à Spinatum ; Sous-zone à hawskerense,1
Schleit-Weilersbach Horizon,1
Erycitoides howelli,1
Kosmoceras jason-Cardioceras cordatum,1
"Hoplites dentatus Zone, Lyelliceras lyelli Subzone",1
NN 20 Zone,1
Axinolobus quinni - Coral,1
Anthraconauta phillipsi Zone,1
Zone P. 2,1
N7–N12,1
N.18,1
G. borem Zone,1
Kawvian Series,1
Zone à Douvilleiceras mammilatum,1
Unit 12,1
Ozarkodina scanica Subzone of the Ozarkodina snajdri Zone,1
Watina coloradoense Zone,1
Lytoceras jurense Zone,1
Arabica-Shirbuirnia,1
Ar1-Ar2,1
Globigerina ampliapertura \Zone P20,1
Clarendonian; Early; Burge Sands,1
Eodindymene pulchra Zone,1
"Echioceras raricostatum Zone, Crucilobiceras densinodulum Subzone, Edmondi Zonule , [Sn56-lymense] Biohorizon",1
rex Planktonic Foraminiferal Zone,1
Actinocamax plenus Subzone,1
spinosus zone,1
G. lobata Planktonic Foraminiferal Zone,1
Araucanense,1
Ensenadan ?; Pampean ?,1
Climacograptus pygmaeus - Amplexograptus manitoulinensis,1
Marble Hill Beds,1
"Irvingtonian, Earyly; Blancan, Late",1
Bed No. 5,1
"Kansan, Pre-glacial",1
zone 21,1
"B Zone, B3 Subzone",1
Eodicynodon,1
Stephanoceras blagdeni Zone,1
Above Coal #4,1
Bukowskii,1
G. ampliapertura Planktonic Foraminiferal Zone,1
Prionocyclus macombi zone,1
obrucevi,1
Zone P.43,1
"Rancholobrean, Early",1
Villafranchian,1
kugleri Planktonic Foraminiferal Zone,1
Zone à Hypselocyclum,1
Bonnia-Olenllus,1
M6-M7,1
Polyptychites keyserlingi,1
Orthoceras boreale,1
jamesoni-spinatum,1
"""Silicified Subcarboniferous Beds.""",1
Tenaculite Limestone,1
Itaboraian or Riochican,1
Nereites Beds,1
Zone à Obtusum,1
Horizon à Semipolitum,1
Cistocephalus Assemblage  Zone,1
Gonioclymenia hoevelensis,1
Ammonites angulites,1
Calycoceras naviculare,1
Aseri Horizon,1
Nine-inch Coal,1
Zone B1,1
Zone à Transversarium ; Sous-zone à Schilli ; Horizon à Subschilli,1
Zone 24,1
Uintacrinus westfalicus,1
Opheoceratites evolutus Zone,1
Crinoid bed,1
Ptychagnostus atavus / Euagnostus opimus,1
Acheulean,1
member 2,1
Presumatrina schellwieni,1
Triassospathodus homeri,1
Chardronian,1
BULIMINA CARMENENSIS,1
Ogre Horizon,1
PALEO_MN 12,1
Whitreyan ?,1
Eurekia apopsis,1
Exogyra ponderosa and Exogyra costata Zones,1
Zone à Orthocera,1
Zone à Angulata,1
Zone NP.16,1
Pectinatites hudlestoni Zone,1
Altonian or postglacial,1
Libycoceras afikpoensis,1
Unit 13 or 14,1
"Zone à Gracilis, Sous-zone à Grossouvrei",1
Zone 2B,1
Lycopodiopsis derbyi,1
Bed 9,1
Aphanaia korkodonica,1
Harrison; Lower,1
Zone à Furcata,1
bucklandi,1
"E Zone, E14 Subzone",1
Elvinia biozone,1
Zone à Semiforme : ou,1
Fusulinella biconica Zone,1
MP11,1
Bacultes compressus zone,1
Wagnericeras arbustigerum,1
"Zone à Bifurcatus, Sous-zone à Grossouvrei",1
Ozarkodina sagitta rhenana Subzone 3,1
FUSULINELLA,1
Palmatolepis punctata Conodont Zone,1
Sporadoceras orbiculare,1
Dzhulfites nodosus,1
aalenis,1
"N4, 'Globorotalia (T.) kugleri' zone of Bolli 1957, 1966",1
Belemnitella junior Zone,1
Virgiana decussata,1
Grammoceras thouarsense,1
Metatissotia ewaldi,1
MN2b,1
Sandwich beds,1
Beneckeia buchi,1
Oxyteuthis lahuseni,1
Lower bilineatus Zone Faunal unit 9,1
Zone N.16-18,1
Porocyathus squamosus - Botomocyathus zelenovi,1
Angulatum Zone,1
Kingites davidsonianus,1
"Hoplites dentatus  Zone, Hoplites (Isohoplites) eodentatus Subzone",1
Psilomya lissoni,1
Rupelian; Meeressand,1
Microderoceras birchi,1
N5  Zone,1
Mamet 20,1
Hoploscaphites melloi zone. Mid Low,1
Ptychaspis Zone,1
Inoceramus lamarcki,1
"Lower Burlington, White Chert",1
Mortoniceras equidistans,1
Phenacodus-Ectocioni Zone,1
NP 25,1
Psalikilus pikum,1
Pseudostrophalosia ingelarensis,1
Zone à anceps,1
"Irvingtonain, Late",1
Altonian ? Glacial,1
Novakia elegans,1
Zone N.17-18,1
Everticyclammina virguliana,1
Zone à Davoei ; Sous-zone à Figulinum ; Horizon à Figulinum,1
Decipiens,1
[Mammites nodosoides or Colligniceras woollgari,1
Zone à Planula ; Sous-zone à Galar ; Horizon à Grandiplex,1
Lesuerella,1
Zone NP.7,1
Orellan; Whitneyan,1
Streptognathodus bellus,1
spasskensis Subzone,1
"Nollenbach Horizon, Bohnert Subhorizon",1
Unit 2,1
Miogypsina (Miogypsinoides) formosensis,1
Zone à Jukesbrownei,1
Ammonites varians Zone,1
Uintacrinus socialis,1
"Baculites baculus | Baculites grandis zone, closer to grandis",1
Langebaanian,1
Siemensi,1
Nicomedites yohi,1
Beaumont seam,1
jukes brownei,1
"O Zone, O2 Subzone",1
P. Wurm,1
Acanthoceras rotomagense,1
Araneograptus pulchellus,1
Biostrina nipponica,1
Globotruncana gansseri zone,1
6b,1
Globorotalia menardii menardii/Globigerina nepenthes Zone (Blow 1959),1
Cyclora Zone,1
Asymmetricus Zone,1
"Baculites grandis zone, Lower",1
"Bed 3, Ranine section",1
Rassettia magna,1
Faunal Zone D,1
Anadara zone,1
"C Zone, C1 Subzone, Horizon Gamma",1
Hoploscaphites melloi zone. High top,1
Nathorstites maclearni,1
Polygnathus hemiansatus - Polygnathus varcus,1
Strophorella hybrida Zone,1
Macrocephalus Zone,1
Dinorthis retorsa bed,1
Sphaeroschwagerina moelleri-Pseudofusulina fecunda,1
N4  Zone,1
Cyprina brongniarti,1
Trilobite - Lowest Paradoxides davidis beds,1
verchojanicum,1
member 4,1
Sangamonian or Altonian,1
Streptognathodus praenuntius,1
Beudanticeras affine,1
Djetis Level,1
A. barroisi,1
Portage Sandstone,1
"E Zone, E3 Subzone",1
Subprionocyclus percarinatus,1
Subdivision C,1
Yarmouthian ?; Kansan ?,1
Zone P.17,1
Tropaeum bowerbanki,1
G1?,1
Mobergella-Schmidtiellus mickwitzi(?),1
Epiczekanowskites gastroplanus,1
Zone à Niortensis ; Sous-zone à Baculata,1
Chapadmalalan ?,1
forbesi,1
Hoelderi,1
Couche à gasteropodes,1
Am. raricostata Zone,1
Pterospathodus amorphognathoides amorphognathoides,1
Macrocephalites semilaevis,1
Anceps,1
Macrescens,1
ldiognathodus medadultinus,1
Chonetes striatellus Zone,1
Pre-glacial ?,1
Microphalites clydocromphalus,1
Laugeites groenlandicus,1
TF3 or TG (Forams),1
anceps zone,1
Shale 1c,1
Kansan Clays,1
Oxynotum Zone,1
Lepidocentrus Zone,1
Member 5,1
LaSalle,1
Zone à Dentatus,1
Emileia sauzei,1
Sous-zone à Gracilis,1
Zone P.21,1
Upper Pentamerus,1
Streptognathodus isolatus,1
Deshayesites,1
Bryozoan - top of the Rhinidictya bed,1
Xenarthra,1
Costicardia,1
planktonic foraminiferal zones N8 to N9,1
Horizon à Jason,1
Astaracian ?,1
mid. Wisconsinan,1
Tsinania,1
G. kugleri Zone,1
Zone à Mariae ; Sous-zone à Praecordatum,1
Camarozonotrileteses-sextantii,1
Cadomites bremeri,1
"C Zone, C2 Subzone, Chonetes cumbriensis band",1
Barstovian-Clarendonian,1
Crassicolaria massutiniana,1
Ostrea percassa Zone,1
Gough's Cave mammal assemblage-zone,1
Subpulchellia oehlerti,1
Anahoplites intermedius subzone,1
Maedleriella embergeri Zone,1
NP24-NP25,1
Bolaspidella Assemblage,1
Troosticrinus Zone,1
Stage F.f.2,1
Tentaculite Limestone,1
Semicostatus,1
Gonioteuthis quadrata,1
Didymoceras zone,1
Naviculopsis constricta,1
Didymoceras cheyennense | Spyroxybeloceras meekanum zone,1
MP15 and MP16 Zone,1
granti,1
"Witchellia (Witchellia) Laeviuscula, Witchellia (Witchellia) Laeviuscula, Bj-9 Witchellia ruber",1
"K Zone, K2 Subzone, Horizon Beta",1
P14-P15,1
Gowericeras subitum,1
Trilobite - Metacryphaeus caffer  (Salt) zone,1
tuaskyiceras Zone,1
Primocostatum,1
Franconites vimineus,1
G. opima opima Planktonic Foraminiferal Zone,1
Ensanadan,1
Cladiscites multilobatus,1
Clarkina postbitteri,1
Engelmans bed,1
Zone à Thouarsense ; Sous-zone à Thouarsense,1
Chasicoan ?,1
Protoceras Channel Sandstone,1
Zone à Enodatum ; Sous-zone à Enodatum?,1
"Alveolina stipes Zone (Ta3), Local Zone 8",1
Ostrea expansa Zone,1
crispus - grestonensis,1
LE Miospore Biozone,1
"Quenstedtoceras mariae Zone, praecordatum Subzone",1
Paraclimacograptus manitoulinensis-Mesograptus triangulatus,1
Alterbidinium acutulum dinoflagellate Zone,1
P. wurtembergia Zone,1
Zone N.23,1
Beedeina akiyoshiensis zone,1
Hoplitoplacenticeras vancouverense,1
Unterkalk,1
NP19/20,1
Cunningtoniceras cunningtoni,1
Thouarsense,1
Streptognathodus nevaensis,1
Stompian; Upper,1
Pleurodictyum Beds,1
Bloody Run Zone,1
Tentaculite limestone,1
Tiffanian; Late,1
Kashpurites fulgens,1
Nesschwagerina,1
M. janierestense Zone,1
Zone à Eudoxus ; Sous-zone à Caletanum ; Horizon à Yo,1
Perisphinctes andium,1
Level A3.3,1
P. kaerimizensis Zone,1
Early postglacial ?,1
Bullion Mine Marine Band,1
Bushberg-Hannibal Horizon,1
"Goniatites globostriatus Assemblage Zone, Subzone B2b",1
Upper subterminus,1
Onymagnostus hybridus Zone,1
Sphenoceramus schmidti,1
oxynotum,1
Scaphites depressus zone ?,1
Zone P. 8b,1
Polyzoa Zone,1
P. planorbis Zone,1
Horizon YE12-4,1
Goniates greencastlensis,1
Palmatelopis hassi- Palmatelopis jamieae,1
P19-P20,1
Hoplites Deshayesi,1
Cernausian,1
Catapsydrax stainforthi Zone (N6),1
Blancan Or Irvingtonian; Early,1
Ophiceras,1
Upper Refugian,1
"Irvintonian, Early",1
"Hoplites dentatus  Zone, Lyelliceras lyellii Subzone",1
"Irvingtonian, Late; Rancholabrean; Early",1
Phacops fecundus Zone,1
Hoplites,1
Zone NN1,1
Nowakia barrandei - Nowakia elegans,1
Sous-zone à hawskerense,1
Bathyuriscus–Ptychoparella,1
Presimoceras acanthicum,1
Manticoceras Zonule,1
Chinji,1
Reticularia inconsueta zonule,1
pseuaocordata,1
Eupatagus rostratus,1
"IV (Christopher, 1982)",1
Parafusurina,1
Zone à Opalinum ; Sous-zone à Comptum ; Horizon à Lineatum,1
Kolymia inoceramiformis,1
Zone à Illustris,1
Jinogondolella postserrata,1
Nummulites fabianii and Pellatispira tudensis Zone,1
Campanian,1
Propinquans,1
"Blancan,",1
Monograptus bouceki,1
Grey Bull Horizon,1
Tf1-Tf4,1
Irvingtonian Or Blancan,1
Bryozoan Bed,1
Discites Zone,1
Stenothecoides,1
Garantiana tetragona,1
18 inch layer,1
Deese,1
Wasatchian; Eohippus Zone,1
Jamesoni,1
Mesopotamian,1
Reticularia inconsueta,1
Retrosirtra carleyi Zone,1
Lesperditian Bed,1
Dunbarella level,1
Bed #3,1
Tropites welleri,1
Iotaapsis Zone,1
Sphaeroschwagerina subrotunda,1
"shale and limestone ""of the age of the Hamilton Group.""",1
Richmond Fish,1
Idiognathodus sinuosis,1
Stage F.1,1
Coilopoceras requienianum zone,1
Paragondolella bifurcata,1
"E Zone, E4 Subzone",1
Parkinsonia doneziana,1
"Devonian Stage, G.g.1",1
Pseudomonoclimacis latilobus,1
Ammonite Zone,1
Horizon JW,1
ZigZag/Aurigerus,1
"E Goniatite Zone, E1c Goniatite Subzone",1
"Emileia (Otoites) sauzei, Sonninia patella",1
"Baculites baculus | Baculites grandis zone, probably",1
Ogygopsis shale,1
Morocconus notabilis Zone,1
"Hemingfordian,mid",1
"H Zone, H2 Goniatite Subzone, Hudsonoceras proteum-Homoceras smithi Bullion",1
"Arnioceras semicostatum Zone, Coroniceras rotiforme subzone",1
micrornatus–newportensis,1
lower Metapolygnathus nodosus,1
Irvingtonian; Rancholabrean,1
Wasatchian; Lostcabinian Substage,1
Irvingtonian ?; Yarmouthian section,1
Nostoceras rugosum,1
Mongolosia russiensis,1
Pa. postera to Pa. expansa,1
Torrejonian; Late,1
Daonella dubia zone,1
Declinognathodus noduliferus,1
Lithacoceras ulmense,1
Lower Tf Zone,1
Level A4.2,1
Petalocrinus Limestone Horizon,1
Alveolina? munieri zone,1
probably between the Lissieu and Castrais levels,1
Unit 10,1
Meekoceras boreale,1
Lootsbergian,1
Echioceras raricostatum,1
Colpocoryphe grandis Zone,1
Clarkina longicuspidata,1
"R Reticuloceras Zone, R1 Reticuloceras Subzone, Reticuloceras circumplicatile Bullion",1
Lepidocyclina undosa Shale,1
Clyconiceras discus zone,1
Pseudonendthyra copiosa,1
CP10-CP12A,1
Merchantrille Clay,1
Pectinatites wheatleyensis,1
MFZ7,1
Pseudoceratium ludbrookiae,1
G. fohsi robusta Zone,1
Tovulosus Zone,1
Monograptus riccartonensis,257
kockelianus,257
Kosmoceras jason Zone,257
To IV to To V,2
Baculites baculus | Baculus grandis transition zone,2
subrobustus,2
G. ampliapertura Planktonic Foraminiferal Zone.,2
Clarkina changxingensis-deflecta,2
"(S. Weller, 1900, bed no. 5).",2
Neogestroplites haasi,2
Zone à Variabilis ; Sous-zone à Illustris,2
G. fohsi robusta Planktonic Foraminiferal Zone,2
Black Shale,2
Zone à Aalensis ; Sous-zone à Mactra,2
Abatomphalus mayaroensis,2
MN 7+8,2
T. bruenichi Zone,2
Lyticoceras nodosoplicatum,2
Puerco Formation,2
Mobergella holsti,2
"N15 Zone 'Globorotalia menardii' zone of Bolli 1957, 1966",2
Horizon Jm35,2
Siphonodella Conodont Zone,2
Littleton Substage,2
Zone N.18a,2
bidentata,2
Prionoceras jeranense,2
Cypridea posticalis,2
"Leymeriella tardefurcata Zone, acuticostata Subzone",2
Missisquoia Zone,2
Globigerina klugeri Zone,2
"Douvilleiceras mammillatum Zone, Leymeriella regularis Subzone",2
Menabites delawarensis,2
"Devonian Stage, G g1",2
Zone P. 12/14,2
Horizon YE13-6,2
Terebratulina bourgeoisi Zone,2
Cleistopora Zone,2
"P Goniatite Zone, P2a Goniatite Subzone",2
NP 24-25,2
Nidulites Zone,2
Pavlovia pallasoides Zone,2
Pseudofusulina urdalensis,2
Bolaspidella *,2
Burlington White Chert,2
Zone V,2
Mayoan,2
Runctonia runctoni Zone,2
Hemicythere punctistriata zone,2
Plicatula ferryi- Crassotrea roachensis,2
Jura 3,2
Chadronian; Early,2
Platynota / Guilherandense subzone,2
"Cloud and Barnes subunit B-1, Bed 15",2
Eupachydiscus levyi,2
L. cynognathus Zone,2
demokidovi,2
Oxycerites aspidoides Zone,2
Subcolumbites perrinismithi,2
Ichangia-Neocobboldia,2
Tukalandaspis egens,2
Micraster coranguinum zone,2
Bactrognathus communis Zone,2
Murchisonae Zone,2
Zone Q.P.1,2
Palmetolepis punctata,2
semicostatum,2
Upper Barstovian-lower Clarendonian = Valentinian,2
2nd horizon,2
Zelerella hidalgoensis,2
Kilburn Coal,2
"Gonioclymenia Zone, Zone 5",2
hizunda Zone,2
Crozonaspis dujardini-Deanaspis seunesi,2
"Irvingtonian, Equus beds",2
Olenus wahlenbergi,2
Tetragraptus fruticosus,2
Nodular Zone; Channel Fills,2
Monograptus falcarius,2
Upper Pentamerus Zone,2
Dunbarula? sp.,2
Zone à Bifrons : Base,2
Pinacoceras verchojanicum,2
Witch Lake Marine Band,2
Bullion Coal,2
Damesella,2
SIPHOGENERINOIDES,2
Level A3.4,2
Carolinites nevadensis,2
transition hassi- jamieae,2
Assilina granulosa Zone,2
"Rancholabrean, Early Or Irvingtonian, Late",2
"Ta, 3",2
Traquairaspis pococki Zone,2
Horizon Jd5,2
Didymoceras cheyenennse zone,2
Hosselkus Limestone,2
"C Zone, C2 Subzone, Verejskii Horizon",2
? Tapinocephalus Assemblage,2
"Irvingtonian, Late Or Rancholabrean, Early",2
Tapinocephalus-Bradysaurus Assemblage Zone,2
NP14,2
Glacial,2
Unit G,2
"BACULITES BACULUS ZONE, UPPER",2
weissi Zone,2
Nicorella germanicus,2
Hughes Creek Shale Member,2
Blastoid - Lower Pentremital beds,2
G2?,2
Zone à Lamberti,2
Semicostatum,2
A. semicostatum,2
Strenoceras subfurcatum,2
"UC1 Biozone, b Biosubzone",2
Garantiana garantiana,2
Pseudofavrella angulatiformis,2
Cyrtograptus perneri,2
Baculites compressus | Baculites reesidei zone,2
Periarchus,2
sledoyochem Horizon,2
whiteavesi,2
Zone NN9/10,2
cf5 (base de la zone; Sous-zone cf4δ),2
Horizon E,2
Headonian,2
Lower E,2
spelae,2
Ozarkodina bohemica bohemica,2
Offaster marsupites and Offaster pilula,2
Sous-zone à Lallierianum,2
Jurassic,2
Malletoptychites kotchekovi,2
Dactylioceras commune,2
Crioceratites loryi,2
Gabbioceras wintunius,2
Zone P. 1/2,2
"Z Zone, Z2 Subzone",2
Parapopanoceras dzeginense,2
Alveolina Limestone,2
Clonograptus tenellus Zone,2
lower Epigondolella bidentata,2
Dydimograptellus bifidus,2
Seymourites,2
Nicoraella germanicus,2
Siphonodella-Polygnathus inornatus Conodont Zone,2
Idiognathoides sinuatus,2
Eognathodus sulcatus,2
UC1 Zone,2
Choctawites cumminsi,2
Sulcatospirifer Zone,2
Striatfera,2
P. ambigua Zone,2
D1/1,2
Ponceti Zone,2
Cyrtopleurites bicrenatus,2
Eumorphoceras girtyi,2
Assise 4,2
"Echioceras raricostatum Zone, Macdonnelli Subzone",2
Paroistodus horridus,2
Profusulinella primitiva,2
Olenellus hanseni,2
UC2 Biozone,2
Zone à Tenuicostatum ; Sous-zone à semicelatum,2
Schlotheimia marmorea Zone,2
Wetzeliella hampdenensis,2
Ernestokokenia,2
Monograptus flexilis,2
Primahalobia zhilnensis,2
Paragondolella bulgarica,2
ansatus- Upper hermanni,2
Deshayesites (Kuntziella) kuntzi,2
Zone à Cordatum ; Sous-zone à Bukowski,2
Baculites grandis zone 2,2
Gastrioceras cumbriense,2
Didymoceras cheyennense Zone,2
"Cynognathus Assemblage Zone, Subzone C",2
N19-20,2
Elvinia  Zone,2
Timbo Limestone,2
Atrypa waterlooensis,2
"Stoliczkaia dispar  Zone, D. perinflatum Subzone",2
Cypridea clavata Zone,2
Nevadella to Bonnia-Olenellus,2
Pavlovia rotunda,2
Flemingites beds,2
Uintacrinus,2
Elvina (Parahousia Zonule),2
Paraglossograptus tentaculatus,2
upper cordatum and transversarium,2
Zone à Thouarsense ; Sous-zone à Fallaciosum ; Horizon à Fallaciosum,2
tenuis,2
Hoeninghausia nalivkini,2
"R Reticuloceras Zone, R1a Reticuloceras Subzone",2
feraudianus,2
PARAFUSULINA,2
"pridoli zone, Grebany Horizon",2
Coal 6,2
Spitidiscus riccardii,2
P,2
Devonian Stage F.2,2
P2 (Upper Bollandian),2
Pleurodicttyum bed,2
St. Charles Zone,2
Zone à Gravesia ?,2
Vallesian,2
Zone E,2
Newyorkensis,2
Graybullian,2
Wellerites,2
"Blancan, Blanco fauna",2
Zone à Macrocephalites,2
Zone à Liasicus,2
Neodiversograptus nilssoni - Lobograptus scanicus,2
Hemphillian; Teleoceras Zone,2
Triticites simplex,2
Malletoptychites kotschetkovi,2
Holaster planus zone,2
"Arnioceras semicostatum Zone, Sauzeanum subzone",2
Variabilis,2
Baculites eliasi,2
Zone N 23,2
post-Solenopleuropsis,2
MFZ8,2
Eoplacognathus foliaceus - Baltoplacognathus reclinatus,2
Flesten horizon,2
Epigondolella mosheri,2
Palynological Subzone II-C,2
Columbites,2
Polygnathus lenzi,2
"Stage G,1",2
Zone 12,2
Cedar Valley Stage,2
Upper,2
S'2 ld3,2
MN 4,2
Pissotensis Zone,2
Horizon Beta,2
Actinocamax planus Subzone,2
Paraspiticeras groeberi Subzone,2
Perisphinctes effrenatus,2
nilssoni,2
Volviceramus grandis,2
Eokochaspis nodosa Zone,2
Avicula contorta Zone,2
Oppel Zone AB,2
Desmoscaphites erdmanni,2
Duchesnian,2
Inoceramus japonicus,2
Buchia tolmatschowi,2
Costicill,2
Eoparafusulina paralinearis,2
Nollenbach Horizon,2
"V Zone, V3b Subzone",2
Emileia (Otoites) sauzei Zone,2
latifossatus,2
"Mortoniceras (Mortoniceras) inflatum Zone, Hysteroceras varicosum Subzone",2
"Parkinsonia parkinsoni Zone, truelli Subzone",2
Spirifer cultrijugatus Zone,2
Wheatleyensis,2
Sous-zone à Patina,2
Taitzuia-Poshania,2
Woodland Point,2
Bed 5,2
polymorphus,2
"Alveolina ?dainelli-violae Zone, Local Zone 5",2
Protrachyceras,2
G. fohsi  fohsi Planktonic Foraminiferal zones,2
"NP23, NP24",2
Conaspis to Prosaukia,2
Orbitolina conica,2
?Metapolygnathus nodosus,2
"Westphalian, Westphalian B",2
Echinalosia prideri,2
Sonninia alsatica,2
Kansan; Yarmouthian ?,2
Holmia kjerulfi,2
Monograptus sedgwicki et M. involutus Zone,2
minutum,2
Cyrtina carbonaria Subzone,2
Xystridura Stage,2
S. hermanni,2
Zone à Angulata ; Sous-zone à Complanata,2
Zone N.18/19,2
Horizon Chc5,2
Alataucyathus jaroschevitschi,2
Zone à Transversarium ; Sous-zone à Parandieri ; Horizon à Parandieri,2
Rupelian,2
Upper Pseudooneotodus bicornis Zone,2
Archimylacris lubnensis,2
Cycle II,2
Zone à Murchisonae,2
"Ta, 1 Zone",2
Horizon A6,2
Echinalosia wassi,2
Sous-zone à Caletanum,2
Staurocephaus clavifrons,2
Baculites asperformis,2
Posidonia faunal Zone P1,2
The Stromglomerate beds,2
Vavilovites,2
"C Zone, C2 Subzone, Zone C3",2
Vercherites cf. pulchrum,2
Climacograptus normalis,2
"Follicucullus scholasticus Zone (Yao et al., 2001)",2
Hollinella schreteri,2
Neancycloceras phaleratum (Kg1),2
Zone à Davoei ; Sous-zone à Maculatum,2
Pinacites jugleri,2
Crioceratites diamantensis,2
medium-curtum zone Biozone MP 19,2
Onnia grenieri,2
Chuangiella,2
Bed No. 14,2
"F Zone, F1a Subzone",2
"Baculites clinolobatus zone, Lower",2
Hunanocephalus,2
Collina sp.,2
Pleurodictyon Bed,2
Dunderbergia Zone,2
enodis-laevigatus,2
SUBBETICA,2
Bergeroniellus micmacciformis,2
"Devonian Stage, F.f.2",2
mutabilis,2
Sphenospira julii Zone,2
koenigi,2
Vereysky Horizon,2
Claraia occidentalis,2
bimammatum,2
Profusulinella priscoidea,2
manflasensis,2
Damesella paronai,2
Micraster zone,2
Leptosocyathus polyseptus,2
Verkhojania kaschirzevi,2
F. lermontovae,2
Zone W5,2
Pycnodonte vesicularis,2
Triticites montiparus,2
PALEO_MN 13,2
regale Zone,2
annulatus-lindlarensis,2
GLOBIGERINA CIPEROENSIS CIPEROENSIS,2
"Belemnitella mucronata Zone, ""L""",2
Erixanium,2
C?,2
Rancholobrean,2
Upper VCo spore zone,2
Bed number 9,2
Misellina Zone,2
"V Zone, V3b Subzone, Burtersett Crinoid Bank B",2
Tissotioides haplophyllus,2
Inoceramus crispi,2
NN9 Zone,2
Edrio zone,2
crosbeyi,2
Acutimitoceras prorsum,2
sauzei Zone,2
Castlecliffian Horizon CU2a,2
Pseudotoites singularis,2
Horizon JW25,2
Daptocephalus Assemblage,2
Grandispora subzone,2
Trachyceras silberlingi,2
Horizon Chc4,2
Erismacocisnus fasciolus–Retecoscinus minutus,2
Streptognathodus firmus,2
Zone NN 14,2
variabilis,2
Upper Oolite,2
Pitocene beds,2
Belemnella occidentalis Zone,2
Member 7,2
Palaeolenus lantenoisi,2
Monograptus magnus,2
Jurrisac,2
Zone à Mutabilis ; Sous-zone à Lallierianum ; Horizon à Schilleri,2
Stage E,2
"Dumortieria levesquei Zone, Pleydellia aalensis Subzone",2
"UC11 Zone, c Subzone",2
Reticuloceras bilinguis,2
Cubitostrea sellaeformis,2
ASTERIGERINA CRASSAFORMIS,2
NP19-NP20,2
Kyrtomisporites - Porcelispora longdonensis Zone,2
Upper Te,2
Clarkina orientalis,2
Reuscholithus reuschi,2
Iranoleesia butes,2
Cladoceramus undulatoplicatus,2
Sanoissian,2
Climacograptus caudatus - Climacograptus morrisi,2
Globigerinatella insueta Zone,2
Brachiopod - Productus magnus Beds,2
Early crenulata,2
Pristiograptus parvus,2
"Cyclosporites hughesii, Crybelosporites striatus",2
"Lystrosaurus Assemblage, Procolophon subzone",2
Manticoceras cordatum Zone,2
Ushbaspis sp. 1,2
Sunnaginia imbricata,2
Aquitanian,2
Harpoceras falciferum to Hildoceras bifrons,2
"Bonnia-Olenellus, Bristolia",2
Nereites beds,2
Rasenia mutabilis zone,2
Zone IV,2
Orbitolites mantelli var theobaldi,2
Wa0,2
"H Homoceratoides Zone, H2a Homoceratoides Subzone",2
Divisaderan,2
Pseudosirenites obrucevi,2
Xenacanthus decheni,2
D. subdelaniei Zone,2
Arnioceras semicostatum/Echioceras raricostatum,2
Tulsky Horizon,2
P15,2
Castlecliffian Horizon CU3,2
"Arnioceras semicostatum Zone, Coroniceras gmuendense Subzone",2
Colania douvillei Zone,2
Montehermosan ?,2
Missiquoia - Corbinia apopsis,2
Blancan Or Early Irvingtonian,2
Gin Mine Marine Band,2
Irvingtonian; Kansan,2
Diaboloceras neumeieri,2
Zone à Subcontractus,2
"(S. Weller, 1900, bed no. 6)",2
Tetragraptus,2
Aa Zone,2
Kunda Horizon,2
NN9,2
"Belemnitella mucronata Zone, ""M""",2
"Acanthoceras rhotomagense Zone, Acanthocertas jukesbrowni Association",2
Gravesia gravesiana,2
Zone à Dispansum,2
Hemingfordian-barstovian,2
Misellina claudiae Zone,2
Acanhoscaphites tridens,2
Didymograplus hirundo Biozone,2
cu II ß/γ Zone,2
autissiodorensis,2
CIBICIDES PERLICIDUS,2
Zone N.3/4 = Zone P.22 (LowerTe),2
Lenodus pseudoplanus,2
Zone NN 2,2
Rhysostrophia Zone,2
PALEO_MN16-MN17,2
Hispidodontus resimus,2
G. teres Zone,2
Oolite Bed no. 6,2
Zone à Variabilis ; Sous-zone à Variabilis,2
Burlington Bed 6,2
Unit 26,2
Placoparia tournemini Zone,2
Actinopterella,2
Dufrenoyia dufrenoyi,2
Santacrucian ?,2
"Blancan, Late Or Irvingtonian, Early",2
Stigmatoa diloma-Glyptagnostus reticulatus,2
G2? (highly),2
Vyazniki Assemblage,2
