v_formation,reps
Croupes convexes; roche: Buem,1
TUXPAN FORMATION,1
ROBLEDO MOUNTAINS,1
Amminadav,1
Upper Dove ls.,1
Khao Taa Ngog,1
WILCOX SANDS,1
Rio Dell or Eel River,1
Kinderhook Limestone Formation,1
Kanzawa,1
Nasoni,1
GARBER FM.,1
Galliard,1
Kioroshi,1
Gonda Fm.,1
Freetown Limestone,1
Rewan,1
Lake Louise Shale,1
Kieselschiefer,1
Brookeville Coal,1
Floyds Knob,1
Cobleskill Limestone Formation,1
Upper Trias,1
Bytantay,1
Qiaotou,1
Miaokau,1
Kuldana Fm (Upper),1
Birmingham Shale Formation,1
Halla Oolite,1
Honerstown,1
SANDY FACIES,1
Duskin Creek Sh,1
Sur alluvons quaternaires,1
Coplow Reef Knoll,1
Chico Group,1
Kobana Fm,1
Narylkova,1
Mount Selma Fm,1
Chienquita Formation,1
Dawson Bay fm,1
Tully limestone,1
Boysen Formation,1
Tyvore Sh,1
Maple Hill Sh,1
MAYVILLE DOLOMITE,1
Ragland Ss,1
Kubota Fm,1
Sulphur Seam,1
Pachycardita-tuffe,1
Manta' Shale,1
Bannon Creek Formation,1
Two Medicine FM,1
Joaquin,1
Dictyoconus Bed,1
Brush Creek? Formation,1
Clifton Beds,1
Longhuashan,1
Manticoceras Schichten,1
Solenhofen Lithographic Limestone,1
Tsukuri-domari,1
Terrebonne Ls,1
Goat Seep Limestone,1
Bonneville,1
rosso Ammonitico,1
Putanska Goa,1
Mito Fm.?,1
Red Shale,1
Upper Deltaic,1
Saunders Formation,1
Sante Fe Marls,1
Lower Hildeborg,1
Loyola,1
Momijiyami,1
Kreyenhagen Sh Domengine,1
Copper Ridge,1
Salamanca Formation,1
Taylor marl (upper-20' above K Pg),1
Katrol Formation,1
Echinocyamus,1
Doberg FM,1
Maji-Ya-Chumvi,1
? Runningwater,1
Ash Hollow Formation; Cap Rock Member,1
Big Horn,1
Malm beta,1
Council Grove Formation,1
Corlian,1
Debris Dam,1
West River,1
Aniai Formation,1
upper Shanghu Fm,1
Purbeck,1
Cisco Clay,1
White Mound Formation,1
Markley Sandstone,1
"Brule Formation, Lower",1
Upper Mifune,1
Roche: quartzites de l'Atakorien,1
Dip Creek Fm,1
WATER CANYON FM.,1
AZUERO FORMATION,1
Blagdeni Schichten,1
Nacimiento Formation ?,1
Ruddell Sh,1
Sol: gley d'ensemble entre sable alluvio- colluvial à forte salure sur sable.,1
Tuscorora Quartzite,1
WITT SPRINGS FORMATION,1
Euphemia Dolomite Formation,1
Halobienschiefer,1
Kokozura Fm,1
Saint Joe Ls,1
Lower Table Head Formation,1
Chaffee Fm.,1
Bloomfield Sandstone,1
Bois Blanc,1
Pemque Fm,1
Weeks Fm.,1
Onid Fm,1
Leon,1
BO-LONG,1
Keuichulin,1
sur alluvion de rocher,1
"Oldman Formation, Belly River Series",1
Grand View Dol,1
Savel'evsk oil shales,1
Niobrara Chalk?,1
Concha Limestone Formation,1
Pole Creek Sh,1
Potatoe Sandstone,1
River Bend FM: Basal Bd,1
Bas de versant colluvinné;roche: Amphibolites,1
Wasatch Formation; Knight Member,1
Sol latéritique ou pierreux.,1
Earthquakes Marl,1
Karoo Formation,1
"""J"" sandstone",1
Bordeau Beds,1
Beaumont Fm.,1
Riverside Ss,1
"White River Formation, Titanotherium Beds",1
"Sol: argilo-sableux, gley d'ensemble sur argile alluviale à forte salure.",1
"White River Formation, Geodon Beds",1
Wasatch Formation; Grey Bull; Willwood,1
Calcaires à indusies,1
Dundee Fm,1
CATHEYS FORMATION,1
Bass Fm,1
Kegel Ls,1
Carriers Well,1
Duchesne River Fm,1
Sao Paulo,1
Merksem,1
Cincinnati Sh.,1
ESCONDIDO FORMATION,1
Safaniya,1
Burlington Limestone? Formation,1
C. johnstoni Beds,1
Newmarket,1
Spondylus Beds,1
Kaugatuma Fm,1
Shelikof Formation,1
Appollonia,1
Kanakura Formation,1
Grayson Sh,1
Metchosin Volcanics,1
Sauvigne sur Latham Fm.,1
Akasaki Fm,1
Beach Drift Fm,1
Quinto,1
Contra Costa,1
Hudspeth Fm,1
Miccosuckee Fm.,1
Snyder Creek Fm,1
Argana Formation,1
Calcaires lités ?,1
Caswell Bay Oolite,1
Volksrust Fm,1
Dirt Beds,1
"Brousse secondaire ""Terre de barre""",1
Tarratine,1
Stony Mountain Fm,1
Silica Shale Fm.,1
LeGrand Limestone,1
Cuirasse latéritique. Prairie,1
Middle Canyon,1
Bayport Ls,1
Tumbez,1
Kefar Shaul,1
Molasse calcaire et sablo-marneuse,1
WAVERLY,1
Chaochiashan Formation,1
Lully Foothills,1
Boca Chica,1
Urbana Formation,1
Llann-Mill Formation,1
Rockport,1
Croupes convexes; roche: Schiste de kantè.,1
Dvorce Ls,1
Beeston Chalk,1
Sables de Bruxelles,1
Scaglia Fm,1
Xiaoxiyu,1
Vila Maria,1
UNIONTOWN,1
Mandgrove Fm,1
Price (Pocono),1
"Unnamed (""Clarno"") Formation",1
Summerville Fm,1
Hume Formation,1
Dakota/Graneros,1
Reuchenette Formation,1
?Clinton Grp,1
Marnes à Natica,1
Lower Brown Limestone,1
Kurday,1
Berea Sandstone Formation,1
Cerro Fortaleza,1
Otsuka Formation,1
Frisbie,1
Navarro/Midway,1
Paluxy SS,1
Jim Creek Ls,1
DEER CREEK LIMESTONE,1
Santa Marta Formation,1
Lower Rincon Fm.,1
Turgin,1
SURFACE,1
MT. AUBURN/ARNHEIM FORMATIONS,1
Complejo Basal Transgresivo,1
Provencian,1
La Huerguina Limestone Formation,1
Waluba,1
Meisenheim Fm,1
Paramillos,1
Lower Gault,1
Emakwezini,1
Chapalmalerue,1
LOOKINGGLASS FORMATION,1
Calceola Stute,1
Jinetz Shale,1
West Falls,1
Sables de Marines,1
POMQUET,1
Chemung Rocks,1
Mishkinskaya,1
Zechstein 1; Kupferschiefer; T 1; Sequence Alpha,1
Vetlasyan,1
Honsel Beds,1
Entre Rios Fm,1
Moakou Limestone,1
Amba,1
Limon inondé,1
Mozo,1
Goblin Combe Oolite Formation,1
Miami Fm,1
Dreimuhlen,1
Carryville Fm,1
Marnes de la Maurine,1
Blue layer,1
Kaiso Fm,1
Goose Egg Fm,1
Andrews Mountain Quartzite,1
Glen,1
Ouchong,1
Koktui,1
MULDRAUGH FORMATION,1
"Arkona Formation, Hamilton Group",1
Roche : Schales,1
Taylor?,1
Ogoniorskay Formation,1
Washington Greensand,1
Baynshiree,1
Top of the world limestone,1
Rio Minko Fm,1
Furnas Sandstone,1
Margaritatus Clay,1
Watase Formation,1
Lysite Beds,1
Tahara Fm,1
Kubusugawa Formation,1
Misaka Fm,1
Brule Formation; Zone B,1
Dulankara Beds,1
Cojimar-Tingua,1
Burica Fm,1
DINOSAUR PARK,1
Sunblood Fm,1
Meadow Limestone Formation,1
Sardar Formation,1
Cockburn Island Formation,1
Kulyakhin,1
King Formation,1
Upper Oreodon Beds; White River Formation,1
Kisatibi,1
Fortuna (Lower) Fm.,1
Charlevoix Limestone,1
Parana Fm,1
Port Jervis Ls,1
Ichibangawa,1
Boyle,1
"Tranquille Beds, Kamloops Group",1
Sol: d'apport hydromorphe sur sables et argiles alluviales; alluvions atuelles.,1
Santa Rosa Beds,1
KIROROSHI FORMATION,1
YOREDALE LS,1
Izuruha,1
Cockfield Lignite,1
Taylor Marls,1
KNIGHT,1
Complanaten Mergel,1
Windsor Fm,1
Ulu Endu plantbearing beds,1
Olney,1
Beaumont Clay,1
La Popa,1
Flemingfjord,1
Upper Khirthar Spintangi Beds,1
FALMOUTH FORMATION?,1
Culm Measures,1
Horizon 1C,1
Blessing Formation Reef,1
Enon,1
Cordillera Real,1
Kahenkalk Formation,1
Penfield Dol,1
FRANCIS CREEK SHALE,1
Larapintine Fm,1
NARAN BULAK,1
Siltstone ledges Harnage Shale,1
Upper Great oolite,1
Yaurichambi Fm,1
Mauch Chunk Fm.,1
Lower Brunswick Fm?,1
Bridgeboro Ls,1
Gerster Fm,1
Osborne Canyon,1
Arty,1
Bet-Meir,1
Matsue,1
Smithwick FM,1
Saint Marys Formation,1
Bocade Serpiente Formation,1
Nar,1
Desmoinesian,1
Wagon Tongue Fm,1
Dankov,1
Muker,1
Fernie Fm,1
Gerster Ls,1
Platteville Ls.,1
Arenig,1
Ibaraki,1
Upper Jura Malm Formation,1
"Coal Measures, Middle",1
Sables à silex,1
Cholan (Takuran) Fm,1
WECHES,1
Suwanee,1
Tomago,1
Roche: Shales.,1
?Harutori Formation,1
Nummulitic Limestone,1
Taylor-Pecan Gap,1
Middle Coal,1
Grand River Fm,1
Huachihuanhe,1
Couches à céphalopodes,1
Comanche Peak (?),1
Embetsu Fm,1
Erman Formation,1
Grès rouges,1
