v_earliestEpochOrLowestSeries,reps
Upper Middle Devonian,2
Lower Permian?,2
"Ordovician, Upper",2
Mississippian; Lower,2
Possible Pliocene,2
PLIOCENE OR PLEISTOCENE,2
Permian; Upper; Pennsylvanian; Upper,2
Pliocene; Late,2
Miocene- Pliocene,2
LATEST MIOCENE,2
Late Miocene- Pliocene,2
Pleistocene; Upper?,2
"DEVONIAN, LATE",2
"Permian, Late",2
"Middle Lower Devonian, (Upper Siegenian)",2
Early Middle Eocene,2
Early or Middle Cambrian,2
Middle Pleistocene?,2
PLIO-PLEISTOCENE,2
Eocene; Early,2
EARLY PERMAIN,2
Miocène?,2
Visean,2
Eocene? | early,2
Paleocene ?,2
Pliocene ?; Pleistocene,2
Late ?,2
Triassic (in Jurassic volcanics),2
"Miocene?, Pliocene?",2
"Pleistocene, Lower",2
"Pliocene,  Lower",2
LOWER UPPER EOCENE,2
"Cretaceous, Lower ?",2
Middle/Upper Pennsylvanian,2
"Pliocene, Middle",2
Dévonien Supérieur?,2
Carbonifère Moyen,2
MIOCENE EARLY,2
CRETACEOUS-EOCENE,2
Middle Eocene (early Middle Eocene),2
"Halifax Hard Coal, Lanakian Series",2
Calciferous,2
Middle-Jurassic,2
"Devonian, Lower Or Middle",2
Pleistocene ? and Recent,2
Early Eocene?,2
Permian; Early,2
Neógeno,2
Cretaceous?,2
Upper Mississippian?,2
Eoene; Upper,2
"Early Aptian, Early Cretaceous",2
Cretaceous; Middle ?,2
Middle-Late Jurassic,2
Jurassic; Upper Or Cretaceous; Lower,2
Palaeocene,2
Eocene/?,2
Eocene; Lower,2
L. Devonian,2
Early-Miocene,2
Miocene; Middle-upper,2
Late Pleistocene or Holocene,2
"DEVONIAN, EARLY",2
"Miocene,Pleistocene,Pliocene",2
Silurien inférieur,2
"Jurassic, Upper ?",2
Lower Oligocene?,2
Silurian; Upper,2
Dévonien inférieur-supérieur,2
LowerTriassic,2
Sinemurian,2
Upper Paleocene,2
EARLY? PERMIAN,2
LATE TERTIARY,2
Triassic ?,2
"Permain, Lower",2
EARLY CARBONIFEROUS,2
early Middle Devonian,2
?PALEOCENE,2
Pleistocene(?),2
CRETACEOUS?,2
Triassic; Late,2
Ordovician; Middle,2
Early Pliocene?,2
MIDDLE ORDOVICIAN,2
"Eocene, early",27906
Late Devonian or Early Mississippian,3
Late Tertiary,3
Upper Pliocene?,3
early Silurian (Rhuddanian),3
"Carboniferous, Upper",3
Calciferous Sandstone Series,3
"Pennsylvanian, middle",3
Permian; Middle,3
"Paleocene, Middle",3
"Devonian, Lower?",3
Calciferous sandstone Series,3
Cretácico,3
"Pennsylvanian, early",3
Late Silurian (lower Ludlow),3
Miocene(-Pliocene),3
Trias Moyen,3
Silurian (Wenlockian-Ludlovian),3
Late Bajocian,3
Oligocene | middle,3
Pennsylvanian; Desmoinesian,3
Late-Jurassic,3
Carnian,3
Eocene; Upper,3
late Permian,3
possibly Early Mississippian (Kinderhookian),3
Latest Cretaceous,3
RECENT?,3
Middle Eocene?,3
Late-Eocene,3
"Silurian, Lower",3
Dévonien Inférieur?,3
Late Eocene?,3
Triásico Inferior,3
late Paleocene,3
Miocene/Pliocene?,3
Westphalian,3
Early-Middle Miocene,3
EARLY OLIGOCENE?,3
LATE? TRIASSIC,3
EARLY MIDDLE EOCENE,3
LATEST MISSISSIPPIAN,3
Silurien Moyen,3
Jurassic; Middle,3
Vindhyan,3
middle Silurian?,3
Upper Pleistocene,3
Pleistocene Or Holocene,3
"Cretaceous, Early",1539
Middle Triassic,5123
Unknown,4
LATE SILURIAN,4
EARLY? OLIGOCENE,4
Mississipien moyen,4
Blackriverian,4
MIOCENE OR PLIOCENE,4
early,4
Middle-Late Permian,4
Pleistocene; Lower-middle,4
Jurassique moyen-supérieur,4
Cambrien Supérieur,4
Eocène-Oligocène,4
LATE CRETACEOUS?,4
LOWER PERMIAN,4
lower Paleocene,4
Oligocene M,4
Cambrien Inférieur,4
Sanatonian,4
L. Miocene,4
Latest,4
Pliocene; Upper ?,4
Devonian; Lower,4
Quaternary?,4
PLEISTOCENE(?),4
"Pleistocene, Late",4
oligocene,4
Upper Miocene?,4
Recent?,4
Miocene or Recent,4
Recent ?,4
"Cretaceous, Upper ?",4
early late Eocene,4
Sakmarian,4
"Cisuralian, Miocene",4
"Ordovician, Middle",4
Miocene; Early,4
Terreneuvian/Series 2,4
Paléocène,4868
MiddleMississippian,5
late early Eocene,5
late Silurian (late Cayugan),5
"Devonian, Middle; Devonian, Lower",5
"Eocene, middle or Eocene, late",5
"Eocene, Latest or Earliest Oligocene",5
EARLY/MIDDLE EOCENE,5
Silurien Supérieur,5
"Eocene,Oligocene?",5
Pliestocene,5
Jurásico Inferior,5
Eocene or Oligocene,5
Mesozoic,5
Carboniferous; Lower; Mississippian,5
Late Cenomanian,5
"Miocene, Late",5
"Oligocene, Middle",5
late Early,5
Mioceno Inferior,5
"Oligocene, late or Miocene, early",5
Silurien moyen,5
Oligocene(?),5
Middle-Pleistocene,5
Cenomanian,261
"Mississippian, Upper",1029
"Holocene, Pleistocene",6
Probable Late Triassic,6
Pleistocene; Early,6
Eoicene/Oligocene,6
Oxfordian,6
Barremian,6
Mississippian; Middle,6
Paleocene-Eocene,6
Latest Devonian,6
Latest Devonian (Tn1b)(Fammenian),6
"PALEOCENE,MIDDLE",6
"Mississippian, Middle",6
Cretaceous; Middle,6
"PLIOCENE, EARLY OR PLEISTOCENE",6
Eocène?,6
Guadalupien,6
"Devonian, Lower-Middle",6
EARLY TERTIARY?,6
Late Ordocivian,6
Gallic,6
Late Miocene - Early Pliocene,6
Permien inférieur,6
"Permian, Early",6
Pliocene/?,6
"Triassic, Early",6
"Eocene,Miocene,Oligocene,Paleocene",6
Lower and Middle Ordovician,6
Pennsylvanian,66822
Late cretaceous,7
"Oligocene,Pliocene?",7
LATE EOCENE?,7
Arenigiano,7
Pleistocene; Lower ?,7
Devonian; Middle,7
Coniacian,7
Bajocian,7
Mississippian; Lower Middle,7
Crétacé moyen,7
Cretaceous; Late,7
early Silurian (Niagaran) (Wenlockian),7
"Paleocene, Eocene",7
Late Jurassic-Late Cretaceous,7
MIDDLE JURASSIC,7
"Pleistocene, Holocene",7
Eocène inférieur,7
Middle ordovician,7
RECENT,1031
Jurassique supérieur,12039
Early Eocene,15367
"PLEISTOCENE,MIDDLE",17415
"MIOCENE,EARLY",38151
"Eocene, Early",8
"Miocene,Pliocene?",8
"Pleistocene, Miocene",8
"Holocene,Pleistocene?",8
Late Oligocene or Early Miocene,8
Cretaceous ?,8
Silurien supérieur,8
Holoceno,8
Upper Cretaceous (Campanian),8
post Pliocene,8
EARLY? EOCENE,8
"Ludlow, Pridoli",8
EOCENE?,8
early Middle Cambrian,8
Pleistocene; Mid,8
Early Proterozoic,8
early Middle Miocene,8
MIDDLE PERMIAN,8
Eocene;  Middle-upper,8
Middle Pliocene,8
Oligocene L,8
"Miocene, Upper; Pliocene, Lower",8
"Pleistocene, Pleistocene",8
Lower Tertiary,8
EARLY PENNSYLVANIAN,8
TRIASSIC,8
Upper Cretaceous?,264
Early Cambrian,1544
Plio-Pleistocene,1800
"Carboniferous, Mississippian",9
Llanvirniano,9
Ordovicien Supérieur?,9
Silesian,9
"Miocene, middle or late",9
Triassic (?),9
Pliocence,9
Pennsylvanian; Middle,9
CISURALIAN,9
Late Jurassic?,9
"Triassic, Lower Kemper",9
basal Pennsylvanian,9
Late Paleocene/Early Eocene,9
(Ti/Km),9
Eocene Late,3337
Liassic,10
Lower Pliocene,10
"Pennsylvanian, Middle",10
Late Jurassic/Malm,10
Caradocian,10
"PENNSYLVANIAN, EARLY",10
"Miocene, Pleistocene",10
Miocene/Pliocene,266
Late Paleocene,1034
"Silurian, Upper",11
PLEISTOCENE/HOLOCENE,11
Triassic; Middle,11
Eocene? | middle,11
EARLY? MIOCENE,11
Oligocene; Late,12
Epoch 2,12
Pliocene; Middle,12
Callovian,12
MiddleLate,12
Pennsylvanien moyen,12
Middle/Upper Devonian,12
UPPER PERMIAN,12
PERMIAN,12
Middle?,12
Lower Pliocene?,12
Neocomian,12
Sub-recent,12
"Holocene,Pleistocene",12
Lochkovian,24844
Early-Oligocene,13
"OLIGOCENE,MIDDLE",13
LATE EARLY MIOCENE,13
Oligocene; Middle,269
Middle Cambrian,2829
EARLY,3085
"Devonian, Late",14
PALEOCENE?,14
Pennsylvanian (Atokan),14
MIDDLE TRIASSIC,14
Ober-Oligocene,14
Early or Middle Devonian,14
Late Eocene,5390
Upper Pennsylvanian,113422
"Miocene, Oligocene",15
Miocene ?; Pliocene ?,15
"Silurian, Middle",15
upper Paleocene to lower Eocene,15
Middle Caradocian,15
Miocene(?),15
Pleistocene; &,15
EARLY TERTIARY,15
late,15
Oligocene; Middle ?,15
"Eocene,Miocene",15
CRETACEOUS,271
Sunwaptan,6159
"Pleistocene, Upper",29711
TERTIARY,16
JURASSIC,16
"MIOCENE, LATE-PLEISTOCENE",16
Middle Jurassic - Early Cretaceus,16
"PLEISTOCENE,EARLY?",16
Vendian,16
EARLY EOCENE?,16
Miocene E,16
Silurian; Middle,16
OLIGOCENE?,16
EARLY MISSISSIPPIAN,16
Des Moines Series,16
Cambrian,16
Early Middle Pleistocene,16
MiddleDevonian,16
early Eocene,272
Upper Pliocene,17
Cretácico Inferior,17
Paleocene? | late,17
Lower Ordovician?,17
"PLIOCENE,MIDDLE",17
Lower Cretaceous (Aptian-Albian),17
Pliocène-Pléistocène,17
Triassic; Lower,17
"Jurassic, Early",17
EARLY MIDDLE MIOCENE,18
Ordovicien Moyen?,18
Oligo-Miocene,18
"Upper Cretaceous, Lower Cretaceous",18
EARLY TRIASSIC,18
Eocene; Middle; &,18
MIDDLE? DEVONIAN,18
Cambrien supérieur,18
CRETACEOUS-PALEOCENE,19
EARLY OR MID EOCENE,19
Mohawkian,19
Middle-Upper Permian,19
Eocene ?,275
lower Miocene,531
Middle Jurassic (Bajocian),20
"Eocene, late Middle",20
EARLY LATE EOCENE,20
Oligocene; Upper,20
"Early Cretaceous,Late Jurassic",20
Early Caradocian,21
Mississipien,21
Series 3,21
Lias,277
Devonian; Upper,277
Llandovery,4117
Jurassic; Lower,22
Pleistocen,22
Pleistocene; Middle,22
Terreneuvien - Série 2,22
"MIOCENE, MIDDLE OR PLEISTOCENE, EARLY",22
early Silurian,278
Paleogene,790
Eoceno Inferior,23
"Triassic, Lower",23
Alpine,23
EARLY-MID PALEOCENE,23
Malm,23
"Pliocene, Upper",23
Middle Triassic?,23
Cretaceous; Lower,23
Tertiary,23
Pleistocene | middle,4375
Lower Pleistocene,24
Upper Oligocene,24
Holocene ?,24
Dévonien moyen-supérieur,24
Wordian,24
"Miocene, early middle",24
Rotliegendes,24
Pleistocene?,792
MIDDLE PALEOCENE,1304
Lower Mississippian,7448
Trias moyen-supérieur,25
Pleistocène,25
late middle Paleocene,25
Lutétien,25
"Cretaceous, Middle",1049
Silurien,26
Pleistocene; Wisconsinan,26
Pliocene; Upper,26
Upper Miocene,26
"Devonian, Early",26
Carboniferous,6426
Late Eocene-Early Oligocene,27
"Holocene, early",27
Early Middle Paleocene,27
Paleocene L,27
D,27
