v_earliestEpochOrLowestSeries,reps
Early Permian,2767
"Pleistocene,Pliocene?",208
Oligoceno,464
Middle Miocene,1232
"Miocene, late",105936
Eoceno,209
LATE JURASSIC,1233
Wenlockian,210
"Miocene, early",100306
Oligocène,8659
Upper Cretaceous,31700
early Late,214
"Miocene,Oligocene",215
Ordovicien supérieur,215
Latest Devonian (Tn1b),215
Oligocene; Lower,727
"MIOCENE,LATE",6103
EARLY EOCENE,14807
"Pleistocene, early or Pleistocene, late",3034
Upper Eocene,219
"Miocene, early or middle",219
Trias inférieur-moyen,987
Early Pliocene,732
Sandbian,1244
MIOCENE OR PLEISTOCENE,733
"Oligocene,Miocene",222
Early Carboniferous,222
Crétacé inférieur - Crétacé supérieur,224
EARLY MIOCENE,1248
OLIGOCENE,2016
middle Eocene,3552
Lower Oligocene,2273
"Paleocene, late",1250
MIOCENE,4835
Eocene E,228
Chesterian,7396
"Pleistocene, Early",229
Early Mississippian,2277
Carbonifère inférieur,230
Late Triassic,13286
Miocene | early,231
Eocene?,231
Lower/early,2023
MIOCENE?,488
Jurassique Inférieur,745
Osagean,491
"Cretaceous, Upper",5611
Pliocene | late,14827
Lower Triassic,238
Eocene | late,238
"Holocene, middle",494
Dévonien Inférieur,1006
Jurassique moyen,11246
PLEISTOCENE/RECENT,495
Upper/Late,71407
MIDDLE EOCENE,6895
"Late Cretaceous,",240
Late Pennsylvanian,1008
middle Miocene,1520
"Pleistocene, early",75504
Lower Ordovician,242
,2154873074
Serie 3,3060
Pleistocene? | early,245
"Cretaceous, Lower",246
"Oligocene, Miocene",246
Uppermost Devonian,502
"Pliocene, late",502
Mio-Pliocene,2038
Ordovicien Moyen,5366
"Jurassic, Upper",503
Eocene | early,248
Middle Mississippian,1784
MIDDLE MIOCENE,761
Albian,7161
Pliocene | early,1787
"PLEISTOCENE,LATE",18684
EARLY HOLOCENE,254
Pridoli,7678
Crétacé inférieur,9982
Eocene | middle,54526
"Pliocene, early",49919
