v_bed,reps
Bowden shell bed,256
localbed:West Brook Shale - Bellona Coral Bed,256
"localbed:113,6",1
"localbed:25,5",1
localbed:Ch-25-I-17,1
Wheeler (100' above Base),1
localbed:24.82,1
localbed:SH-12c,1
localbed:3242,1
Fairport Member Base,1
regionalbed:882.0-884.8,1
localbed:461 ft,1
localbed:580.8,1
464.55-464.7 feet,1
Rummel bed,1
Horizon G and Horizon F2 - F3,1
localbed:494.1,1
localbed:Sample 31,1
Fisher bed 21,1
localbed:A170.5,1
localbed:Bimbander Sehilienbank,1
localbed:CM01CGP-4,1
localbed:3 m below BM 66,1
"Bed W15, Trinacria Bed",1
localbed:HBH2,1
localbed:BPW80-26,1
localbed:CM01CGP-9,1
localbed:173a,1
148 feet,1
localbed:SEC13.5,1
Bed 5 or 7 of Difunta Section,1
localbed:2.3 m,1
Hesperornis,1
regionalbed:98.3,1
localbed:Campanile,1
localbed:Du 6,1
localbed:Ch-6-3,1
localbed:Mk 9b,1
bed C,1
localbed:228.87,1
localbed:24.3m above base of member,1
regionalbed:634,1
"Cave Earth and Breccia Unit, spit 15",1
localbed:1731-1734,1
localbed:7 | regionalbed:17,1
"first Hemipneustes/coral bed, about 1m above prominent orange/brown parting",1
localbed:240.9,1
"Beds 25B, 27B, 39C, 68, 86, 98, 99B",1
localbed:top and middle of seam,1
"localbed:30,1",1
Lecomption Limestone Lower (Top),1
localbed:918,1
localbed:906.5 - 906.0,1
localbed:5 nivel negro,1
Grape Creek Coal,1
regionalbed:1.894,1
localbed:868,1
"Beds 16, 18B, 68, 73",1
localbed:96-97.5,1
localbed:I-H 8,1
Bed W8,1
regionalbed:Unit 7,1
Cement Beds,1
localbed:4 m below BM 66,1
localbed:Re-E,1
localbed:2099 ft.,1
localbed:1195,1
localbed:26.32–26.38,1
Bed 209,1
localbed:11.32-39,1
localbed:7n,1
C. ultima Beds,1
"localbed:63,3",1
localbed:Sword Point,1
Bed 115 of Vasseur (1894),1
localbed:3.12,1
Unit 4-3C,1
localbed:54.74,1
localbed:318.1,1
Rimella canalis bed,1
Bed 8 of Kirby 1974,1
localbed:9C,1
localbed:HBR-316.2,1
localbed:Orchard Limestone,1
localbed:G 129,1
localbed:25.7,1
Arkell's Bed 1,1
Hitz Limestone,1
localbed:Middle part,1
cementstone nodule band Alpha,1
localbed:3064,1
localbed:272.18,1
localbed:Zar-4,1
regionalbed:884.0-888.0,1
localbed:4865 ft,1
A4,1
localbed:357,1
localbed:2485,1
localbed:5382m,1
"localbed:6,7",1
4-5m above level `A',1
alpha C1,1
localbed:Re-D,1
localbed:838.5-844.4,1
localbed:S1137,1
localbed:306.9,1
localbed:138.0,1
localbed:Leiorhynchoidea,1
