v_latestAgeOrHighestStage,reps
Turonian-Coniacian,699
Middle Eocene,2492
Early Miocene,1469
Steptoean,190
Late Tithonian,190
Oxfordien,958
TIFFANIAN,2238
Cardocian (Berounian),192
Upper Lias,704
Liassic,449
Alportian,195
Chattian,6083
Turolian,196
Late Bajocian,196
Upper Permian,197
Upper Darriwilian (Dobrotivian),198
Late Oligocene,454
late Eocene,710
Lower Lias,199
Judithian,4807
IRVINGTONIAN,1480
Puercan,202
Floien,202
Marinesian,203
Raricostatum,203
Deseadense,459
Middle Miocene,2507
Kimméridgien,204
Oandu,204
Miocene,1228
Capitanian,2253
Late Pennsylvanian,464
Wuchiapingian,1488
"Campanian, Upper",1488
Thanetian,2000
Kinderhookian,209
Burdigalien,465
Early Berriasian,465
Maastrichtian,14546
Kirkfieldian,467
middle Eocene,723
Cincinnatian,1747
Middle Oligocene,212
Aptian - Albian,3284
Late Devonian,215
Yeadonian,215
EARLY WISCONSINAN; RANCHOLABREAN,472
Llandeilian,217
Relizian,475
Late Oxfordian,731
Lias,476
Late Pleistocene,26844
HEMINGFORDIAN,221
Duchesnean,1245
Ludlow,2013
Eifelian,3293
Myachkovian,222
Early Jurassic,222
Bajocien,734
Lutétien,2270
Ludlow / Wenlock,223
Emsien,479
Auversian,1247
Holocene,4063
,2158235104
Emsian,2018
"NAMURIAN E2B, CHESTERIAN",2786
Alaunian,227
Refugian,484
ORELLAN,4068
LATE HEMINGFORDIAN,485
Middle Albian,1509
ARIKAREEAN,998
Turonian/Coniacian,231
Homerian (Upper Wenlock),743
Early Kimmeridgian,1255
Callovian,3047
Early Pliensbachian,232
Early Maastrichtian,1513
Early Cenomanian,1769
Sinemurian,14057
"Campanian, Middle",234
Pragian,4586
Early Valanginian,235
Helvétien,235
Telychian,1515
Darriwilien,4843
Arundian,1517
Upper Osagean,238
Hemingfordian,239
Leonardian,4591
Lower Lutetian,240
L. Ashgillian(Kralodrorian),240
Frasnien,242
Early Albian,498
Early Pleistocene,755
WASATCHIAN; GRAYBULLIAN,1267
Rhaetian,4852
Tournaisian / Kinderhookian,245
MN 7 + 8,245
EARLY DUCHESNEAN,757
Griesbachian,246
Niagaran,9206
Ibex,247
LATE DUCHESNEAN,247
Altonian,248
Richmondian,1016
CLARKFORKIAN,249
Maysvillian,761
Upper Lutetian,1017
Sheinwoodian,2553
Lopingian,506
Early Pliocene,1787
Early Campanian,1020
Tithonian,2812
Arikareean,3068
Calabrian,7932
WISCONSINAN/RECENT; RANCHOLABREAN/RECENT,253
L. Darriwilian,253
Late Toarcian,509
MIDDLE ORELLAN,509
Valanginian,1791
