v_latestAgeOrHighestStage,reps
Bulitian,2
Upper Valentian,2
Upper Mahonian,2
SAXONIAN,2
Lujanense,2
Middle Purbeckian,2
early Pliocene,2
TOARCIAN,2
Lattorfian,2
Ururoan,2
ROGNACIAN,2
C.c.III,2
SANTACRUZIAN,2
Bathonien?,2
MIDDLE CHESTERIAN,2
Rupelian-Chattian,2
Warepan,2
Senonian?,2
Waipipian,2
KIMMERIDGIAN-TITHONIAN,2
Pannonian,2
Senarian,2
Reinbekien,2
WASATCHIAN; EARLY LOSTCABINIAN (?),2
Langian or Serravallian,2
Aptian-Albian,2
Zemmorian,2
BLACKRIVERIAN,2
APTIAN; GARGASIAN,2
Late Middle Pliocene,2
LATE HEMPHILLIAN,2
LATE TIFFANIAN OR CLARKFORKIAN,3
B.b.,3
Aurelucian,3
Twinbuttean,3
BARSTOVIAN?,3
Idavere,3
MOUSTERIAN,3
RUPELIAN,3
Lenonian,3
SUB-RECENT,3
CARNO-NORIAN,3
SINEMURIAN-PLIENSBACHIAN,3
Anversien,3
Aptian (Upper Neocomian),3
Early Late Campanian,3
Rancholebrean,3
Ludlowian,3
TIFFANIAN?,3
Upper Sarmatian,3
STAMPIAN?,3
Skiddavian,3
LUTETIAN (=BRUXELLIAN),3
Santonian-Campanian,3
Santacrucense,3
Casamayoran,3
Uquian,3
Montian,3
Late Saucesian,3
Ngaterian,3
Middle Valentian,3
Hunderum,3
RANCHOLABREAN/RECENT,3
lower to middle,3
Refugia,3
Dogger,3
Coniacian to Campanian,3
Late,3
Middle Coniacian,3
Valentian,3
UPPERMOST VIRGILIAN,3
Late Frasnian,3
second stage,3
PORTLANDIAN,3
ORELLAN?,3
Lower Visean,3
Anisiano,3
Mustersense,3
Tortonian-Sarmatian,3
Acadian,3
Oriskanyan,3
Early Vyatkian,3
Frasnien?,3
STEPHANIAN,3
L. Neocomian,3
RUSCINIAN,3
HELVETIAN,3
Falunian,3
Tongrian,3
Valanginian?,3
Whitrockian,3
"Turonian, Late",3
Late-Serravallian,3
UPPER AQUITANIAN,3
Upper Neocomian,3
Rhaetiense,3
Templetonian,3
Mioceen,3
LATE BRIDGERIAN TO EARLY UINTAN,3
"Cincinnatian, Edenian",3
Ensenadan,4
Leonense,4
Colhuehuapense,4
"Campanian, Late",4
Murchisonae,4
LUDIAN,4
Upper Callovian,4
Lower Ashgillian (Kralodvorian),4
Blacksforkian,4
Narizian?,4
Auramoan,4
Karnic,4
Volgian,4
Sequanian,4
Upper Muschelkalk,4
Cheltenhamian,4
late Turonian,4
IRVINGTONIAN?,4
Chautauquan,4
LOWER WASATCHIAN,4
Dévonien,4
Lutétien ?,4
Bruxellian,4
Upper Caradocian (Berounian),4
LATE TIFFANIAN?,4
Late Givetian,4
Lochkarian,4
Callovien?,4
CAMPANIAN,4
Oretian,4
LATE BRIDGERIAN,4
Pliocène,4
Early or Middle Pleistocene,4
prob. Clayton,4
Sarmatian,4
Bathonain,4
Melekesian,4
Egerian,4
Walchow,4
Viséen,4
Lillburnian,4
NATUFIAN,4
Middle-Pleistocene,4
Ladinian,772
Kimmeridgian,7428
Albian,12036
?VIRGILIAN,5
LATE WASATCHIAN,5
Givetien,5
Albian to Maastrichtian,5
Upper Llanvirnian,5
Villafranchian,5
Chazy,5
PAMPEAN,5
Reinbekien Glimmerton,5
Danien?,5
"Upper Ludlow, Pragian, Zlichovian",5
Middle Sarmatian,5
Sinemuriano,5
Holoceen,5
TORREJONIAN?,5
Albien?,5
SPARNACIAN OR THANETIAN,5
Langhien,5
CROMERIAN,5
LATE KANSAN,5
MP 28,5
Canadian,5
Ashgill?,5
Ordovician,5
MP 29,5
EARLY RUSCINIAN OR LATE TUROLIAN,5
Gault,5
Coniacian?,5
Messinien,5
EARLIEST HEMPHILLIAN,5
Ashbyan,5
Middle Cambrian,5
Titoniense,5
Tortonian/Serravallian,5
SARMATIAN,5
PURBECKIAN,5
RANCHOLABREAN?,5
Messiniense,5
Cenomanian - Turonian,6
Oxfordian ?,6
Late(?) Oligocene,6
MP 22,6
"""Aptian, Albian""",6
Kinderscoutian,6
CHATTIAN,6
YPRESIAN OR SPARNACIAN,6
Oxynotum,6
Whaingaroan,6
RUSCINIAN; ASTIAN,6
Stampian,6
Colhuehuapian,6
Cernaysian,6
Irginian,6
Darriwilian / Chazyan,6
EARLY DUCHESNEAN?,6
Sélandien,6
MP 20,6
Irvingtonian?,6
fourth stage,6
L. Eifelian,6
Callovian/Oxfordian,6
BARREMIAN-APTIAN,6
Middle Carboniferous,6
MAESTRICHTIAN,6
Osagian,6
Cénomanien?,6
Purbeckian,6
Argovien,6
Ozarkian,6
EARLY BLANCAN,6
BLANCAN II,6
L. Senonian,6
Late Cenomanian,518
LATE WISCONSINAN; RANCHOLABREAN,2310
MN 9,7
