v_earliestPeriodOrLowestSystem,reps
late Silurian (Cayugan),1
Silurian-Devonian?,1
"Triassic, possibly",1
Cretaceous/?,1
Mississippian (?),1
Tertiary or Recent,1
Jurassique-Crétacé,1
Lower Tertiary,1
Triásico Inferior-Medio,1
MOHWAKIAN,1
Mississippian or Pennsylvanian,1
Middle to Late Devonian,1
Senonian,1
Virgilian,1
middle Silurian (Clintonian),1
Silurian (?),1
Possible Tertiary (Eocene),1
Jurasico,1
Ectasian,1
Middle Devonian (probably),1
SERRAVALLIAN,1
Middle Ordovician-Devonian?,1
Carbonífero-Pérmico,1
Cambrian/Ord,1
?Tertiary,1
Silurien?,1
Miocene-Pliocene,1
Miocene?,1
probably Early Cretaceous,1
MOHAWHIAN,1
?Pennsylvanian,1
?Cretaceous,1
Pennsylvanian (?Desmoinesian),1
?Miocene,1
probably Miocene,1
Briovérien,1
late Paleozoic?,1
Niagaren,1
Tertio-Quaternary,1
"Silurian, (middle?)",1
Early Devonian (late Pragian-early Emsian)?,1
"Devonian, Middle? (Givetian?)",1
permian,1
Early to Middle Cambrian,1
Middle Devonian (Eifelian)-possibly,1
middle Silurian (Lockportian),1
Triassic-Jurassic,1
CHSETERIAN,1
JURASSIC/CRETACEOUS,1
Silurian (probably Niagaran),1
Devonian (possibly),1
early to middle Silurian,1
Early Pennsylvanian (probably),1
"Triassic, probably",1
TORTONIAN,1
Pennsylvanian or Permian,1
"Paleogene, Neogene",1
Middle Ordovician (Rocklandian),1
Pliocene? (maybe Quaternary),1
Latest Ordovician,1
Middle ? Devonian,1
Mesozoic-?Cretaceous,1
Silurian (Wenlockian),1
Middle Devonian - Early Mississippian,1
Ordovician (Cincinnatian Series),1
Silurian (Late Salopian),1
?Late Devonian (Famennian),1
Pennsylvanian (?),1
Late Pennsylvanian (Desmoinesian),1
Middle Ordovician (Cincinnatian),1
PENNSLVANIAN,1
Middle Pennsylvanian (Westphalian B),1
Mississippian probably,1
Ordovician or Silurian,1
Middle Pennsylvanian (Westphalian D),1
early Silurian (Alexandrian),1
PENNSYLVNIAN,1
L. Carboniferous/?,1
Mississippian (Valmeyeran),1
early cambrian,1
middle ? Silurian,1
"Ordovician, probably",1
Meramecianian,1
Argiles à silex,1
Cretaceous-Tertiary?,1
"Jurassic, Cretaceous",1
ORDOVICIAN?,1
Laurentian,1
Middle-Late Cambrian,1
Middle lower Devonian,1
probably Ordovician,1
GUADALUPIAN,1
Lower,1
? Mississippian,1
Cretácico-Paleógeno,1
Mississippian (prob. U. Waverlian),1
"Cambrian, Quaternary",1
late Silurian?,1
Cenozoic?,1
"Cambrian, Ordovician",1
Late Devonian or Early Mississippian,1
Silurian or Devonian,1
PERMAIN,1
Silurian (early Niagaran),1
Early Devonian?,1
Mésozoïque,1
Rhyacian,1
Middle (Givetian)-Late (Frasnian) Devonian,1
Middle Ordovician to Lower Devonian,1
MIOCENE,1
Cambrio-Silurien,1
Middle Devonian (Cayugain),1
MOKAWKIAN,1
Crétacé supérieur remanié?,1
Onondagan,1
Upper Pliocene,1
Middle (Givetian) or Late Devonian,1
Permien?,1
"middle Silurian (Lockportian, Niagaran)",1
Quaternary/?,1
Late Pennsylvanian or Early Permian,1
?Early Mississippian,1
"Cretaceous,Jurassic?",1
Middle to Late Cambrian?,1
Late Ordovician (possibly),1
Late Devonian (Famennian/Tournaisian),1
"Ordovician, Cambrian",1
BAJOCIAN + BATHONIAN,1
probably Devonian,1
Oligocene?,1
"Middle Devonian, possibly",1
Archaean,1
Late Pennsylvanian (probably Virgilian),1
L. Silurian,1
TRIASSIC?,1
?Ordovician,1
Actual,1
Pérmico Superior,1
Late Devonian (Famennian)-Early Mississippian,1
Late (?) Pleistocene,1
CARBONIFEROUS (SUB),1
middle of Early Carboniferous,1
Mesoarchean,1
Possibly Tertiary,1
Early to Middle Devonian,1
"Cambrian, Ordovician, Cambrian",1
?Pliocene,1
"Triassic, Triassic",1
late Silurian (Pridolian)-Early Devonian (Lockhovian),1
Middle Mississippian (Valmeyeran),2
Sub Carboniferous,2
Cincinnatian,2
Siluro-Devonian,2
Mississippian (early Osagean),2
Upper Miocene,2
?Eocene or ?Oligocene,2
"TERTIARY, LATE",2
CRETACEOUS-TERTIARY,2
Carboon (359 tot 299 miljoen jaar geleden),2
Early Mississippian?,2
Late Cambrian to Early Ordovician,2
Middle Pleistocene,2
Early Mississippian? (Kinderhook.),2
PENNSYLVANIANA,2
late Silurian (Niagaran),2
Late Devonian (Famennian) probably,2
Early to Middle Pennsylvanian,2
"Permian, probably-auth. M. Fusco",2
Tertiary-Eocene,2
Pleistocene?,2
CONIACIAN,2
Paleogeen (66 tot 23 miljoen jaar geleden),2
?Silurian,2
Jurassic or Cretaceous ?,2
middle Cretaceous,2
early Quaternary,2
Early Proterozoic,2
Middle-Late Ordovician (Caradocian),2
probably Mississippian,2
late Silurian (late Ludlovian to Pridolian),2
Middle Devonian (possibly),2
Middle Devonian (Givetian?),2
EOCENE,2
probably Middle Devonian,2
late Silurian (Monroan),2
Middle Ordovician (Trenton),2
Jacksonian,2
Zechstein,2
"Pennsylvanian, probably",2
"Carboniferous, Carboniferous",2
Middle Devonian (Givetian)?,2
Paléogène?,2
Late Devonian?,2
Late Mississippian (Meramecian-Chesterian),2
Upper Pliocene-Pleistocene,2
Eocene?,2
Middle Cambrian?,2
Late Cretaceous?,2
Triassic ?,3
Mesozoico,3
Inferior,3
Silurian (late Niagaran) (early Ludlovian),3
Permien-Trias,3
"Recent?, Miocene?, or Eocene?",3
L. Permian,3
upper Miocene - Pliocene,3
"Cretaceous, Paleogene",3
Jurásico-Cretácico,3
EDIACARAN,3
"Cretaceous, probably",3
Jurassique?,3
Middle Devonian ?,3
Middle-Late Devonian,3
Paleoarchean,3
Devonian or Mississippian,3
Lower Permian,3
M. Triassic,3
Permian-Devonian,3
Middle Ordovician (Mohawkian),3
E. Triassic,3
Siluro-Dévonien,3
Early Tertiary,3
cambrian,3
probably Early Mississippian,3
Triásico Superior,3
Post-Pliocene,3
Upper Lower Devonian,3
Trias-Jurassique,3
Early to Middle Mississippian,3
Middle Devonian probably,3
Devonian-Mississippian,3
Precambrian?,3
late Silurian (late Pridolian),3
Pliocene,1795
late Silurian (Ludlovian),4
Cambrian-Ordovician?,4
Quarternary,4
Mississippian-Pennslyvanian,4
Cryogenian,4
Middle Ordovician (Llandeilo),4
?Late Devonian,4
ATOKAN,4
M. Jurassic,4
PENNSYLVANIAN?,4
Middle Devonian?,4
?Jurassic,4
Middle Ordovician (Blackriverian),4
Mississippian,57348
crétacé,5
Terciario Neógeno,5
early Silurian (Llandoverian) (Alexandrian),5
probably Silurian,5
"Mississippian, probably",5
CAMPANIAN,5
Mesozoic?,5
Trias (252 tot 201 miljoen jaar geleden),5
"Neogene, Quaternary",5
Crétaca,5
SCALDSIAN,5
Upper Cambrian,5
Cambrian-Ordovician,5
QUATERNARY?,5
Perm (299 tot 252 miljoen jaar geleden),5
Holocène,5
"Silurian, Silurian",6
Lower Silurian,6
Late Paleocene,6
Silurian - Devonian,6
probably Early Mississippian (Kinderhookian),6
Oligocène,6
late Silurian (early Ludlovian),6
Late Devonian (Famennian)?,6
Upper Devonian & Lower Mississippian,6
Recent?,6
Carbonifère?,6
"Quaternary,Tertiary",774
Late Jurassic,1542
Silúrico Superior,7
Middle Mississippian (Tournaisian),7
"Tertiary, Quaternary",7
"Jurassic, Jurassic",7
middle Silurian (Niagaran) (Wenlockian),7
Late Cenozoic,7
BATHONIAN / CALLOVIAN,7
TERTIARY?,7
Middle Devonian (Helderbergian),7
Lower Middle Devonian,7
BATH0NIAN / BAJOCIAN,7
"Meramecianian, Middle",7
Dévonien?,7
Neogene - Quaternary,7
"Silurian, Devonian",8
Upper Paleozoic,8
Niagaran,8
ARTINSKIAN,8
Cenozoico,8
Oligocene or Miocene?,8
MOHAWKIAN,520
Neogene?,9
Late Pennsylvanian (Missourian),9
Devoon (419 tot 359 miljoen jaar geleden),9
CALLOVIAN,9
Early Mississippian (Kinderhookian)?,9
"Campanian, Upper",9
Late Cambrian,1033
Late Devonian,13065
Ordovician (Cincinnatian),10
"Devonian, Silurian",10
Carbonifère-Permien,10
CENOMANIAN,10
early Silurian (Niagaran),10
Silúrico Inferior,10
Triásico-Jurásico,10
Devonian,150538
PALEOGENE,41226
Ordovician-Silurian,11
Permian / Triassic,11
late Silurian (Late Cayugan),11
"Ordovician, Silurian",11
Upper Middle Devonian,11
middle Silurian (Wenlockian),12
Neoproterozoic (Ediacaran),12
Antracolítico,12
Tonian,12
Pérmico-Triásico,12
Upper,12
Upper Carboniferous,12
Neogene or Quaternary,1804
Early Permian,15372
MEGANOS,13
late Silurian (Pridolian) to Early Devonian (Lochkovian),13
DEVONIAN,1037
TERTIARY,52237
CAMBRIAN,270
Oligocene,15
E. Jurassic,15
NIAGARAN,15
CRETACEOUS?,15
E. Carboniferous,15
Jurassic,79887
Late Proterozoic,16
early Silurian (Niagarian) (Wenlockian),16
Late Middle Devonian,17
Orosirian,17
BATHONIAN,17
Néogène-Quaternaire,17
Upper Triassic,17
Unknown,2577
sub-Carboniferous,18
Middle Mississippian (Visean),18
Late Devonian-Early Mississippian,18
OLIGOCENE,19
Terciario Inferior,19
LATE K-PALEOCENE,19
Lower Mississippian,19
HELDERBERGIAN,19
Pérmico,1555
Upper Jurassic,20
Silurian (Lockportian),20
Late Early Devonian,21
Middle-Late Ordovician,22
Upper Silurian,22
Late Pennsylvanian (Virgilian),22
Calymmian,22
Early Cambrian,2582
late early Devonian,23
Ordovician,150039
Silurian and Devonian,24
Carbonífero,792
L. Jurassic,25
Pennsylvanian?,26
Jurassic?,283
Triásico,5403
"Pennsylvanian,Permian",28
cretaceous,28
Pennsylvanien,28
,2153987612
Crétacé supérieur,29
Eocene,29
"Devonian, Devonian",285
middle Silurian (Niagaran),31
Néogène,41759
Pleistocene,544
Cenozoic,2336
Early Ordovician,12064
Permian,157216
x,33
middle Silurian (Niagarian) (Wenlockian),33
Silurian,112161
Carbonifère,94498
"Cretaceous,Jurassic",35
Middle Pennsylvanian (Desmoinesian) (Westph. D),35
CHESTERIAN,35
PALEOCENE,36
NEOGENE,159268
Chesterian,37
"Cretaceous, Cretaceous",40
Upper Cretaceous,42
Late Pennsylvanian to Early Permian,42
TRIASSIC,299
Devonian?,44
Ordovician?,44
E. Devonian,46
Mississippian?,46
Jurassic-Cretaceous,47
Subcarboniferous,48
Neogene-Quaternary,48
Crétacé inférieur,49
Cretaceous Senonian,49
Late Precambrian,49
"Cambrian,Precambrian",49
L. Devonian,50
Upper Ordovician,51
Triassic?,52
Paléocène,53
Paleogene-Neogene,53
LATE,55
Late Triassic,2104
Neogeno,57
Terciario,1338
Quaternary?,60
Early Carboniferous,60
Actuel,61
"Cambrian, Cambrian",61
E. Permian,1086
Cámbrico,3135
Terciario Paleógeno,64
Paleocene?,320
"Carboniferous, Permian",65
Paleogene or Neogene,66
Cuaternario,1604
Early Middle Devonian,70
JURASSIC,2630
Early Cretaceous,10311
NOT APPLICABLE,74
Carboniferous-Pennsylvanian,12623
Paleocene,848
Uppermost Devonian-Lowermost Mississippian,81
LOWER,338
Late Pennsylvanian,20820
L. Carboniferous,85
LEONARDIAN,85
Carboniferous?,598
Middle Permian,87
Ordovicien,13399
Silurian?,90
Pleistocene-Quaternary,94
Late Cretaceous,96095
Crétacé,42591
Mohawkian,97
Cretaceous?,97
Eocène,97
Early Silurian,7009
Cambrian?,99
"Neogene,Paleogene",99
Pliocène,358
Late Pennsylvanian (Missourian) (early Stephanian),870
Middle Pennsylvanian,15208
Unrecorded,2153
JACKSON,107
Early Triassic,107
Crétacé-Paléogène,110
early Silurian (Wenlockian),111
Middle Pennsylvanian (Desmoinesian) (late Westph.),367
CARBONIFEROUS,879
Superior,112
Silúrico,112
"Paleogene,Neogene",113
middle Silurian,113
Jurásico,2161
CRETACEOUS,10865
"Quaternary,Neogene",3954
"""Cretaceous""",628
Trias,2677
Ediacarien,118
Paleógeno-Neógeno,886
M. Devonian,120
Carboniferous-Mississippian,2168
Cretaceous,337273
Recent,42618
Vendian,125
Paleógeno,4733
"Permian, Permian",126
Miocene,382
Late Mississippian,6533
Carboniferous,409733
Ordovicium (485 tot 443 miljoen jaar geleden),1158
Lower Upper Devonian,136
Miocène,137
MIDDLE,139
Neógeno,3724
Ediacaran,144
WOLFCAMPIAN,150
UPPER,151
Middle Triassic,919
ORDOVICIAN,2968
Triassic,72088
L. Triassic,411
Middle Silurian,27291
Jurassique,33691
Cretácico,5278
Precambrian,415
Tertiary,237983
late Cretaceous,160
Jurassic Malm,1184
Paleogeno,675
Carboniferous (Pennsylvanian),164
Middle Mississippian,934
Dévonien,15526
Cambrien,7592
Early Devonian,29608
Permian?,426
Middle Devonian,34218
MISSISSIPPIAN,2991
Late Permian,6063
Middle Jurassic,1201
Jurassic Lias,946
Proterozoic,179
Late Permian Early Triassic,182
Cambrian,102072
Pennsylvanian-Permian,1466
Silurian/Devonian,187
Quaternaire,3261
Jura (201 tot 145 miljoen jaar geleden),190
Holocene,446
Middle Ordovician,10945
Paleogene,599748
QUATERNARY,113863
"Tertiary,Quaternary",200
SILURIAN,713
Quaternary,707788
Middle Cretaceous,205
Early Jurassic,2002
Neogene,607444
Silurien,1754
Permien,1756
L. Cretaceous,990
Krijt (145 tot 66 miljoen jaar geleden),2272
Late Silurian,14819
Upper Devonian,233
Paléogène,61161
Carboniferous (Mississippian),234
Early Pennsylvanian,492
Neogene/Quaternary,1004
PERMIAN,2545
Devónico,242
Paleozoic,756
PENNSYLVANIAN,3316
Middle Cambrian,3572
Ordovícico,1013
Mesozoic,1525
Pennsylvanian,146678
Late Ordovician,18168
Early Mississippian,4345
Modern,253
Tertiary?,1023
