v_group,reps
Buffalo Wallow Group,3
Phosphoria Group,3
Huangcha,3
John Day,3
Tubera,3
Sapulpa Grp,3
Ardwell,259
Crochett,4
Sylacauga Marble Grp,4
Ezo Group,4
Waterlime,4
Gamskaya,4
dune deposits,4
Mangahela Group,4
Glenns Ferry,4
Clyde Group,4
Clarence Series,4
Ipswichian gravels,4
Wildcat formation,4
Stewartry,4
Shinosa Group,4
Caseyville Group,4
Shventoji,4
Winsor,4
Punta Gorda,4
Cloyd Conglomerate,4
Lower Ottweiler,4
Richards Bay,4
Middle Deltaic,4
Foldvik Creek,4
Claiborne and Ocala,4
Bertie Group,4
RANCOCAS GROUP,4
Archipelago Group,4
Muro Group,4
Barrow,4
Ludlow Group,4
Jieza,4
Bass Islands,4
Cherokee Grp,4
Smoot,4
Penkill,4
Warwickshire,4
CHASE GROUP,4
Upper Downtown,4
Marble Mountains,4
MARNES A TRIPOLIS,4
Mittlere Ser,4
Joseon,4
Itapucumi,4
Calciferous,4
Souar,4
Tulong,4
Toundoute,4
Chatwall Group,4
Messinian,4
Konosé,4
Coralline Oolite,4
Bani,4
Bluefield Group,4
Yatsuo Formation,4
"Wolfcampian Series, Council Grove Group",4
Pele La,4
Ryukyu Group,4
Crag Grp.,4
CHAZY GROUP,4
Taouratine,4
Rewan Group,4
Gog Grp,4
Bromsgrove,4
Catskill Group,4
San Rafael Grp.,4
Franconia,4
Cedar Valley Grp,4
Fox Hill,4
Cutler Group,4
Fars Group,4
CLEAR FORK GRP.,4
Llanvirn Series,4
Plattsville Group,4
Ryugase,4
Lagudarsi,4
MUSCHELKALK GROUP,4
Totora,4
Río Colorado,4
Stapeley Volcanic,4
Byers,4
Seifener Group,4
NEWARK,4
Piedra Pintada,4
Smithwick Group,4
Madison Grp,4
TAYLOR GROUP,4
Shiguai,4
Utica Grp.,4
Portlandian Limestone,4
Hemse Grp.,4
Bass Islands Grp,4
AMSDEN,4
Detroit River grp,4
Toyonishi Group,4
Nooksack,4
Gyirong,4
Paraiba,4
Brånik Limestones,4
Corniferous-Hamilton Grp.,4
Turkana,4
shell midden,4
Lower Rhine Embayment,4
Colorado Grp.,4
Areado,4
Fox Hills,4
Heron Group,4
Byrd,4
Hatter Group,4
McArthur Grp,4
Huainan,4
Ashiya Group,4
Liupanshan,4
Maldon Inlier Group,4
probably Corniferous Grp.,4
diatomite,4
Hoh Melange,4
Rhiwlas,4
Karmutsen,4
Salt Lake Group,4
Arisaig,4
Belaglinnskaya,4
White Limestone Supergroup,4
Conception and St. John'ss,4
Santos,4
St. Lawrence,4
Halla Group,4
Anyuan,4
El Tranquilo,4
Nakaminato Group,4
Medina Grp.,4
Great Valley Group,4
Uwajima,4
Bighorn,4
Lower Pogonip,4
Pavlodar,4
Yunagaya Group,4
EAGLE FORD GROUP,4
Enlashan,4
Gila Group,4
Pentremital Limestone,4
CAPE RANGE GROUP,4
Rosário do Sul Grp,4
Visby,4
Lower Marine,4
Yan Gou,4
Augusta (Osage),4
Khussak Group,4
Fredericksburg Grp.,4
Ponticheskiy Series,4
Black Band Group,4
Sirçalik,4
CheLunGou,4
EAGLEFORD,4
Kamloops Group,4
Vineyard,4
Sonyea Grp,4
Saltwick Series,4
Exploits Group,4
Great Oolite Series,4
Rudawa,4
Warsaw Fm,4
Aqua Salada Group,4
Raglan Group,4
Daye,4
CHEMUNG GROUP,4
Ducy,4
Famatina,4
Tongchuan,4
TABLE CAPE GROUP,4
Raneces Group,4
Elton Group,4
Terraba Basin,4
Glen Canyon Group,4
Wealden Grp,4
Naniamo Group,4
Permian  Maizuru,4
NAVARRO GROUP,4
Favel,4
Graford,4
Conemaugh Fm,4
Kekerione,260
Lorraine Group,516
Genesee,2564
Marmaton Group,10756
DAKOTA,5
Lower Cedarville,5
Blairmore Group,5
SALPINGIDAE,5
Tealby Series,5
Atsu,5
Chaqupu,5
Ohirayama,5
Umpqua Gr,5
ALLEGHENY GROUP,5
Lotochai,5
Green Canyon Grp,5
Santa Bárbara,5
Empozada,5
Jerusalem Mount Inlier Group,5
Matsuo,5
Lower Helderberg Grp.,5
Springer Group,5
CHESTER SERIES GROUP,5
Inai,5
Fredricksberg,5
Sanchu Group,5
Kuling,5
Onandaga Group,5
RIPIPHORIDAE,5
Mae Moei,5
Carlsbad Group,5
Hauptdolomit,5
Pedroso,5
"""Ecca""",5
Durst Group,5
Cache Creek Group,5
Idaho,5
Sonnebait,5
Strzelecki Grp,5
San Pablo?,5
Sirius,5
Latady,5
"Carboniferous Limestone Supergroup, Great Scar Limestone Group",5
Neuquen Group,5
Shan,5
Whitt Group,5
Achelome Grp.,5
Caradoc,5
Hattons Corner Group,5
Scotland Group,5
Cayugan Grp,5
Durst Grp.,5
Bugishu,5
Selbourne Group,5
Plattville Group,5
Upper Helderberg,5
Myongchon,5
Williamson,5
Kahleberg Grp,5
Grant,5
Edmonton Grp,5
Antalo,5
Yugashima Group,5
Nanaimo Group,5
Dockum Grp,5
GUADALUPE SERIES,5
Grauwake,5
Setogawa Group,5
Kirthar Series,5
Montana?,5
Connemaugh,5
Crab Orchard Group,5
Domengine Formation,5
Dorud,5
Thini Chu,5
ARIKAREE GRP.,5
Ozbak-Kuh,5
Knobstone Group,5
Burlington? Group,5
Whalen Group,5
Lower Bozeman,5
Cisgo Group,5
Portland Oolite,5
Strawn (Upper),5
Kojol Series,5
Great Valley Series,5
Mitchell,5
Kenai,5
Council Grove Group to Chase Group,5
Itararé,5
Simcoe Group,5
Dunleith Group,5
Taodonggou,5
Wilpena Grp,5
Larapinta,5
Monongahela,5
WILDCAT GROUP,5
Accraian Group,5
XinErTai,5
Judith River Grp,5
Agua de la Peña Group,5
Ballymoney Series,5
Woods Bluff,5
Cataract Group,5
Yoshii,5
Gravel Point,5
YinGou,5
Ubeidiya,5
Rusinga,5
Tokigawa,5
Inverclyde,5
Lingula flags,5
Limestone Group,5
Balqa Group,5
Chico Group,5
Klinteberg Group,5
Marree,5
Telian,5
Bass Island Grp,5
Ootatoor,5
Niagara Grp,1797
Karewa Group,6
Chaya,6
Ochelata Group?,6
Nefsy,6
Windsor Group,6
Meliata,6
Sonoita,6
siinter deposits,6
Gissard Group,6
Chugwater Group,6
Blackwater Group,6
Stevns Klint,6
MERRIMBULA,6
Etcheminian Group,6
Upper Tugulu,6
Itacurubi,6
High Rock Group,6
New Albany,6
Nanyongei,6
Sunchal,6
Drummond Group,6
Chilhowee Group,6
Penkill Group,6
Chesterfield Grp,6
Shidaka,6
Bighorn Group,6
Dunkard Group,6
Chester Grp.,6
Boquillas,6
Camregan Group,6
Kabalar,6
Risong,6
Oquirrh,6
Oil Shale Group,6
Reventazon,6
Bestamakian Suite,6
Omi Limestone Group,6
Miette,6
Korumburra,6
Purbeck Limestone Group,6
POGONIP GROUP,6
DOCKUM,6
Thorn,6
Wanaka,6
Red Bluff,6
Moore Hollow,6
Middle Estuarine Series,6
Drummond,6
Champion Bay Grp,6
Jaggang,6
Westhaven,6
SHUANG-TA-SI,6
Daban,6
Chosen Grp,6
Monongahela Group,6
Akasaka,6
Judith River Group,6
Durness,6
Daxinggou,6
South Platte,6
Shimantogawa,6
Glyn Gower,6
Ochelata Grp,6
Upper Marine Group,6
Khari,6
JiaChun,6
Kielce facies,6
Comanche Group,6
alluvium,6
Scalby Series,6
imlayi,6
Tecocoyunca Group,6
Dwyka,6
ChenJiaBa,6
Uwajima Group,6
Pulubalang,6
Sahtan,6
Charee,6
Fukumoto,6
Lower Oxford Clay,6
Lower Namyau,6
Jixi,6
"Old Red Sandstone Supergroup, Red Marl Group",6
Xiaoyunwushan,6
Golconda,6
Werblud,6
Shiobara,6
Millsap Lake,6
Spileccian Group,6
Fundy,6
Tamworth,6
Wesenberg,6
Putchum Group,6
Karterit Cliffs,6
Carboniferous Limestone,6
Morozaki Group,6
Stanley Group,6
CHEROKEE,6
LORRAINE GROUP,6
GALENA GROUP,6
Tyaughton,6
Gyeongsang,6
San Fernando Group,6
Maitland Group,6
MELANDRYIDAE,6
Manzano Grp,6
Sanborn,6
buttle,6
Oum Douil Group,6
Edmonton,262
Grey Limestone Series,262
Admire,518
Marmaton,4358
Setul,7
Monte Cristo,7
Meonkopi Grp,7
Saragai,7
Lameta,7
Albemarle,7
Pastos Grande,7
Lower Group 4,7
Summer,7
East Branch Group,7
Paysandú,7
Lishuwo,7
St. George Group,7
Sawatch,7
Schiste Coblenzien,7
Etendeka,7
Yezo Supergroup,7
Sindong,7
Yan Chi Wan,7
Kamihei,7
Francis Creek Shale,7
Hueco,7
Indosinias,7
Kamikoshiki,7
Fort Benton Group,7
Hackberry,7
CLERIDAE,7
Coraliferous Group,7
Potsdam Grp,7
Gaspé Sandstone,7
"Coal Measures Supergroup, Pennine Coal Measures Group",7
Vrysses,7
Astoria Formation,7
Haljala Group,7
Turinskaya Series,7
Bisbee Group,7
Viola Limestone,7
ADERIDAE,7
Chase Grp.,7
Mictaw,7
BRIGHTON GROUP,7
Honaker Trail,7
Castle Hayne,7
Melawi,7
Pamunkey Grp.,7
Mauchline Volcanic,7
Wuji,7
Coniston Group,7
Eagleford Grp,7
Anguille,7
Telimele,7
Acteonella Series,7
Wildcat Formation,7
Lutetian,7
Fort Pierre Grp,7
Keyser,7
Kugitang,7
Carcassonne,7
Fredericksburg or Washita Grp.,7
Rat Buri,7
Susquehanna,7
"ROTLIEGEND, UPPER",7
Santee Grp,7
"Yezo Group, Upper",7
Lettenkohle,7
Kewanee Grp,7
Selztal,7
Ochi Group,7
Batley Series,7
Kekerione Group,7
Putchum,7
Raga,7
GYRINIDAE,7
hall,7
Upper Midway,7
Blue Mountain Series,7
Waitakere,7
Utica,7
Outer Feijas,7
Horsetown,7
Nariwa,7
Shoalhaven Group,7
Mersey,7
MAYES GROUP,7
Hovin Group,7
Malm,7
FORT BENTON,7
Konvunchana,7
Scucsciuch,7
Arcturus Grp,7
Tariquide,7
Bala,7
Scalent,7
Ancholme  Group,7
Nacimiento,7
Fresnal Group,7
Pine Creek,7
"Helderberg, Lower",7
Cromer Knoll,8
Feishui,8
Kwakami,8
"CONEMAUGH, LOWER",8
Burlington Grp.,8
Puesto Viejo,8
Dundas,8
Jijigou,8
Crag Group,8
Imperial,8
Headon Beds,8
Suberidani,8
Steinmergel Gruppe,8
Lightning Ridge Group,8
Bullion,8
Onondaga Salt,8
Quebec Grp,8
Mayes Group,8
Valudayur Group,8
Kuragan Suite,8
Maentwrog Series,8
Pleasanton Grp,8
Oxford,8
Morien Group,8
Upper Hamilton Grp,8
Kuriwao,8
Ojika,8
Costabella,8
CHESAPEAKE,8
Pernarth,8
Yaoso Group,8
Sakamena Grp,8
Lincoln Formation,8
Izégouandane,8
Baie de St-Vincent,8
Sadlerochit,8
Sanguinheira,8
Simojovel Grp,8
Lower Scotland Group,8
Pennington Group,8
Wierland Grp,8
Cochabamba,8
Catskill,8
Eagle Ford Grp,8
MYCETOPHAGIDAE,8
Takakurayama,8
Tubarão,8
Chalk Grp.,8
FT. PIERRE,8
House Range Group,8
Houlaomia,8
Takamizuyama,8
Skal'skii Horizon,8
Gaspe Sandstone Grp,8
Saint Louis,8
Kazusa Groupq,8
brown shale,8
Öved-Ramsasa,8
Dent,8
West Falklands Group,8
Lambie Group,8
Copper Basin Group,8
Quebec group,8
Bowie|Wichita,8
Wutong,8
"Carboniferous Limestone Supergroup, Clwyd Limestone Group",8
Bonneville Group,8
Phosphoria,8
Beaufort?,8
Wadi Thamit,8
Wayne,8
Sasayama,8
Mogotuin Suite,8
Morien Grp,8
St. Pauls Group,8
Surgent,8
LO FOCHAI,8
Ichishi,8
Sakoa,8
Kashevarof,8
Salada,8
Onekakara,8
Lee Group,8
Shakespeare Group,8
Whittingham Coal Measures,8
Tiefe Group,8
Ogasawara,8
Lower Colorado Group,8
Llandeilo Series,8
Taishaku Limestone,8
Hudson Grp,8
Nicola,8
Favosamaceria cooperi,8
Mascarene,8
Warsaw,8
Yojoa Group,8
TRENTON GROUP,8
Bozeman Grp,264
Linden Group,264
Shelve Group,9
Shoalhaven,9
"Old Red Sandstone Supergroup, Lower Old Red Sandstone Group",9
Navan,9
Springer,9
Ludlow Shales Group,9
Fejej Basalts,9
Rio Sabinal,9
Temblor Grp,9
Java Grp,9
Khanuiskaya Series,9
Franciscan Group,9
Hockberry Group,9
RIVERDALE GROUP,9
Lower Pechorskaya Series,9
Hogklint Gp.,9
Temi,9
Sandstone Series,9
Caddo Creek Group,9
Talbot,9
Wupataerkan,9
Morgan,9
Llandeilo,9
Mahmoud,9
MONTANA GRP,9
Fukagawa,9
Série de Sidi Khriali,9
Hidaka,9
Hashiura Group,9
Karoo System,9
Lofochai,9
Iojima,9
Naktong,9
Jilga,9
Daguanshan,9
Caiuá,9
Tecocoyunca,9
Shadoron,9
Wasatch Group,9
Inshes,9
Amerboh,9
Driester,9
Muscatatuck Group,9
Sanders Grp.,9
Pendleside Series,9
Lower Evaporite (EZ2),9
Kinderkook,9
Chowchiachi,9
Atoka Group,9
Kotelnich,9
Beaufort Grp,9
Windsor,9
Cooper Group,9
Hyd Group,9
Lochkov limestone,9
Ft. Pierre,9
Black Shale and Coal,9
New Albany Shale,9
Gray Sandstone Group,9
Thurso Flagstone Grp,9
Little Stave Creek,9
Bon Tsagan,9
Siwaliks,9
Upper Fredericksburg Group / Lower Washita Group,9
Miguasha,9
Quillquinan,9
Merced,9
Kinderhook Series,9
Miroku,9
Kilwa,265
Great Oolite,777
Saraburi,10
Avon River Group,10
"Lias Group, Bucklandi Series",10
Slitte Gp.,10
Peyton,10
Ludlow,10
Saouaf,10
lower Arikaree,10
Mauch Chunk Bluefield,10
ANTHICIDAE,10
Iwamuro Group,10
Central Plain,10
Dalhousie,10
Bullhead,10
Lewes River,10
Hayrhan and Salany-Gol,10
Horsetown Group,10
Gaspe Bay Grp,10
Botwood Group,10
Mairangi Group,10
black shale,10
Zhayanluoer,10
Calciferous Grp,10
SOLENT GROUP,10
Peerless,10
Knox Grp,10
HALIPLIDAE,10
"""Raibl""",10
Lampasas,10
Red Series,10
Dana Bay,10
Po,10
Lake Waco,10
Qujiang,10
Lower Phosphate Series,10
NIAGARA GRP,10
Lower Lukuga,10
Puca,10
Skiddaw Group,10
Cartennian,10
Drakensberg,10
Canyon Grp.,10
Dundargalant,10
Mount Pierre Group,10
Denison,10
Panuara,10
Middle Deltaic [Estuarine],10
Shabakty,10
Oxford Clay,10
Franciscan,10
"SIWALIK, LOWER",10
lower Santa Fe,10
Jiayin,10
Lysogory facies,10
Springer Grp,10
Gros Ventre Group,10
Naples,10
Topanga Group,10
Upper Benue Trough,10
Lower Limestone,10
Blue River Group,10
Moby Dick,10
Crashite,10
Witteberg Group,10
Mud Springs Group,10
Nanushuk,10
Lias Epsilon,10
Ludlow Series,10
Aymestry Group,10
JEHOL,10
Observatory,10
Neungju,10
Alphard,10
Kai-iwi,266
SCARABAEIDAE,266
Ibexian Group,266
Purbeck,778
Conemaugh,1290
Desmoinesian,11
Redbank Plains Series,11
Crab Orchard Mountains Group,11
Shimajiri,11
Deese Group,11
Srbsko Beds,11
Wood Bay Group,11
Cementstones,11
CANYON GROUP,11
Schoharie,11
Blue River Grp.,11
FOX HILLS GRP,11
"SIWALIK, UPPER",11
Benton,11
CENTRAL PLAINS GROUP,11
Lower Stromness flagstone,11
Xinganling,11
Los Menucos,11
Laiyang,11
Shirimazu,11
Bowan Park,11
Saint Paul Group,11
Onogawa,11
Santa Fe Grp,11
Tradewater Group,11
Mifune Group,11
Nararro,11
Pedee Group,11
Lower Old Red Sandstone,11
Kilmore Sandstone,11
Jaintia,11
Potsdam,11
Dashuigou,11
Kaibab,11
Chupadera,11
BORDEN GROUP,11
Codroy,11
Middle Oxford Clay,11
Manlius Fm,11
Drummuck,11
Ube Group,11
Fushun Group,11
Chadakoin Grp,11
Série des Oulad Bahloul,11
Merecure Group,11
Agé,11
Yosa Group,11
Bayanhar,11
Dagi,11
Ratburi,11
Meniscus,11
Kirpichnikov suite,11
Coral Rag,11
Lower Shadoron Series,11
Gog,11
Warsaw Ls,11
Kuji,11
Quillquiñan,11
RANCOCAS,11
Upper Coastal Group,11
Dasheng,11
"Old Red Sandstone Supergroup, Cosheston Group",11
Trinity Grp,11
Sierra de Olte,11
Nevelisk,11
Izumi Group,267
Jackson Group,3083
Lias Group,6667
Bowser Lake,12
Chichibumachi,12
Valle,12
Washita Grp.,12
Beaver,12
Tornillo,12
Transverse Group,12
Encisco,12
Feilden,12
Wessel,12
Sooke,12
LOWER OIL SHALE GROUP,12
LAKE BONNEVILLE,12
Upper Puca,12
Inai Group,12
Canso Grp,12
Gagau,12
Joetsu Group,12
Chiating,12
Middle Sakamena,12
Conewango Group,12
Ladakh Molasse,12
Daekhuriin,12
Santa María,12
Belly River Group,12
Honorat,12
Murree,12
Ichishi Group,12
Saint-Louis Group,12
Gongpuoquan,12
Wapsipinicon Group,12
"Lambert Formation, Nanaimo Group",12
Thurso flagstone,12
Bendigonian Series,12
Knox,12
Thurso,12
Middle Wilcox,12
Borden Grp.,12
Inyan Kara,12
OXFORD GROUP,12
Bahia Laura,12
Penchi Series,12
Mansfield,12
Scoresby Land,12
Indian Springs,12
Aptian,12
Waterhead,12
Kiu-Lung Group,12
Slonta,12
Psammites du Condroz Group,12
Elvins,12
Columbia Basalt Group,12
Kawakami,12
Quadrant,12
Consauga,12
Miyago Group,12
Upper Gondwana,12
Maysville,268
Canyon,780
Lansing Group,33804
Zarzaïtine,13
"Coal Measures Supergroup, Coal Shale Group",13
Milford Haven,13
Heritage Group,13
Rich,13
Pound Subgrp.,13
Austin Chalk,13
Saugh Hill,13
Utica Grp,13
Trenton Grp.,13
Malampaya Sound,13
San Rafael Group,13
Aoqu,13
Krol,13
Isla Soledao,13
West Falls Group,13
LANSING GROUP,13
Cuifengshen,13
Strzelecki Group,13
Cuyahoga,13
Navarro Grp,13
Cherokee Grp.?,13
Hosan Coal-Bearing,13
EROTYLIDAE,13
Sayed Tabib,13
Karakuwa,13
El Mers Group,13
Mulloch Hill,13
Naxing,13
Upper Colorado Group,13
YEMEN VOLCANIC,13
Marambio Group,13
Bhander,13
Roberts,13
Waldron Grp,13
Yeongwol,13
San Viligio,13
Ipswich Coal measures,13
Barail,13
Vrbno and Rejviz,13
Big Snowy Grp.,13
Shiramizu,13
Wagwater Group,13
Beekmantown Grp,13
Kobe Group,269
McLeansboro Group,269
Cromer Knoll Group,781
Wealden,1293
BIG SNOWY,2829
Simpson Group,4365
Genessee Grp,14
Penchi,14
FORT PIERRE GRP,14
Amsden Group,14
Comanche,14
AUSTIN GROUP,14
Arroyo Penasco Group,14
Zohoin Group,14
Restigouche Group,14
Woyla,14
Famenne,14
Toyonishi,14
Upper Old Red Sandstone,14
Cassian,14
Shimousa Group,14
Serie Bahia Laura,14
Newark Valley Sequence,14
Old Red Ss,14
Odernheim - Lauterecken,14
Chesterfield Group,14
Graham,14
Khutsin,14
Lower Oil Shale,14
Grangegeeth,14
Batang,14
HuangCaoPo,14
Shimokurosawa Group,14
Vieja Grp,14
Stonehaven,14
Sanders Group,14
"northern Luangwa Basin, Beaufort Group",14
Uttattur,14
Haenam,14
Ranconcas,14
Elvins Group,14
Inubo Group,14
Valmy Group,14
Lower Limestone Group,14
Livingston,14
Sherwood Sandstone Grp,14
Tuxedni,14
Volcanic (= Lower Oil Shale),14
Cocinas,14
Ballyvorgal,14
Catahoula Group,526
Limon,2062
Limestone Coal,15
Fayum Depression,15
Akdag,15
Mayilashan,15
Silver Peak,15
Chazyan,15
LOCKPORT GRP,15
Cliefden Caves,15
Lebach Group,15
Kondel Group,15
Elk Point,15
"Karoo Supergroup, Stormberg Series",15
Lochkov Limestone,15
Coe Group,15
Kazusa,15
Cape Rawson,15
Vaqueros Formation,15
Bornholm,15
Medina Ss,15
Monmouth Grp.,15
Myachkovian Series,15
Waitemata Group,15
COLYDIIDAE,15
Calcaire grossier,15
Trichinopoly,15
Sendai Group,15
Lykins,15
Sherbrook,15
Bagh Beds,15
Hillhead,15
Zohoin,15
CONEMAUGH GROUP,15
Clackmanian,15
Merbah el Asfer,15
Ioujima Group,15
Sultan Dagi,15
Huerfano,15
Spence Bridge,15
Oka,15
Teremba,15
Bertie Grp.,15
SELMA GROUP?,15
Tanabe Group,15
Kani,15
Ellis Grp,15
Nashville Grp,15
Lufeng Basin,15
Supai,271
Hudson River Grp,527
Kansas City Grp,2063
Goshonoura,16
Umberatana Grp,16
Orca Group,16
Fox Hills Group,16
Khirtar,16
Limestone,16
Lias Grp,16
Payette,16
"Culm Supergroup, Upper Culm Measures Group",16
KANSAS CITY GROUP,16
Thames,16
Panoche Group,16
Wichita-Albany,16
"Karoo, Dwyka",16
Yaque,16
Black Rock Limestone,16
Lower Ludlow,16
Kingsvale,16
"Bassein Group, Arakan Series",16
Tinui,16
Marcellus,16
Hackerberry,16
Des Moines,16
Farwah,16
Lower Oil Shale Gp,16
Casper,16
Salt Lake,16
Hidaka Group,16
Sakasegawa,16
MULGA DOWNS,16
Cumberland Grp,16
Takla,16
Senonian Series,16
CINCINNATI GROUP,16
Upper Beacon,16
Nuussuaq,16
Nevadella,16
Ffairfach Group,16
Red Sandstone Group,16
Babarshan,16
St. John's,16
Utatur,16
Tokarahi,272
Fanning River Group,17
Upper Lukuga,17
Guayuta Group,17
Valmy,17
Tropico,17
St.Louis Group,17
Qusseir,17
Macal Shale Group,17
West Fall,17
TRINITY,17
"Hamilton, Middle",17
Upper Buntsandstein,17
Pocahantas,17
La Amarga,17
Duncannon Group,17
Lower Deltaic [Estuarine] Series,17
Taylor Grp,17
São Bento,17
TORQUAY GROUP,17
Cincinnatian,17
Shasta,17
Tanggula,17
Wadi Thamat Group,17
Chispa Summit,17
CERAMBYCIDAE,17
Verbicaro Unit,17
NEWARK SERIES,17
Hell Creek,17
Huobachong,17
RIO GUATEMALA GROUP,17
Araipe Group,17
OXFORDIAN,17
Delorme,17
Middle Buntsandstein,17
Raub Group,17
Dunkard Grp,17
Millstone Grit Grp,17
MORGAN GROUP,17
Ignacio,17
Buckeberg Sequence,17
LEIODIDAE,17
Culm Group,17
McNamara Group,17
Xinminpu,17
Paint Creek Group,17
Mont-Bernon,17
Jackass Mountain,17
Canadaway,273
Tavsens Iskappe,273
Old Red Sandstone Supergroup,529
Greenhorn,529
Pasayten,18
FT. PIERRE GRP,18
Trenton (Clitambonites bed),18
Plattin Group,18
"Old Red Sandstone Supergroup, Wood Bay Group",18
"West Ural Basin, Tatarian",18
Bolshesininskaya Series,18
Hashiura,18
"Kuzuryu Subgroup, Tetori Group",18
Monmouth group,18
Oshima,18
Lias Series,18
Belle Fourche,18
Cascades,18
Marchmount Inlier Group,18
Haimanta,18
Upper Jijicao,18
Condroz Sandstone Group,18
Lower Lufeng Series,18
San José de Gracia,18
Green Canyon Group,18
Harrodsburg,18
Shinjo Group?,18
Lower Burindi Group,18
Pulluicana,18
Wolfcampian Series,18
Cangfanggou,18
tidal flat sediments,18
Songea Group,18
Naco,18
Kuabgen,18
Cassange,18
Montana Grp.,18
MIGUASHA,18
Callaway,18
Camden Haven,18
Upper Shadoron Series,18
Schooler Creek,18
Wuchang,18
Salina Group,18
Hekou,18
Late Osage Grp.,18
Copacabana Group,274
Araripe,786
Ariyalur,19
Ely,19
Detritic,19
Songea,19
Morrow Grp,19
Cogollo,19
Fort St. John Group,19
Pound,19
Takakurayama Group,19
Mokattam Series,19
Elk Mound,19
ARARIPE SERIES,19
TRAVERSE GROUP,19
Ardwell Group,19
Corniferous,19
Chiatsun Group,19
Eke Group,19
"Chalk Group, Grey Chalk Subgroup",19
Maysville Grp.,19
Hackberry Grp.,19
Vale do Carirí,19
Challenger,19
Suertes,19
Simpson Grp,19
Early Permian,19
Snyder Creek,19
Shawnee Group?,19
Saint Louis Grp,19
Kansas City Group?,19
Nant Hir,19
Angulos,19
Mictaw Grp,19
Hawthorne,19
Monmout,19
Tejon Group,19
"Carboniferous Limestone Supergroup, Middle Carboniferous Limestone",19
Modelo,19
HUNTON,19
Laberge,275
Rancocas,275
Selborne,20
Alleghany,20
Premygdonian,20
werra,20
New River,20
Zenne Group,20
Qinglongjing,20
Polypiers redeposes,20
La Vid-Raneces,20
Bon-Tsagaan,20
Gault,20
Allt Ddu,20
Albany,20
Subathu,20
Kinderhook Grp,20
Ditton,20
McLeansboror,20
Amsden Grp,20
Portage Grp,20
Traverse City,20
Taiyun Series,20
Dan River Group,20
Limestone Coal Group,20
Okobykay,20
Nari,20
Wuli,20
Cowlitz Formation,20
Kirikiri,20
Strathmore Group,20
PAMUNKEY GROUP,20
Rancocas Group,20
Productus Creek,276
Lower Ludlow Shales Group,276
Yatsuo Group,276
Hueco Grp,276
Lara,276
Gorbousha,788
Meade,788
Golden Bay,21
Morrow,21
MARMATON,21
Woods Run,21
Lingwen,21
Animikie Group,21
Cosheston Group,21
Tonto Group,21
Chanarcillo,21
Bayinhe,21
Clinton Grp.,21
Vamoosa,21
Casno,21
Bokkeveld Grp,21
Gronant,21
Glen Eyrie,21
Red Crag,21
Lower Ditton,21
Nuoyinhe,21
Qinglong,21
Port Au Port,21
Conemaugh Grp,21
Claiborne Grp.,21
Rewan,21
North Hill,21
Whitehouse,21
1er Bani,277
Tulsa Group,1045
Manzano,22
Tsunozu,22
Kaixinling,22
Silver Peak Group,22
Riversdale,22
Agua Salada,22
Hamrat Duru,22
Ocala Grp,22
Relay Mountain Group,22
Freeport Group,22
Quebec Group,22
Bajada del Agrio,22
Nishisonogi Group,22
Weald Clay Group,22
Cisco,278
Keokuk Group,790
Bolander Group,23
Asata Nkporo Shale Group,23
Amsden,23
Belalabinskaya,23
Miyazaki,23
"""Pailungchiang""",23
Ravalli Group,23
Xiangyun,23
Gallatin Grp,23
Alazan,23
Manda,23
Madison Grp.,23
Kuldiminskaya Series,23
Petherwin,23
Strathclyde,23
Lotena,23
Rosário do Sul,23
Cementstone Group,23
Pahaoa,23
Namurian Shales,23
Alberta,23
Heritage,23
Vogel River Series (?),23
Selborne Grp.,23
Kirthar,23
Copacabana,279
Twin River Group,791
Arauco,24
Lower Lias,24
Liveringa,24
Derna,24
Aghdarband,24
Salt Mountain,24
Patinasporites densus Zone,24
Argun,24
eolianite,24
Edge Coal,24
Goose Tickle,24
Mud Springs,24
Socorro Series,24
Masseys Creek,24
Yugashima,24
Nanaimo Grp,24
McCoy Group,24
Gila,24
Gadeb Plain,24
Alston,24
Armendaris Group,24
Wealden Supergroup,24
Woodbine,24
Matapédia,24
Sonnebait Series,24
Argana,24
Boyne,24
Newark Supergroup,24
Golden Valley,24
Keyser Group,24
Sangre De Cristo Group,24
Red Bay Group,24
Cabullona,24
Molasse,536
St. George Grp,1048
Hamilton Grp,19992
Khorbusuonka,25
Kap Brewster,25
Bells Landing,25
Arbuthnott,25
Pampa de Agnia,25
Eureka Group,25
Arrialoor Group,25
Othris,25
HYDRAENIDAE,25
Gaspar Sandstone Series,25
Lower Yezo,25
Takhtakay,25
Wick flagstone,25
Edya flagstone,25
Asuncion Group?,25
Upper Coal Measures,25
Upper Greensand Group,25
Kwanmon,25
Newer Parian Group,25
Wasia,25
Hastings Beds,25
PHALACRIDAE,25
Wisconsin,25
Lansing or Kansas City Group,25
Ely Limestone,25
Whitcliffe,25
Maizuru,281
Portland Group,537
Stormberg,537
Lower Gosau,26
Botweed Group,26
Cupido,26
Sanguineira,26
Hamitlon,26
Izee Group,26
North Esk,26
Bronson,26
Bahia Supergroup,26
Wegen,26
Upper Muschelkalk,26
Nama,26
Steinmergel,26
Mont Bernon Group,26
Capita,26
Farrington Group,26
Tetagouche Grp,26
Kawr,26
Oil Shale,26
Hunton Grp.,26
Luzanovka,26
Plattin,26
Otaua,26
Acigöl,26
Panoche,282
