continent,reps
-51.2116667,1
-7.5166667,1
-9.2973611,1
.,1
/,25
0.01,145
0.9636111,1
06/IV/2008,1
07/IV/2008,1
1,3873
1 fêmea,8
1 macho,9
"1,5km au Nord Ouest d'Antsaravy""",1
10 Mile Creek,1
"10 machos, 2 fêmeas",1
10-dead Creek,2
13/II/2002,1
1966-11-25,1
1986-09-25,1
198910**,1
1994-04-12,1
2,121
2 fêmeas,1
"2 machos, 6 fêmeas",1
2002-05-18,1
2007-04,6
2008-05-19,2
2009-09,1
2017-09-19,1
2017-09-20,1
3,16
3 fêmeas,1
"3 machos, 26 fêmeas",1
300 Springs,5
31/08/1995,1
3rd Lake,1
4,12
4 km E Gorham,1
"4 machos, 3 fêmeas",1
4 mi. S. Lake Sabrina,3
4-mile Creek,46
5,4
5 fêmeas,2
5 fêmeas 4 machos,1
"5 machos, 10 fêmeas",1
5/XII/2008,2
50 - Australasia,10
51 Mill Creek Upper sta. center,1
7,129
7-8,21
8,159
8 mi. Brook,2
9,1
?,1236
?Santa Cruz Ids.,1
A,1
A America,1
AF,136503
AFRICA,7279
AFrica,4
ALCB,2
AMERICA,25524
AMÉRICA,2925
AMÉRICA NORTE,9
AN,27
ANTARCTICA,7575
ANTARTICA,132
AR,14
AS,1881
AS  Creek,4
ASH CREEK,1
ASIA,8146
ASIA-TROPICAL,252
ASIA?,3
ASia,1
ATLANTIC OCEAN,6
AUSTRALIA,529
Abernathy Springs,1
Above Lake Randall,2
Abrams Creek,843
Abrams creek,1
Acatlan Del Rio,1
Ackerman Creek,3
Ackerman Lake,1
Acquia Creek,2
Acre,1061
Adams Creek,3
Adds Branch,1
Adobe Creek,18
Adriatic Sea,18250
Adtown Creek,1
Aeneroid Lake,1
Affluent du Lac Lowerz,6
Affluent du Lac Majeur a Ranzo,1
Afica,836
Afirca,1
Afr.,4
Afr.N. & Moy.-Or.,291
Afric,1
Africa,22044388
Africa & Madagascar,537586
Africa / Asia,17
Africa / Europe,1
Africa ?,28
Africa del Sur,4
Africa.2333,1
Africa/Asia,1042
Africa/Asia/Europe,2
Africa; Asia,1
Africa?,63
Africain,119
Africamalia,1
Africano,3
Africaulus,1
Afriica,1
Afrika,4282
Afrika [M och s],1
Afrika [hemland],4
"Afrika [troligen fel], Australien  [Sannolikt]",1
Afrika [ursprung],3
"Afrika, M",1
"Afrika, V",1
"Afrika, norra",1
"Afrika, ost [hemland]",1
"Afrika, västra",2
"Afrika, västra eller norra [ursprung]",1
Afriqque centrale,1
Afrique,344185
Afrique Orientale,2
Afrique australe,25
Afrique centrale,518
Afrique centralz,1
Afrique de l'Est,12
Afrique de l'Ouest,2
Afrique du Nord,6
Afrique du nord,61
Afrique noire,52
Afrique occidentale,2
Afrique occidentale française,13
Afrique occidentale précise,1
Afrique orientale,18
Afrique septentrionale,12
Afrique/Asie,4
Afrique/Paléarctique,2
Afro-Eurasie,6
Afrotropical,32196
Afrotropicale,561
Afrotropique,4882
Aftica,13
Agate Creek,17
Agawa River,15
Agua Fria River,1
Ahaura River,13
Ahnapee River,17
Ahtel Creek,3
Airhart Spring,6
Aisa,101
Akins Creek,2
Alabuga River,501
Alafia River,1
Alagoas,74
Alapaha R.,2
Alaqua Creek,1
Albany River,10
Alcohol Brook,2
Alcorn Creek,4
Alcova River,2
Alcovy RIver,5
Alder Brook,4
Alder Creek,21
Alder Creek tributary of Sandy River,1
Alder Meadow Brook,1
Alder Springs,2
Algoa Bay,1
Alguna Quebrada,1
Allais Creek,7
Allatoona Creek,2
Allegheny Portage Creek,10
Allegheny River,5
Allen's Washout,3
Allens Creek,16
Allequash River,1
Alley Spring,2
Allforks Creek,15
Allison Ditch,6
Alloway Creek,1
Allyn River,17
Almena Mill Pond,17
Almerim,11
Alpine Creek,29
Alsea River,39
Altamaha River,11
Altamira,109
Alton Branch Credit River,7
Alum Cave Creek,4
Alum Creek,35
Alum Fork Saline River,2
Alum creek,2
Am_rica do Norte,7
Am_rica do Sul,86
Amazonas,1438
Amboasary River,10
Amboromptsy River,5
"Ameghino, 1883",1
America,216614
America Central,3
America Septentrional,1
America de Sur,204
America del Norte,45
America del Sur,68
America do Norte,80
America do Sol,10
America do Sul,3491
America do sul,1
"America, North and Central",1
America3,263
AmericaCentral,15
AmericadoNorte,37
AmericadoSul,6991
American Creek,1
American Fork,2
American River,66
Americano,752
Americas,10513
Amerika,6
Amerika    ,1
Amerique,7
Amerique Sept.,1
Amerique du Sud,131
Ameryka Płn.,1
Amethyst Creek,5
Amethyst Lake,3
Amey Creek,3
Amica Creek Tributary Yellowstone Lake,1
Amicalola River,7
Amite River,6
Ammonoosuc River,12
AmÃ©rica,101
AmÃ©rica Central,3
AmÃ©rica do Norte,43
AmÃ©rica do Sul,3534
AmÈrica Central,49
AmÈrica del Sur,181
AmÈrica do Norte,2
AmÈrica do Sul,3183
Amèrica,4603
Améria do Norte,1
Améria do Sul,2
América,3866793
América  do Sul,3
América Central,4818
América Central - O. Pacífico,1
América Central y Caribe,324
América Septentrional*,1
América Setentrional*,1
América central,37
América da Norte,1
América da Sul,17
América del Norte,6065
América del Norte-O. Atlántico,3
América del Sur,277967
América del Sur - O. Atlántico,274
América del sur,52
América do Norte,11086
América do Norte*,1
América do Sul,1819933
América do Sul*,18
América do Sul?,2
América do norte,934
América do sul,371
América so Sul,2
América/Atlántico,1
"América/Caribe, Atlántico",14
América/Golfo de California,6
América/Golfo de México,830
América/Pacífico,3
América/Pacífico Mexicano,207
AméricaCentral,864
AméricadoNorte,1958
AméricadoSul,95297
Amérique,12353
Amérique ?,1
Amérique Centrale,1122
Amérique cenrale,1
Amérique centrale,3153
Amérique centrale ?,4
Amérique du  Nord,7
Amérique du Nord,4768
Amérique du Nord?,1
Amérique du Sud,21792
Amérique du Sud ?,2
Amérique du sud,988
Amérique méridionale,5
Amérique septentrionale,3
Amériques,818
Amériques?,1
Am�rica,626
Anan Creek,2
Andaman Sea,8
Anderson Creek,41
Anderson Lake,16
Andreafsky River,1
Androscoggin River,3
Aneroid Lake,3
