taxonRank,reps
Cape Hatteras/2001/002,2
Cape Hatteras/2001/003LT,19
Cape Hatteras/2001/003UT,6
Cape Hatteras/2001/004,16
Cape Hatteras/2001/005,11
Cape Hatteras/2001/006,44
Cape Hatteras/2001/007,7
Cape Hatteras/2001/008,20
Cape Hatteras/2001/009,13
Cape Hatteras/2001/010,9
Cape Hatteras/2001/011,7
Cape Hatteras/2001/012,1
Cape Hatteras/2001/013,14
Cape Hatteras/2001/014,3
Cape Hatteras/2001/015,4
Cape Hatteras/2001/016,3
Cape Hatteras/2001/017,1
Cape Hatteras/2001/018,12
Cape Hatteras/2001/019,3
Cape Hatteras/2001/020,2
Cape Hatteras/2001/021,22
Cape Hatteras/2001/022,6
Cape Hatteras/2001/023,15
Cape Hatteras/2001/024,19
Cape Hatteras/2001/025,28
Cape Hatteras/2001/026,8
Cape Hatteras/2001/026B,38
Cape Hatteras/2001/027,7
Cape Hatteras/2001/028,19
Cape Hatteras/2001/029,23
Cape Hatteras/2001/030,9
Cape Hatteras/2001/031,2
Cape Hatteras/2001/032,28
Cape Hatteras/2001/033,4
Cape Hatteras/2001/034,3
Cape Hatteras/2001/035,6
Cape Hatteras/2001/037,6
Cape Hatteras/2001/038,3
Cape Hatteras/2001/039,6
Cape Hatteras/2001/040,1
Cape Hatteras/2001/041,6
Cape Hatteras/2001/042,1
Cape Hatteras/2001/043,6
Cape Hatteras/2001/044,2
Cape Hatteras/2001/045,9
Cape Hatteras/2001/046,4
Cape Hatteras/2001/047,22
Cape Hatteras/2001/049,19
Cape Hatteras/2001/050,14
Cape Hatteras/2001/052,18
Cape Hatteras/2001/053,18
Cape Hatteras/2001/055,5
Cape Hatteras/2001/056,9
Cape Hatteras/2001/057,5
Cape Hatteras/2001/058,3
Cape Hatteras/2001/059,5
Cape Hatteras/2001/060,1
Cape Hatteras/2001/062,1
Cape Hatteras/2001/063,4
Cape Hatteras/2001/065,5
Cape Hatteras/2001/066,5
Cape Hatteras/2001/068,3
Cape Hatteras/2001/069,4
Cape Hatteras/2001/070,4
