organismScope,reps
Cladorrhinum bulbillosum Gams & Mouchacca,1
"Cladorrhinum flexuosum H. Madrid, Cano, Gené & Guarro",1
Cladorrhinum foecundissimum Saccardo & Marchal,3
"Cladosporium allicinum (Fr.) Bensch, U. Braun & Crous",1
Cladosporium amoenum Castañeda,1
Cladosporium bruhnei Linder,11
Cladosporium butyri Jensen,1
Cladosporium cladosporioides (Fresenius) de Vries,11
Cladosporium cladosporioides f. pisicola (Snyder) de Vries,2
Cladosporium cladosporioides gr.,2
Cladosporium colocasiae Sawada,3
Cladosporium cubense Castañeda,2
Cladosporium cucumerinum Ellis & Arthur,3
Cladosporium delicatulum Cooke,1
"Cladosporium dominicanum Zalar, de Hoog & Gunde-Cimerman",2
Cladosporium effusum (Winter) Demaree,1
Cladosporium elatum (Harz) Nannfeldt,4
Cladosporium fulvum Cooke,6
"Cladosporium halotolerans Zalar, de Hoog & Gunde-Cim.",9
Cladosporium herbarum (Persoon : Fries) Link,11
Cladosporium herbarum gr.,4
"Cladosporium inversicolor Bensch, Crous & U. Braun",1
"Cladosporium inversicolor Bensch, Crous & U. Braunl",3
"Cladosporium langeronii (Fonseca, Leão & Nogueira) Vuillemin",1
Cladosporium macrocarpum Preuss,6
Cladosporium malorum Ruehle,1
Cladosporium oxysporum Berkeley & Curtis,8
Cladosporium paeoniae Passerini,1
"Cladosporium perangustum Bensch, Crous & U. Braun",4
"Cladosporium pseudocladosporioides Bensch, Crous & U. Braun",2
"Cladosporium ramotenellum K. Schubert, Zalar, Crous & U. Braun",10
Cladosporium rigidophorum Castañeda et al.,1
"Cladosporium sinuosum K. Schubert, C.F. Hill, Crous & U. Braun",5
Cladosporium sp.,5
Cladosporium sphaerospermum Penzig,28
Cladosporium tenuissimum Cooke,6
Cladosporium variabile (Cooke) G.A. de Vries,1
Cladosporium variabile (Cooke) de Vries,1
"Cladosporium verrucocladosporioides Bensch, H.-D. Shin, Crous & U. Braun",2
Cladosporium vignae Gardner,1
Clathridium corticola (Fuckel) Shoemaker & E. Müller,1
Clathrosphaerina zalewskii van Beverwijk,1
Clathrus archeri (Berkeley) Dring,1
Claviceps paspali Stevens & Hall,1
Claviceps purpurea (Fries: Fries) Tulasne,1
Clavispora lusitaniae Rodrigues de Miranda,44
"Clavispora reshetovae Yurkov, Schäfer & Begerow",1
Climacodon pulcherrimus (Berkeley & Curtis) Nikolajeva,2
Climacodon septentrionalis (Fries) P. Karsten,1
Clitocybe clavipes (Persoon : Fries) Kummer,1
Clitocybe geotropa (Bulliard) Quélet,1
Clitocybe irire,1
Clitocybe nebularis (Batsch : Fries) Kummer,3
Clitocybe odora (Bulliard : Fries) Kummer,1
Clonostachys buxi (J.C. Schmidt ex Link) Schroers,1
Clonostachys candelabrum (Bonorden) Schroers,2
Clonostachys compactiuscula (Saccardo) D. Hawksworth & W. Gams,2
Clonostachys rosea (J.C. Gilman & E.V. Abbott) Schroers f. catenulata,1
"Clonostachys rosea (Link) Schroers, Samuels, Seifert & W. Gams f. rosea",4
Clonostachys sp.,1
Cochliobolus australiensis (Tsuda & Ueyama) Alcorn,1
Cochliobolus bicolor Paul & Parbery,3
Cochliobolus carbonum R.R. Nelson,4
Cochliobolus chloridis Alcorn,1
Cochliobolus geniculatus R. Nelson,3
Cochliobolus hawaiiensis Alcorn,1
Cochliobolus heterostrophus (Drechsler) Drechsler,2
Cochliobolus intermedius R. Nelson,2
Cochliobolus kusanoi (Nisikado) Drechsler ex Dastur,1
Cochliobolus lunatus R. Nelson & Haasis,15
Cochliobolus miyabeanus (S. Ito & Kuribayashi) Drechsler ex Dastur,5
Cochliobolus nisikadoi (Tsuda et al.) Alcorn,2
Cochliobolus ravenelii Alcorn,1
Cochliobolus sativus (S. Ito & Kuribayashi) Drechsler ex Dastur,242
Cochliobolus spicifer R.R. Nelson,12
Cochliobolus victoriae R. Nelson,4
Codinaea assamica (Agnihothrudu) Hughes & Kendrick,1
Coemansia braziliensis Thaxter ex Linder,1
Coemansia pectinata (Coemans) Bainier,1
Cokeromyces recurvatus Poitras,1
Colacogloea peniophorae (Bourdot & Galliulina) Oberwinkler & Bandoni,1
Coleophoma cylindrospora (Desmazières) von Höhnel,1
"Colletotrichum asianum Prihastuti H., Cai L.& Hide K.D.",2
Colletotrichum capsici (H. Sydow) E. Butler & Bisby,1
Colletotrichum coccodes (Wallroth) Hughes,3
Colletotrichum coffeanum Noack sensu Hindorf,6
Colletotrichum crassipes (Speg.) Arx,6
Colletotrichum crassipes (Spegazzini) von Arx,1
Colletotrichum gloeosporioides (Penzig) Penzig & Saccardo,4
Colletotrichum gossypii Southworth,2
Colletotrichum graminicola (Cesati) Wilson,2
Colletotrichum kahawae J.M. Waller & Bridge,1
Colletotrichum lindemuthianum (Saccardo & Magnus) Briosi & Cavara,2
Colletotrichum lini (Westerdijk) Tochinai,1
Colletotrichum macrosporum saccardo,1
Colletotrichum musae (Berkeley & Curtis) von Arx,4
Colletotrichum nigrum Ellis & Halsted,1
Colletotrichum sp.,77
Colletotrichum theobromicola Delacroix,143
Collybia butyracea (Bulliard : Fries) Quélet,1
Collybia fusipes (Bulliard : Fries) Quélet,3
Collybia peronata (Bolton : Fries) Kummer,1
Collybia reinakeana Hennings,1
Coltricia stuckertiana (Spegazzini) Rajchenberg & Wright,2
Columnocystis abietina (Persoon : Fries) Pouzar,1
Columnocystis africana Boidin,1
Columnocystis ambigua (Peck) Pouzar,1
Conferticium insidiosum (Bourdot & Galzin) Hallenberg,11
Conferticium ochraceum (Fries) Hallenberg,2
Conidiobolus coronatus (Costantin) Batko,1
Coniella pulchella von Höhnel,1
Coniochaeta ellipsoidea Udagawa,1
Coniochaeta kellermannii (Ellis & Everhart) Munk,1
"Coniochaeta polymorpha Z.U. Khan, J.P. Guarro & S. Ahmad",1
Coniochaeta tetraspora Cain,2
Coniochaeta velutina (Fuckel) Cooke,1
Coniochaetidium mirabile Udagawa & Tsubouchi,1
Coniophora arida (Fries : Fries) Karsten,7
Coniophora marmorata Desmazières,11
Coniophora matsuzawae Yasuda ex Lloyd,1
Coniophora olivacea (Fries) Karsten,2
Coniophora puteana (Schumacher : Fries) P. Karsten,27
Coniophora submembranacea (Berkeley & Broome) Saccardo,1
Coniothyrium carpaticum Petrak,1
Coniothyrium clematidis-rectae Petrak,1
Coniothyrium concentricum var. agaves Saccardo,1
Coniothyrium cupressacearum (Morelet) Morelet,1
Coniothyrium fuckelii Saccardo,5
Coniothyrium olivaceum Bonorden,1
Coniothyrium palmarum Corda,1
Coniothyrium sp.,1
Conoplea mangenotii Reisinger,1
Coprinellus disseminatus (Persoon) J.E. Lange,1
Coprinellus domesticus (Bolton: Fries) Vilgalys et al.,12
Coprinellus micaceus (Bulliard: Fries) Vilgalys et al.,3
Coprinellus radians (Desmazières) Vilgalys et al.,10
Coprinopsis atramentaria (Bulliard: Fries) Redhead et al.,1
"Coprinopsis cinerea (Schaeffer) Redhead, Vilgalys & Moncalvo",1
Coprinopsis clastophylla (Maniotis) Redhead et al.,1
Coprinopsis nivea (Persoon: Fries) Redhead et al.,1
Coprinus comatus (O.F. Müller : Fries) Persoon,5
Coprinus disseminatus (Persoon : Fries) S.F. Gray,4
Coprinus plicatilis (Curtis: Fries) Fries,1
Coprinus stercorarius (Bulliard : Fries) Fries,2
Coprinus stercoreus Fries,1
Coprinus tuberosus Quélet,1
Coprinus xanthothrix Romagnesi,1
Cordana pauciseptata Preuss,6
Cordyceps gracilioides Kobayashi,1
Cordyceps gracilis (Greville) Durieu & Montagne,1
Cordyceps militaris (Linnaeus ex Fries) Link,1
Cordyceps ophioglossoides (Ehrenberg ex Fries) Link,1
Coremiella cubispora (Berkeley & Curtis) M.B. Ellis,1
Coriolopsis polyzona (Persoon) Ryvarden,4
Coriolopsis rigida (Berkeley & Montagne) Murrill,1
Coronicium albo-glaucum (Bourdin & Galzin) Jülich,3
Corticium conigenum Shear & Davidson,1
Corticium meridioroseum Boidin & Lanquetin,4
Cortinarius alboviolaceus Fries,1
Corynascus novoguineensis (Udagawa & Horie) von Arx,1
Corynascus sepedonium (C.W. Emmons) von Arx,7
Corynascus sepedonium (Emmons) von Arx,4
Corynespora melonis (Cooke) Lindau,1
Corynespora sesameum (Saccardo) Goto,1
Corynesporopsis antillana Castañeda & Kendrick,1
Coryneum beijerinckii Oudemans,1
"Cosmospora butyri (J.F.H. Beyma) Gräfenhan, Seifert & Schroers",2
Crepidotus variabilis (Persoon : Fries) Kummer,1
Crinipellis perniciosa (Stahel) Singer,3
Cristulariella depraedans (Cooke) von Höhnel,1
Crustoderma corneum (Bourdot & Galzin) Nakasone,1
Crustomyces expallens (Bresadola) Hjortstam,12
Crustomyces subabruptus (Bourdot & Galzi) Jülich,3
Cryphonectria havanensis (Bruner) M.E. Barr,1
Cryphonectria parasitica (Murrill) M.E. Barr,1
Cryptendoxyla hypophloia Malloch & Cain,11
Cryptocline cinerescens (Bubák) von Arx,1
"Cryptococcus adeliensis Scorzetti, I. Petrescu, Yarrow & Fell",3
Cryptococcus aerius (Saito) Nannfeldt,1
Cryptococcus aerius (Saito) Nannizzi,4
Cryptococcus albidosimilis Vishniac & Kurtzman,3
Cryptococcus albidus (Saito) C.E. Skinner var. albidus,32
Cryptococcus albidus (Saito) Skinner,5
Cryptococcus albidus var. kuetzingii (Fell & Phaff) Fonseca at al.,4
Cryptococcus albidus var. ovalis Sugiyama & Goto,1
Cryptococcus amylolentus (van der Walt et al.) Golubev,2
Cryptococcus aquaticus (Jones & Slooff) Rodrigues de Miranda & Weijman,3
Cryptococcus aureus (Saito) Takashima et al.,1
"Cryptococcus bestiolae Thanh, Hai & Lachance",1
Cryptococcus bhutanensis S. Goto & Sugiyama,3
Cryptococcus carnescens (Verona & Luchetti) Takashima et al.,14
"Cryptococcus chernovii A. Fonseca, Scorzetti & Fell",1
Cryptococcus curvatus (Diddens & Lodder) Golubev,16
"Cryptococcus cyanovorans Motaung, Albertyn, Kock & C.H. Pohl",1
Cryptococcus daszewskae Takashima et al.,1
Cryptococcus diffluens (Zach) Lodder & Kreger-van Rij var. diffluens,5
"Cryptococcus diffluens (Zach) Lodder & Kreger-van Rij, Yeasts",1
Cryptococcus dimennae Fell & Phaff,1
Cryptococcus ferigula Saëz & Rodrigues de Miranda,1
Cryptococcus filicatus W. Golubev & Sampaio,1
Cryptococcus flavescens (Saito) C.E. Skinner,1
Cryptococcus flavescens (Saito) Skinner et al.,6
Cryptococcus flavus (Saito) Phaff & Fell,2
Cryptococcus fuscescens Golubev,1
Cryptococcus gastricus Reiersøl & di Menna,4
Cryptococcus gattii (Vanbreuseghem & Takashio) Kwon-Chung & Boekhout,33
Cryptococcus gilvescens Chernov & Bab'eva,2
Cryptococcus heimaeyensis Vishniac,4
Cryptococcus heveanensis (Groenewege) Baptist & Kurtzman,1
Cryptococcus huempii (C. Ramírez & A. González) Roeijmans et al.,1
Cryptococcus humicola (Daszewska) Golubev,18
Cryptococcus laurentii (Kufferath) C.E. Skinner var. laurentii,31
Cryptococcus laurentii (Kufferath) Skinner,6
"Cryptococcus liquefaciens (Saito & M. Oda) A. Fonseca, Boekhout & Fell",3
Cryptococcus luteolus (Saito) C.E. Skinner,5
Cryptococcus macerans (Frederiksen) Phaff & Fell,10
Cryptococcus magnus (Lodder & Kreger-van Rij) Baptist & Kurtzman,1
Cryptococcus magnus (Lodder & Kreger-van Rij) Baptist & Kurtzman var. magnus,1
Cryptococcus marinus (van Uden & Zobell) Golubev,1
"Cryptococcus nemorosus W. Golubev, Gadanho, J.P. Sampaio & N. Golubev",1
Cryptococcus neoformans gr.,82
"Cryptococcus neoformans var. grubii Franzot, Salkin & Casadevall",503
"Cryptococcus neoformans var. neoformans emend. Franzot, Salkin & Casadevall",43
Cryptococcus peneaus (Phaff et al.) Takashima et al.,1
Cryptococcus pinus W. Golubev & I. Pfeiffer,3
Cryptococcus podzolicus (Bab'eva & Reshetova) Golubev,3
"Cryptococcus ramirezgomezianus M. Takashima, Sugita, Shinoda & Nakase",1
"Cryptococcus saitoi A. Fonseca, Scorzetti & Fell",3
"Cryptococcus saitoi Á. Fonseca, Scorzetti & Fell",3
Cryptococcus skinneri Phaff & do Carmo-Sousa,2
Cryptococcus sp.,17
Cryptococcus stepposus Golubev & J.P. Sampaio,1
Cryptococcus stepposus W. Golubev & J.P. Sampaio,5
Cryptococcus tephrensis Vishniac,6
"Cryptococcus terrestris Crestani, Landell, Faganello, Vainstein, Vishniac & P. Valente",2
Cryptococcus terreus di Menna,6
Cryptococcus terricola T.A. Pedersen,5
Cryptococcus uniguttulatus (Zach) Phaff & Fell,4
Cryptococcus victoriae Montes & al.,1
"Cryptococcus victoriae Montes, Belloch, Galiana, M.D. García, C. Andrés, S. Ferrer, Torres-Rodriguez. & J. Guinea",14
Cryptococcus vishniacii Vishniac & Hempfling var. vishniacii,2
"Cryptococcus wieringae A. Fonseca, Scorzetti & Fell",6
Cryptocoryneum bigeminum (Cooke & Ellis) Hughes (nom. excl.),1
Cryptophiale udagawae Pirozynski & Ichinoe,4
Cryptosporiopsis melanigena Kowalski & Halmschlager,1
Cryptosporiopsis radicicola Kowalski & Bartnik,3
Ctenomyces serratus Eidam,1
Cubonia bulbifera Hotson,3
Cucurbitaria berberidis (Persoon: Fries) S.F. Gay,1
Cudoniella acicularis Schröter,1
Cunninghamella bertholletiae Stadel,3
Cunninghamella binariae R.Y. Zheng,1
"Cunninghamella binariae R.Y. Zheng, in Zheng & Chen",1
Cunninghamella clavata R.Y. Zheng & G.Q. Chen,1
Cunninghamella echinulata (Thaxter) Thaxter,2
Cunninghamella echinulata (Thaxter) Thaxter ex Blakeslee,3
Cunninghamella elegans Lendner,3
Cunninghamella multiverticillata (R.Y. Zheng and G.Q. Chen) R.Y. Zheng,1
Cunninghamella polymorpha Pispek,1
Cunninghamella septata R.-Y. Zheng,1
Cunninghammyces umbonatus (G.H. Cunningham) Stalpers,2
Curvicladium cigneum Decock & Crous,3
Curvularia affinis Boedijn,4
Curvularia clavata B.L. Jain,3
Curvularia eragrostidis (P. Hennings) J.A. Meyer,2
Curvularia geniculata (Tracey & Earle) Boedijn,3
"Curvularia hawaiiensis Manamgoda, L. Cai, K.D Hyde",1
Curvularia inaequalis (Shear) Boedijn,7
Curvularia lunata (Wakker) Boedijn,9
Curvularia lunata (Wakker) Boedijn var. aeria (Batista & al.) M.B. Ellis,2
Curvularia lunata var. aeria (Batista et al.) M.B. Ellis,2
Curvularia pallescens Boedijn,12
Curvularia penniseti (Mitra) Boedijn,2
Curvularia protuberata R.R. Nelson & Hodges,2
Curvularia senegalensis (Spegazzini) Subramanian,11
Curvularia trifolii (Kauffman) Boedijn,2
Curvularia verruciformis Agarwal & Sahni,1
Curvularia verruculosa Tandon & Bilgrami,3
Custingophora olivacea Stolk et al.,1
Cyathicula coronata (Bulliard : Fries) de Notaris,1
Cyathus stercoreus (Schweinitz) de Toni,1
Cyathus striatus (Hudson : Persoon) Willdenow,1
Cyberlindnera americana (Wickerham) Minter,4
Cyberlindnera bimundalis (Wickerham & Santa María) Minter,1
Cyberlindnera euphorbiiphila (Van der Walt) Minter,1
Cyberlindnera fabianii (Wickerham) Minter,3
"Cyberlindnera jadinii (Sartory, R. Sartory, Weill & J. Meyer) Minter",3
Cyberlindnera saturnus sp. complex (Klöcker) Minter,1
Cyclomyces iodinus (Montagne) Patouillard,4
Cyclomyces xeranticus (Berkeley) Y.C. Dai & Niemelä,1
Cylindrobasidium evolvens (Fries : Fries) Jülich,1
Cylindrocarpon candidum (Link ex Fries) Wollenweber,1
Cylindrocarpon congoense J.A. Meyer,2
Cylindrocarpon curtum Bugnicourt,2
Cylindrocarpon destructans (Zinssmeister) Scholten,2
Cylindrocarpon destructans var. crassum (Wollenweber) C. Booth,1
Cylindrocarpon didymum (Hartig) Wollenweber,8
Cylindrocarpon lichenicola (C.B. Massalongo) Hawksworth,1
Cylindrocarpon lucidum C. Booth,1
Cylindrocarpon magnusianum Wollenweber,1
Cylindrocarpon olidum (Wollenweber) Wollenweber var. olidum,1
Cylindrocarpon olidum (Wollenweber)Wollenweber,1
Cylindrocarpon olidum var. crassum Gerlach,1
Cylindrocarpon sp.,1
Cylindrocarpon supersimplex Matsushima,1
Cylindrocephalum aureum (Corda) Bonorden,1
Cylindrocephalum stellatum (Harz) Saccardo,1
Cylindrocladiella camelliae (Venkataramani & Venkata Ram) Boesewinkel,1
"Cylindrocladiella peruviana (Batista, J.L. Bezerra & M.M.PM Herrera) Boesewinkel",1
Cylindrocladium buxicola Henricot & Culham,2
"Cylindrocladium canadense J.C. Kang, P.W. Crous & C.L. Schoch",1
Cylindrocladium hawksworthii A. Peerally,3
Cylindrocladium heptaseptatum Sobers et al.,1
Cylindrocladium macrosporum Sherbakoff,1
Cylindrocladium parvum P.J. Anderson,2
"Cylindrocladium peruvianum Batista, J.L. Bezerra & M.M.P. Herrera",2
Cylindrocladium pteridis F.A. Wolf,1
Cylindrocladium scoparium Morgan var. scoparium,5
Cylindrocladium simplex J.A. Meyer var. simplex,1
Cylindrocladium spathiphylli Schoulties et al.,1
Cylindrodendrum album Bonorden,9
Cylindrophora hoffmanni W. Daszewska,1
Cylindrosporium concentricum Greville,1
Cylindrosympodium variabile (G.S. de Hoog) Kendrick & Castañeda,2
Cylindrotrichum clavatum W. Gams,1
Cylindrotrichum hennebertii W. Gams & Holubová-Jechová,2
Cylindrotrichum oligospermum (Corda) Bonorden,3
Cylindrotrichum triseptatum Matsushima,1
Cymatoderma dendriticum (Persoon) D.A. Reid,8
Cymatoderma elegans Junghuhn,4
Cymatoderma fuscum (Cooke) D.A. Reid,5
Cymostachys fabispora L. Lombard & Crous,1
Cyphellophora fusarioides (B.C. Sutton & C.K. Campbell) Decock,1
Cyphellophora guyanensis Decock & Delgado,1
Cyphellophora laciniata de Vries,2
"Cyphellophora suttonii (Ajello, Padhye & Payne) Decock",2
Cyphellophora vermispora Walz & de Hoog,1
"Cystobasidium laryngis (Reiersöl) A. Yurkov, A. Kachalkin, H.M. Daniel, M. Groenewald, D. Libkind, V. de Garcia, P. Zalar, D. Gouliamova, T. Boekhout & D. Begerow",1
Cystofilobasidium bisporidii (Fell et al.) Oberwinkler & Bandoni,3
Cystofilobasidium capitatum (Fell et al.) Oberwinkler & Bandoni,4
Cystofilobasidium infirmo-miniatum (J.W. Fell et al.) M. Hamamoto et al.,4
Cystostereum murraii (Berkeley & Curtis) Pouzar,2
Cytidia pezizoidea (Patouillard) Patouillard,8
Dacrymyces stillatus Nees : Fries,5
Dactylaria affinis (O. Rostrup) Bhatt & Kendrick,2
Dactylaria amoena Castañeda et al.,1
Dactylaria biseptata Matsushima,1
Dactylaria dimorphospora Veenbaas-Rijks,2
Dactylaria filiformis Castañeda et al.,1
Dactylaria fusiformis Shearer & Crane,5
Dactylaria haptospora Drechsler,2
Dactylaria humicola Bhatt & Kendrick,1
Dactylaria humicola G.J. Bhatt & Kendrick,1
Dactylaria irregularis G.S. de Hoog,2
Dactylaria lanosa Malla & W. Gams,1
Dactylaria laxa R.F. Castañeda,1
Dactylaria mitrata Matsushima,2
Dactylaria obclavata Castañeda et al.,1
Dactylaria obtriangularia Matsushima,4
Dactylaria parvispora (Preuss) de Hoog & von Arx,2
Dactylaria purpurella (Saccardo) Saccardo,1
Dactylaria sparsa Castañeda & Kendrick,1
Dactylaria zapatensis Castañeda,1
Dactylella candida (C.G. Nees) de Hoog & van Oorschot,2
Dactylella drechsleri Tarjan,2
Dactylella lysipaga Drechsler,2
Dactylella minuta Grove,3
Dactylella oxyspora (Saccardo & Marchal) Matsushima,2
Dactylospora stygia (Berkeley & Curtis) Hafellner,2
Daedalea quercina (Linnaeus : Fries) Fries,5
Daedalea quercina Linnaeus: Fries,1
Daedalea tricolor (Bulliard) Fries,1
Daedaleopsis confragosa (Bolton : Fries) Schroeter,5
Daldinia albofibrosa M. Stadler et al.,2
Daldinia asphalatum (Link) Saccardo,2
Daldinia caldariorum Hennings,3
Daldinia childiae J.D. Rogers & Y.M. Ju,13
Daldinia clavata Hennings,1
Daldinia concentrica,1
Daldinia concentrica (Bolton : Fries) Cesati & de Notaris,8
Daldinia decipiens Wollweber & M. Stadler,5
"Daldinia dennisii Wollw., J.A. Simpson & M. Stadler var. microspora Wollw. & M. Stadler",1
Daldinia eschscholzii (Ehrenberg) Rehm,50
Daldinia fissa Lloyd,3
Daldinia gelatinoides Lar. N. Vassiljeva,1
Daldinia govorovae Lar. N. Vassiljeva & M. Stadler,1
"Daldinia lloydii Y.M. Ju, J.D. Rogers & F. San Martin",2
Daldinia loculata (Léveillé) Saccardo,3
"Daldinia macaronesica M. Stadler, Wollweber & J. Castro",13
"Daldinia martinii M. Stadler, Venturella & Wollweber",3
"Daldinia palmensis M. Stadler, Wollweber & H.V. Tichy",1
"Daldinia petriniae Y.-M. Ju, J.D. Rogers & F. San Martin",4
Daldinia placentiformis (Berkeley & M.A. Curtis) Theissen,2
Daldinia pyrenaica M. Stadler & Wollweber,8
"Daldinia raimundi M. Stadler, Venturella & Wollweber",3
Daldinia sp.,3
Daldinia starbaeckii M. Stadler & Læssøe,1
"Daldinia steglichii M. Stadler, M. Baumgartner & Wollweber",4
"Daldinia vanderguchtiae M. Stadler, Wollweber & Briegert",1
Dasyscyphus fuscescens (Persoon : Fries) Rehm,1
Datronia mollis (Sommerfelt : Fries) Donk,4
Datronia orcomanta Robledo & Rajchenberg,2
Datronia stereoides (Fries) Ryvarden,2
Debaryomyces castellii Capriotti,1
Debaryomyces coudertii Saëz,1
Debaryomyces fabryi M. Ota,7
Debaryomyces gruetzii M. Ota,1
Debaryomyces hansenii (Zopf) Lodder & Kreger-van Rij,106
Debaryomyces hansenii (Zopf) Lodder & Kreger-van Rij var. fabryi (M. Ota) Nakase & M. Suzuki,14
Debaryomyces hansenii Lodder & Kreger-van Rij,9
Debaryomyces maramus di Menna,1
Debaryomyces melissophilus (Van der Walt & van der Klift) Kurtzman & Kreger-van Rij,1
Debaryomyces nepalensis S. Goto & Sugiyama,9
Debaryomyces occidentalis (Klöcker) Kurtzman & Robnett var. occidentalis,1
Debaryomyces occidentalis var. persoonii (Van der walt) Kurtzman & Robnett,1
Debaryomyces polymorphus var. polymophus (Klöcker) C.W. Price & Phaff,2
Debaryomyces pseudopolymorphus (C. Ramírez & Boidin) C.W. Price & Phaff,1
Debaryomyces robertsiae (van der Walt) Kurtzman & Robnett,1
Debaryomyces sp.,2
Debaryomyces subglobosus (Zach) Lodder & Kreger van Rij,5
Debaryomyces udenii Van der Walt et al.,1
Debaryomyces vanrijiae (van der Walt & Tscheuschner) Abadie et al. var. vanrijiae,1
Debaryomyces vanrijiae var. yarrowii (Santa Mariá & García Aser) Kreger-van Rij,1
Debaryomyces vietnamensis H.V. Nguyen,2
Debaryomyces yamadae (Van der Walt & E. Johannsen) Van der Walt et al.,1
Dekkera anomala M.T. Smith & van Grinsven,7
Dekkera bruxellensis van der Walt,22
Dekkera intermedia van der Walt,2
Dekkera sp.,1
Dendrocorticium ionides (Bresadola) M. Larsen & Gilbertson,5
Dendrocorticium roseocarneum (Schweinitz) M.J. Larsen & Gilbertson,3
Dendrodochium hymenuloides Saccardo,1
Dendrodochium sublunatum Matsushima,1
Dendrophora albobadia (Schweinitz : Fries) Chamuris,13
Dendropolyporus umbellatus (Persoon: Fries) Jülich,1
Dendrosporium lobatum Plakidas & Edgerton,1
Dendrostilbella prasinula von Höhnel,1
Dendryphiella arenaria J. Nicot,2
Dendryphiella arenaria Nicot,2
Dendryphiella vinosa (Berkeley & M.A. Curtis) Reisinger,1
Dendryphion comosum Wallroth,3
Dendryphiopsis atra (Corda) S. Hughes,1
Dentipellis fragilis (Persoon : Fries) Donk,5
Dentocorticium ussuricum (Parmasto) M. Larsen & Gilbertson,6
Dexhowardia tetraspora J.J. Taylor,1
Diaporthe oncostoma (Duby) Fuckel,1
Diaporthe perniciosa El. Marchal & Em. Marchal,2
Diatrype stigma (Hoffmann: Fries) Fries,2
Dichobotrys abundans Hennebert,3
Dichomitus campestris (Quélet) Dománski & Orlicz,1
Dichomitus leucoplacus (Berkeley) Ryvarden,5
Dichopleuropus spathulatus D.A. Reid,1
Dichostereum durum (Bourdot & Galzin) Pilát,9
Dichostereum effuscatum (Cooke & Ellis) Boidin & Lanquetin,12
Dichostereum granulosum (Fries) Boidin & Lanquetin,11
Dichostereum orientale Boidin & Lanquetin,11
Dichostereum pallescens (Schweinitz) Boidin & Lanquetin,11
Dichostereum peniophoroides (Burt) Boidin & Lanquetin,9
Dichostereum ramulosum (Boidin & Lanquetin) Boidin & Lanquetin,9
Dichostereum rhodosporum (Wakefield) Boidin & Lanquetin,6
Dichostereum sordulentum (Cooke & Massee) Boidin & Lanquetin,11
Dichotomomyces cejpii (Milko) D.B. Scott var. cejpii,1
Dichotomophthora lutea (Routien) de Hoog & van Oorschot,1
Dictyoarthrinium rabaulense Matsushima,1
Dictyochaeta ciliata (Onofri & Rambelli) Bhat & W.B. Kendrick,1
Dictyochaeta cylindrospora (G. Morgan-Jones & E.G. Ingram) A.M. Arambarri & M.N. Cabello,1
Dictyochaeta fertilis (Hughes & kendrick) Holubová-Jechová,1
Dictyochaeta gonytrichioides (Shearer & Crane) Kuthubutheen & Nawawi,1
Dictyochaeta querna P.M. Kirk,1
Dictyochaeta simplex (Hughes & Kendrick) Holubová-Jechová,3
Dictyochaeta triseptata (Matsushima) Castañeda,1
Dictyosporium elegans Corda,2
Dictyosporium micronesicum Matsushima,1
Dictyosporium toruloides (Corda) Guéguen,2
Dicyma nebularis (Cooke & Ellis) von Arx,1
Dicyma olivacea (Emoto & Tubaki) von Arx,2
Dicyma vesiculifera Pirozynski,2
Didymella ligulicola (Baker et al.) von Arx,2
Didymella lycopersici Klebahn,2
Didymella urticicola van der Aa & Boerema,1
Didymothozetia mimosoensis Rangel,1
Dinemasporium sp.,16
Dinemasporium strigosum (Persoon : Fries) Saccardo,1
Dioszegia crocea (Buhagiar) Takashima et al.,1
Dioszegia hungarica Zsolt,9
Dioszegia sp.,1
Diplocladiella scalaroides G. Arnaud ex Matsushima,1
"Diplococcium singulare Hernandez, Gené & Guarro",1
Diplodia cajani Raychaudhuri,1
Diplodia mutila (Fries) Montagne,1
Diplodia oryzae Miyake,1
Dipodascus aggregatus Francke-Grosmann,1
Dipodascus albidus de Lagerheim,1
Dipodascus australiensis von Arx & Barker,1
"Dipodascus capitatus G.S. de Hoog, M.T. Smith, E. Guého",3
Dipodascus magnusii (Ludwig) von Arx,1
Dipodascus ovetensis (Peláez Campomanes & Ramírez Gomez) von Arx,1
Dipodascus spicifer de Hoog et al.,1
Dipodascus tetrasperma (Macy & Miller) von Arx,2
Discohainesia oenotherae (Cooke & Ellis) Nannfeldt,1
Discosia artocreas Tode: Fries,2
Disporotrichum dimorphosporum (von Arx) Stalpers,1
Donkioporia expansa (Desmazières) Kotlába & Pouzar,25
Doratomyces asperulus Wright & Marchand,1
Doratomyces medius (Saccardo) Matsushima,1
Doratomyces microsporus (Saccardo) Morton & G. Smith,7
Doratomyces nanus (Ehrenberg : Fries) Morton & G. Smith,3
Doratomyces nanus (Ehrenberg ex Fries) Morton & G. Smith,2
Doratomyces purpureofuscus (Schweinitz : Fries) Morton & G. Smith,14
Doratomyces purpureofuscus (Schweinitz ex Fries) Morton & G.Smith,4
Doratomyces putredinis (Corda) Morton & G. Smith,2
Doratomyces sp.,2
Doratomyces stemonitis (Persoon : Fries) Morton & G. Smith,14
Dothiora cannabinae Froidevaux,5
Drechslera biseptata (Saccardo & Roumeguere) Richardson & Fraser,1
Drechslera biseptata (Saccardo & Roumeguère) Richardson & Fraser,5
Drechslera bromi (Diedicke) Shoemaker,1
