organismScope,reps
Aleurodiscus disciformis (de Candolle : Fries) Patouillard,1
Aleurodiscus gabonicus Boidin et al.,3
Aleurodiscus mirabilis (Berkeley & Curtis) von Höehnel,1
Aleurodiscus wakefieldiae Boidin & Beller,1
Alfaria ossiformis L. Lombard & Crous,1
Alternaria abundans (E.G. Simmons) Woudenberg & Crous,1
Alternaria acalyphicola E. Simmons,1
Alternaria agripestis E.Simmons & K. Mortensen,1
Alternaria alternata (Fries : Fries) von Keissler,28
Alternaria alternata (Fries ex Fries) von Keissler,16
Alternaria arborescens E.G. Simmons,9
Alternaria atra (Preuss) Woudenberg & Crous,1
Alternaria bataticola Ikata ex Yamamoto,3
Alternaria botrytis (Preuss) Woudenberg & Crous,4
Alternaria brassicae (Berkeley) Saccardo,2
Alternaria brassicicola (Schweinitz) Wiltshire,4
Alternaria calycipyricola R.G. Roberts,1
Alternaria chlamydospora Mouchacca,1
Alternaria citri Ellis & Pierce emend. Bliss & Fawcett,1
Alternaria gossypina (von Thümen) Hopkins,1
Alternaria infectoria E. Simmons,3
Alternaria infectoria gr.,2
Alternaria lini Dey,1
Alternaria longipes (Ellis & Everhart) Mason,1
Alternaria mouchaccae E. Simmons,1
Alternaria multirostrata E. Simmons & C.R. Jackson,2
Alternaria padwickii (Ganguly) M.B. Ellis,6
Alternaria porri (Ellis) Ciferri,3
Alternaria radicina Meier et al.,1
Alternaria raphani J.W. Groves & Skolko,1
Alternaria roseogrisea R.G. Roberts,1
Alternaria solani (Ellis & Martin) Sorauer,5
Alternaria soliaegyptiaca E.G. Simmons,1
Alternaria sp.,1
Alternaria tenuissima (Kuns : Fries) Wiltshire,5
Alternaria tenuissima (Kunzeex Fries) Wiltshire,2
Alternaria terricola Woudenberg & Crous,2
Alternaria triticimaculans Simmons & A. Perello,1
Alternaria triticina Prasada & Prabhu,8
Alternaria undulata R.G. Roberts,1
Alternaria ventricosa R.G. Roberts,1
Alternaria zinniae Pape ex M.B. Ellis,2
Amanita muscaria (Linnaeus : Fries) Hooker,1
"Amaurascopsis perforata Guarro, Gené & De Vroey",1
Amauroascus albicans (Apinis) von Arx,1
Amauroascus aureus (Eidam) von Arx,2
"Amauroascus burundensis P. Vidal, Cano & Guarro",2
Amauroascus kuehnii von Arx,3
Amauroascus mutatus (Quelet) Rammeloo,1
Amauroascus niger J. Schroeter,1
Amauroascus niger Schroeter,1
Amauroascus purpureus Ito & Nagagiri,1
Amauroascus sp.,1
Amauroderma deviatum Ryvarden,5
Amauroderma flaviporum Murrill,4
Amauroderma schomburgkii (Montagne & Berkeley) Torrend,3
Amauroderma sp.,1
Amauroderma sprucei (Patouillard) Torrend,6
Amauroderma subresinosum (Murrill) Corner,8
Amauromyces farinaceus Boidin et al.,1
Amblyosporium botrytis Fresenius,1
Amblyosporium spongiosum (Persoon) S.J. Hughes,3
Ambrosiella brunnea (Verrall) Batra,1
Ambrosiella ferruginea (Mathiesen-Käärik) Batra,10
Ambrosiella gnathotrichi Batra,1
Ambrosiella ips (Leach et al.) Batra,1
Ambrosiella macrospora (Francke-Grosmann) Batra,1
Ambrosiella sulfurea Batra,1
Ambrosiella tingens (Lagerberg & Melin) Batra,1
Ambrosiella xylebori Brader ex von Arx & Hennebert,1
Ambrosiozyma angophorae (M.W. Miller & J.S.F. Barker) Kurtzman & Robnett,1
Ambrosiozyma cicatricosa (D.B. Scott & Van der Walt) Van der Walt,1
Ambrosiozyma monospora (Saito) van der Walt,2
Amerosporium atrum (Fuckel) von Höhnel,1
Amoenomyces catenosporus R.F. Castañeda & M. Saikawa,1
Amorphotheca resinae Parbery,4
Amphinema byssoides (Persoon : Fries) J. Eriksson,1
