establishmentMeans,reps
"F1181, ØC+P",1
"F1182, ØC+P",1
"F1183, ØC+P",1
"F1184, ØC+P",1
"F1185, ØC+P",1
"F1186, C+P",1
"F1187, P only",1
"F1188, P only",1
"F1189, P only",1
"F119, C+P",1
"F1190, ØC+P",1
"F1191, ØC+P",1
"F1192, ØC+P",1
"F1193, C+P",1
"F1194, ØC+P",1
"F1195, ØC+P",1
"F1196, ØC+P",1
"F1197, ØC+P",1
"F1198, ØC+P",1
"F1199, ØC+P",1
"F12, ØC+P",1
"F120, C+P",1
"F1200, ØC+P",1
"F1201, C+P",1
"F1202, C+P",1
"F1203, P only",1
"F1204, C+P",1
"F1205, P only",1
"F1206, P only",1
"F1207, P only",1
"F1208, ØC+P",1
"F1209, P only",1
"F121, C+P",1
"F1211, C+P",1
"F1212, ØC+P",1
"F1213, ØC+P",1
"F1214, P only",1
"F1215, ØC+P",1
"F1216, ØC+P",1
"F1217, ØC+P",1
"F1218, ØC+P",1
"F1219, ØC+P",1
"F122, ØC+P",1
"F1220, ØC+P",1
"F1221, ØC+P",1
"F1222, C+P",1
"F1223, P only",1
"F1224, C+P",1
"F1225, ØC+P",1
"F1226, C+P",1
"F1227, ØC+P",1
"F1228, ØC+P",1
"F1229, P only",1
"F123, ØC+P",1
"F1230, ØC+P",1
"F1231, ØC+P",1
"F1232, P only",1
"F1233, C+P",1
"F1234, ØC+P",1
"F1235, ØC+P",1
"F1236, P only",1
"F1237, ØC+P",1
"F1238, ØC+P",1
"F1239, ØC+P",1
"F124, C+P",1
"F1240, ØC+P",1
"F1241, ØC+P",1
"F1242, ØC+P",1
"F1243, ØC+P",1
"F1244, ØC+P",1
"F1245, ØC+P",1
"F1246, ØC+P",1
"F1247, ØC+P",1
"F1248, P only",1
"F1249, ØC+P",1
"F125, C+P",1
"F1250, ØC+P",1
"F1251, ØC+P",1
"F1252, P only",1
"F1253, ØC+P",1
"F1254, ØC+P",1
"F1255, P only",1
"F1256, ØC+P",1
"F1257, ØC+P",1
"F1258, C+P",1
"F1259, ØC+P",1
"F126, ØC+P",1
"F1260, ØC+P",1
"F1261, ØC+P",1
"F1262, ØC+P",1
"F1263, ØC+P",1
"F1264, ØC+P",1
"F1265, ØC+P",1
"F1266, P only",1
"F1267, ØC+P",1
"F1268, P only",1
"F1269, P only",1
"F127, C+P",1
"F1270, P only",1
"F1271, ØC+P",1
"F1272, ØC+P",1
"F1273, ØC+P",1
"F1274, P only",1
"F1275, P only",1
"F1276, C+P",1
"F1277, ØC+P",1
"F1278, ØC+P",1
