establishmentMeans,reps
"F207, P only",1
"F2070, P only",1
"F2071, p only",1
"F2072, 0c+p",1
"F2073, 0C+P",1
"F2074, 0C+P",1
"F2075, P only",1
"F2076, C+P",1
"F2077, 0C+P",1
"F2078, p only",1
"F2079, 0C+P",1
"F208, P only",1
"F2080, 0C+P",1
"F2081, 0C+P",1
"F2083, 0C+P",1
"F2084, 0C+P",1
"F2085, P only",1
"F2086, P only",1
"F2087, P only",1
"F2088, P only",1
"F2089, P only",1
"F2090, P only",1
"F2091, C+P",1
"F2092, P only",1
"F2093, C+P",1
"F2094, P only",1
"F2095,",1
"F2096,",1
"F2097,",1
"F2098,",1
"F2099,",1
"F2099, Photo",1
"F21, ØC+P",1
"F210, C+P",1
"F2100,",1
"F2101,",1
"F2102, P only",1
"F2103, P only",1
"F2104, P only",1
"F2105, P only",1
"F2106, P only",1
"F2107, P only",1
"F2108, 0P",1
"F2109, P only",1
"F211,",1
"F2110, P only",1
"F2111, P only",1
"F2112,",1
"F2113, P only",1
"F2114, P only",1
"F2115, 0C+P",1
"F2116,",1
"F2117,",1
"F2118,",1
"F2120,",1
"F2121,",1
"F2122,",1
"F2125, 0C+P",1
"F2126, 0C+P",1
"F2127, P only",1
"F2128, p only",1
"F2129, p only",1
"F213, ØC+P",1
"F2130, P only",1
"F2131, 0C+P",1
"F2132, 0C+P",1
"F2133, ØC+P",1
"F2134, p only",1
"F2136,",1
"F2137, p only",1
"F2138, p only",1
"F2139, P only",1
"F214, ØC+P",1
"F2140, p only",1
"F2141, P only",1
"F2142, p only",1
"F2143, P only",1
"F2144, P only",1
"F2145, p only",1
"F2146, p only",1
"F2147, P only",1
"F2148,",1
"F2149, ØC+P",1
"F215, ØC+P",1
"F2151,",1
"F2153,",1
"F2154, ØC+P",1
"F2155, P only",1
"F2156, p only",1
"F2157, ØC+P",1
"F2158,",1
"F2159,",1
"F216, ØC+P",1
"F2160, ØC+P",1
"F2161, P only",1
"F2162, P only",1
"F2163, ØC+P",1
"F2164, P only",1
"F2165, ØC+P",1
"F2166, ØC+P",1
"F2167, P only",1
"F2168, ØC+P",1
"F2169, P only",1
"F217, ØC+P",1
"F2170, ØC+P",1
"F2171, P only",1
"F2177, ØC+P",1
"F2178, P only",1
"F2179, ØC+P",1
"F218, ØC+P",1
"F2187, P only",1
"F2188, P only",1
"F2189, P only",1
"F219, ØC+P",1
"F2190, P only",1
"F2191, P only",1
"F2192, P only",1
"F2193, P only",1
"F2194, ØP",1
"F2195, ØP",1
"F2196, ØP",1
"F2197, P only",1
"F2198, P only",1
"F2199, ØC+P",1
"F22, ØC+P",1
"F220, ØC+P",1
"F2200, ØC+P",1
"F2201, P only",1
"F2202, P only",1
"F2203, ØC+P",1
"F2204, P only",1
"F2205, P only",1
"F2206, P only",1
"F2207, ØC+P",1
"F2208, ØC+P",1
"F2209, P only",1
"F221, ØC+P",1
"F2210, P only",1
"F2211, P only",1
"F2212, P only",1
"F2213, ØC+P",1
"F2214, P only",1
"F2215, P only",1
"F2216, ØC+P",1
"F2217, P only",1
"F2218, P only",1
"F2219, P only",1
"F222, ØC+P",1
"F2220, P only",1
"F2221, P only",1
"F2222, P only",1
"F2223, ØC+P",1
"F2224, P only",1
"F2225,",1
"F2226, P only",1
"F2228, ØC+P",1
"F2229,",1
"F223, ØC+P",1
"F2230,",1
"F2231,",1
"F2232,",2
"F2233,",1
"F2236,",1
"F2238, ØC+P",1
"F2239, ØC+P",1
"F224, ØC+P",1
"F2240, ØC+P",1
"F2241, ØC+P",1
"F2243, 2244,",1
"F2245,",1
"F2246, ØC+P",1
"F2247, ØC+P",1
"F2248, ØC+P",1
"F2249, ØC+P",1
"F225, ØC+P",1
"F2250, ØC+P",1
"F2251,",1
"F226, ØC+P",1
"F227, ØC+P",1
"F228, ØC+P",1
"F229, ØC+P",1
"F2292,",1
"F2293,",1
"F2294, P only",1
"F2295, P only",1
"F2296, P only",1
"F2297, P only",1
"F2298, ØP",1
"F2299, P only",1
"F23, ØC+P",1
"F23-56, P only",1
"F230, ØC+P",1
"F2301, ØC+P",1
"F2302, P only",1
"F2303,",1
"F2304, ØC+P",1
"F2305, ØC+P",1
"F2306, ØC+P",1
"F2307, ØC+P",1
"F2309, P only",1
"F231, ØC+P",1
"F2310, P only",1
"F2311, ØC+P",1
"F2312, ØC+P",1
"F2313, ØC+P",1
"F2314, ØC+P",1
"F2315, ØC+P",1
"F2316, ØC+P",1
"F2317, ØC+P",1
"F2318, ØC+P",1
"F2319, 0C+P",1
"F232, ØC+P",1
"F2320,",1
"F2321, ØC+P",1
"F233,",1
"F2336,",1
"F2337,",1
"F2338,",1
"F2339,",1
"F2340,",1
"F2341, Photo",1
"F2342,",1
"F2343,",1
"F2344,",1
"F2345,",1
"F2346, P only",1
"F2347, P only",1
"F2348, P only",1
"F2349, P only",1
"F235, ØC+P",1
"F2350, P only",1
"F2351, P only",1
"F2352, P only",1
"F2353, P only",1
"F2354, P only",1
"F2355, P only",1
"F2357, P only",1
"F2358, ØC+P",1
"F2359, P only",1
"F236, P only",1
"F2360, P only",1
"F2361, P only",1
"F2362, ØC+P",1
"F2363, P only",1
"F2364, P only",1
"F2365, P only",1
"F2366, P only",1
"F2367, ØC+P",1
"F2368, ØC+P",1
"F2369, P only",1
"F237, P only",1
"F2370, P only",1
"F2371, P only",1
"F2372, P only",1
"F2373, P only",1
"F2374, P only",1
"F2375, P only",1
"F2376, P only",1
"F2377, P only",1
"F2378,",1
"F238, C+P",1
"F2381, ØR",1
"F2382,",1
"F2383,",1
"F2384,",1
"F2385, 0C+P",1
"F2386,",1
"F2387,",1
"F2388,",1
"F2389,",1
"F239, C+P",1
"F2390,",1
"F2391,",1
"F2392,",1
"F2393,",1
"F2394,",1
"F2395, P only",1
"F2396, P only",1
"F2397, 0 photo",1
"F2398, 0 photo",1
"F2399, photo",1
"F24, ØC+P",1
"F240, ØC+P",1
"F2400, photo",1
"F2402, 0 photo",1
"F2403, 0 photo",1
"F2405, 0 photo",1
"F2406, 0 photo",1
"F2406, photo",1
"F2407,",1
"F2408, photo",1
"F2409, photo",1
"F241, C+P",1
"F2410, photo",1
"F2411,",1
"F2412, photo",1
"F2413, photo",1
"F2414, 0 photo",1
"F2415,",1
"F2416,",1
"F2417,",1
"F2418,",1
"F2419,",1
"F242, ØC+P",1
"F2420, 0 photo",1
"F2421,",1
"F2422, P only",1
"F2423, 0C+P",1
"F2424, 0C+P",1
"F2425,",1
"F2426,",1
"F2427, photo only",1
"F2428,",1
"F2429, group photo",1
"F243, P only",1
"F2430,",1
"F2431,",1
"F2432, P only",1
"F2433, P only",1
"F2434, P only",1
"F2435, P only",1
"F2436, P only",1
"F2437, P only",1
"F2438,",1
"F2439,",1
"F244, C+P",1
"F2440,",1
"F2441,",1
"F2442,",1
"F2443,",1
"F2444, 0C+P",1
"F2445, P only",1
"F2446, P only",1
"F2447, P only",1
"F2448, P only",1
"F2449,",1
"F245, C+P",1
"F2450, 0C+P",1
"F2451,",1
"F2452,",1
"F2453, 0C+P",1
"F2454, 0C+P",1
"F2455,",1
"F2456,",1
"F2457,",1
"F2458,",1
"F2459,",1
"F246, C+P",1
"F2460,",1
"F2461,",1
"F2462, P only",1
"F2463, P only",1
"F2464, P only",1
"F2465, P only",1
"F2466,",1
"F247, C+P",1
"F2474,",1
"F2475,",1
"F2476,",1
"F2477,",1
"F2478,",1
"F2479,",1
"F248, C+P",1
"F2480,",1
"F2481,",1
"F2483,",1
"F2484, P",1
"F2485,",1
"F2486,",1
"F2487,",1
"F2488, P",1
"F2489,",1
"F249, C+P",1
"F2490,",1
"F2491,",1
"F2492, P",1
"F2493, P",1
"F2494,",1
"F2495, P",1
"F2496, P",1
"F2497, P",1
"F2498, P",1
"F2499, 0P",1
"F25, ØC+P",1
"F250, ØC+P",1
"F2500, 0P",1
"F2501, P",1
"F2502, P",1
"F2503, P",1
"F2504,",1
"F2505,",1
"F2506, P",1
"F2507, P",1
"F2508, P",1
"F2509, P",1
"F251, C+P",1
"F2510, 0P",1
"F2511, P",1
"F2512, P",1
"F2513, P",1
"F2514, P",1
"F2515, P",1
"F2516, P",1
"F2517, P",1
"F2518, P",1
"F2519, P",1
"F252, C+P",1
"F2520, P",1
"F2521, P",1
"F2522, P",1
"F2523, P",1
"F2524, P",1
"F2525, P",1
"F2526, P",1
"F2528, P",1
"F253, P only",1
"F2530, P",1
"F2531, P",1
"F2533, P",1
"F2535,",1
"F2536, P only",1
"F2537, P",1
"F2538,",1
"F2539, P",1
"F254, P only",1
"F2540, P",1
"F2541, P",1
"F2542, P",1
"F2543, P",1
"F2544, P",1
"F2545, P",1
"F2546, P",1
"F2547, P",1
"F2548, P",1
"F2549, P only",1
"F255, C+P",1
"F2550,",1
"F2551,",1
"F2552, P",1
"F2553, P",1
"F256, ØC+P",1
"F257, ØC+P",1
"F258, ØC+P",1
"F259, ØC+P",1
"F260, C+P",1
"F261, ØC+P",1
"F262, ØC+P",2
"F263, C+P",1
"F264, ØC+P",1
"F265,",1
"F266, ØC+P",1
"F267, ØC+P",1
"F268, C+P",1
"F269, C+P",1
"F27, ØC+P",1
"F270, P only",1
"F271, C+P",1
"F272,",1
"F273, ØC+P",1
"F274, ØC+P",1
"F275, ØC+P",1
"F276, ØC+P",1
"F277, ØC+P",1
"F278, ØC+P",1
"F279, C+P",1
"F28, ØC+P",1
"F280, ØC+P",1
"F281, ØC+P",1
"F282, P only",1
"F283, C+P",1
"F284, ØC+P",1
"F285, C+P",1
"F286, ØC+P",1
"F287, C+P",1
"F288, P only",1
"F289, ØC+P",1
"F29, ØC+P",1
"F290, P only",1
"F291, C+P",1
"F292, C+P",1
"F293, ØC+P",1
"F294, P only",1
"F295, C+P",1
"F296, ØC+P",1
"F297, C+P",1
"F298, C+P",1
"F299, C+P",1
"F3, ØC+P",1
"F30, ØC+P",1
"F300, ØC+P",1
"F301, C+P",1
"F302, C+P",1
"F303, ØC+P",1
"F304, ØC+P",1
"F305, C+P",1
"F306, P only",1
"F307, ØC+P",1
"F308, C+P",1
"F309, C+P",1
"F31, ØC+P",1
"F310, ØC+P",1
"F311, C+P",1
"F312, P only",1
"F313, ØC+P",1
"F314, ØC+P",1
"F315, ØC+P",1
"F316, ØC+P",1
"F317, C+P",1
"F318, ØC+P",1
"F319, ØC+P",1
"F32, ØC+P",1
"F320, ØC+P",1
"F321, ØC+P",1
"F322, C+P",1
"F323, P only",1
"F324, ØC+P",1
"F325, ØC+P",1
"F326, ØC+P",1
"F327, ØC+P",1
"F328, C+P",1
"F329, C+P",1
"F33, P only",1
"F330, C+P",1
"F331, C+P",1
"F332, ØC+P",1
"F333, ØC+P",1
"F334, ØC+P",1
"F335, ØC+P",1
"F336, ØC+P",1
"F337, C+P",1
"F338, C+P",1
"F339, ØC+P",1
"F34, P only",1
"F340, C+P",1
"F341, C+P",1
"F342, ØC+P",1
"F343, ØC+P",1
"F344, P only",1
"F345, C+P",1
"F346, C+P",1
"F347,",1
"F348,",1
"F349, ØC+P",1
"F35, ØC+P",1
"F350, ØC+P",1
"F351, P only",1
"F352, P only",1
"F353, P only",1
"F354, ØC+P",1
"F355, P only",1
"F356, ØC+P",1
"F357, ØC+P",1
"F358, ØC+P",1
"F359, P only",1
"F36, ØC+P",1
"F360, P only",1
"F361, C+P",1
"F362, ØC+P",1
"F363, P only",1
"F364, C+P",1
"F365, ØC+P",1
"F366, ØC+P",1
"F367, ØC+P",1
"F37, P only",1
"F372, ØF, F371, F373, F374, F37",1
"F375, ØC+P",1
"F376, ØC+P",1
"F377, ØC+P",1
"F379, P only",1
"F38, C+P",1
"F380, P only",1
"F381, ØC+P",1
"F382, ØC+P",1
"F383, ØC+P",1
"F384, ØC+P",1
"F385, ØC+P",1
"F386, ØC+P",1
"F387, ØC+P",1
"F388, ØC+P",1
"F389, ØC+P",1
"F39, ØC+P",1
"F390, ØC+P",1
"F391, ØC+P",1
"F392, ØC+P",1
"F393, ØC+P",1
"F394, ØC+P",1
"F395, ØC+P",1
"F396, ØC+P",1
"F397, ØC+P",1
"F398, ØC+P",1
"F399, ØC+P",1
"F4, ØC+P",1
"F40, P only",1
"F400, ØC+P",1
"F401, ØC+P",1
"F403, ØC+P",1
"F404, P only",1
"F405, ØC+P",1
"F406, ØC+P",1
"F407, C+P",1
"F408, ØC+P",1
"F409, ØC+P",1
"F41, P only",1
"F410, ØC+P",1
"F411, P only",1
"F412, P only",1
"F413, P only",1
"F414, P only",1
"F415, P only",1
"F416, P only",1
"F418, ØC+P",1
"F419, P only",1
"F42, P only",1
"F420, ØC+P",1
"F421, ØC+P",1
"F422, C+P",1
"F423, ØC+P",1
"F424, ØC+P",1
"F425, F426, F427,",1
"F428, ØC+P",1
"F429, ØC+P",1
"F43, P only",1
"F430, ØC+P",1
"F431, ØC+P",1
"F432, ØC+P",1
"F433, ØC+P",1
"F434, ØC+P",1
"F435, ØC+P",2
"F436, ØC+P",1
"F438, F439, F440,",1
"F44, ØC+P",1
"F441, ØC+P",1
"F442, C+P",1
"F443, ØC+P",1
"F444, ØC+P",1
"F445, ØC+P",1
"F446, ØC+P",1
"F447, ØC+P",1
"F448, ØC+P",1
"F449, ØC+P",1
"F45, P only",1
"F450, ØC+P",1
"F451, ØC+P",1
"F452, ØC+P",1
"F453, ØC+P",1
"F454, ØC+P",1
"F455, C+P",1
"F456, ØC+P",1
"F457, ØC+P",1
"F458, ØC+P",1
"F459, C+P",1
"F46, ØC+P",1
"F460, ØC+P",1
"F461, ØC+P",1
"F462, C+P",1
"F463, ØC+P",1
"F464, C+P",1
"F465, ØC+P",1
"F468, C+P",1
"F469, ØC+P",1
"F47, ØC+P",1
"F471, C+P",1
"F472, ØC+P",1
"F473, ØC+P",1
"F474, ØC+P",1
"F475, ØC+P",1
"F476, C+P",1
"F477, C+P",1
"F478, ØC+P",1
"F479, ØC+P",1
"F48, ØC+P",1
"F480, ØC+P",1
"F481, P only",1
"F482, ØC+P",1
"F483, P only",1
"F484, P only",1
"F485, P only",1
"F486, C+P",1
"F487, C+P",1
"F488, C+P",1
"F489, ØC+P",1
"F49, ØC+P",1
"F490, ØC+P",1
"F491, C+P",1
"F492, P only",1
"F493, P only",1
"F494, P only",1
"F495, ØC+P",1
"F496, ØC+P",1
"F497, P only",1
"F498, ØC+P",1
"F499, C+P",1
"F5, ØC+P",1
"F50, C+P",1
"F500, C+P",1
"F501, P only",1
"F502, C+P",1
"F504, ØC+P",1
"F505, C+P",1
"F507, C+P",1
"F508, ØC+P",1
"F509, ØC+P",1
"F51, C+P",1
"F510, P only",1
"F511, P only",1
"F512, C+P",1
"F514, ØC+P",1
"F515, C+P",1
"F516, ØC+P",1
"F517, C+P",1
"F518, P only",1
"F519, ØC+P",1
"F52, ØC+P",1
"F520, ØC+P",1
"F521, C+P",1
"F522, ØC+P",1
"F523, C+P",1
"F524, ØC+P",1
"F526, C+P",1
"F526, ØC+P",1
"F527, ØC+P",1
"F528, ØC+P",1
"F529, ØC+P",1
"F53, ØC+P",1
"F530, ØC+P",1
"F531, ØC+P",1
"F532, P only",1
"F533, ØC+P",1
"F534, C+P",1
"F535, C+P",1
"F536, C+P",1
"F537, C+P",1
"F538, C+P",1
"F539, C+P",1
"F54, P only",1
"F540, P only",1
"F541, ØC+P",1
"F542, ØC+P",1
"F543, C+P",1
"F544, P only",1
"F545, C+P",1
"F546, ØC+P",1
"F547, ØC+P",1
"F548, ØC+P",1
"F549, P only",1
"F55, ØC+P",1
"F550, P only",1
"F551, C+P",1
"F552, P only",1
"F553, C+P",1
"F554, C+P",1
"F555, P only",1
"F559, F560, F558, F556, P only",1
"F56, ØC+P",1
"F561,",1
"F562, F563, F564,",1
"F565, ØC+P",1
"F566, C+P",1
"F567, ØC+P",1
"F568, ØC+P",1
"F569, ØC+P",1
"F57, ØC+P",1
"F570, ØC+P",1
"F571, C+P",1
"F572, ØC+P",1
"F573, P only",1
"F574, ØC+P",1
"F575, ØC+P",1
"F576, ØC+P",1
"F577, ØC+P",1
"F578,",1
"F579, P only",1
"F58, ØC+P",1
"F582, ØC+P",1
"F583, ØC+P",1
"F584, ØC+P",1
"F585, C+P",1
"F586, ØC+P",1
"F587, C+P",1
"F588, ØC+P",1
"F589, P only",1
"F59, ØC+P",1
"F591, C+P",1
"F592, C+P",1
"F593, P only",1
"F594, ØC+P",1
"F595, ØC+P",1
"F596, P only",1
"F597, ØC+P",1
"F598, ØC+P",1
"F599, ØC+P",1
"F6, ØC+P",1
"F60, ØC+P",1
"F600, ØC+P",1
"F601, P only",1
"F602, P only",1
"F603, P only",1
"F604, C+P",1
"F605, ØC+P",1
"F606, ØC+P",1
"F607, ØC+P",1
"F608, C+P",1
"F609, ØC+P",1
"F61, ØC+P",1
"F610, ØC+P",1
"F611, ØC+P",1
"F612, ØC+P",1
"F613, ØC+P",2
"F614, ØC+P",1
"F615, ØC+P",1
"F616, ØC+P",1
"F617, ØC+P",1
"F618, ØC+P",1
"F619, C+P",1
"F62, ØC+P",1
"F620, P only",1
"F621, ØC+P",1
"F622, 0C+P",1
"F623, P only",1
"F624, P only",1
"F625, ØC+P",1
"F626, ØC+P",1
"F627, ØC+P",1
"F628, C+P",1
"F629, ØC+P",1
"F63, ØC+P",1
"F630, P only",1
"F631, P only",1
"F632, P only",1
"F633, ØC+P",1
"F634, ØC+P",1
"F635, ØC+P",1
"F636, ØC+P",1
"F637, ØC+P",1
"F638, ØC+P",1
"F639, ØC+P",1
"F64, ØC+P",1
"F640, ØC+P",1
"F641, ØC+P",1
"F642, ØC+P",1
"F643, P only",1
"F645, ØC+P",1
"F646, ØC+P",1
"F647, ØC+P",1
"F648,",1
"F649,",1
"F65, ØC+P",1
"F650,",1
"F651, P only",1
"F652,",1
"F653,",1
"F654,",1
"F655,",1
"F656, ØC+P",1
"F657, C+P",1
"F658, ØC+P",1
"F659, ØC+P",1
"F66, ØC+P",1
"F660, C+P",1
"F661, ØC+P",1
"F662, ØC+P",1
"F663, C+P",1
"F664, C+P",1
"F665, ØC+P",1
"F666, ØC+P",1
"F667, C+P",1
"F668, ØC+P",1
"F669, ØC+P",1
"F67, ØC+P",1
"F670, C+P",1
"F671, C+P",1
"F672, ØC+P",1
"F673, P only",1
"F673, ØC+P",1
"F674, P only",1
"F675, P only",1
"F676, ØC+P",1
"F677, P only",1
"F678, ØC+P",1
"F679, ØC+P",1
"F680, ØC+P",1
"F681, ØC+P",1
"F682, ØC+P",1
"F683, ØC+P",1
"F684, ØC+P",1
"F685, ØC+P",1
"F686, ØC+P",1
"F687, ØC+P",1
"F688, ØC+P",1
"F689, ØC+P",1
"F69, ØC+P",1
"F690, ØC+P",1
"F691, ØC+P",1
"F692, ØC+P",1
"F693, P only",1
"F694, P only",1
"F695, P only",1
"F696, P only",1
"F697, ØC+P",1
"F698, ØC+P",1
"F699, ØC+P",1
"F7, ØC+P",1
"F700, ØC+P",1
"F701, ØC+P",1
"F702, P only",1
"F703, P only",1
"F704, P only",1
"F705, C+P",1
"F706, P only",1
"F707, ØC+P",1
"F708, ØC+P",1
"F709, ØC+P",1
"F71, ØC",1
"F710, ØC+P",1
"F711, C+P",1
"F712, ØC+P",1
"F713, ØC+P",1
"F714, ØC+P",1
"F715, P only",1
"F716, P only",1
"F717, ØC+P",1
"F718, ØC+P",1
"F719, P only",1
"F72, ØC+P",1
"F720, ØC+P",1
"F721, ØC+P",1
"F722, C+P",1
"F722, ØC+P",1
"F723, C+P",1
"F723, ØC+P",1
"F724, P only",1
"F725, ØC+P",1
"F726, ØC+P",1
"F727, ØC+P",1
"F728, C+P",1
"F729, C+P",1
"F730, ØC+P",1
"F731, ØC+P",1
"F732, ØC+P",1
"F733, ØC+P",1
"F734, ØC+P",1
"F735, ØC+P",1
"F736, ØC+P",1
"F737, ØC+P",1
"F738, ØC+P",1
"F739, ØC+P",1
"F74,",1
"F740, P only",1
"F741, P only",1
"F742, C+P",1
"F743, ØC+P",1
"F744, P only",1
"F745, P only",1
"F746, ØC+P",1
"F747, ØC+P",1
"F748, ØC+P",1
"F749, ØC+P",1
"F75,",1
"F750, C+P",1
"F751, ØC+P",1
"F752, C+P",1
"F754, ØC+P",1
"F755, ØC+P",1
"F756, ØC+P",1
"F757, ØC+P",1
"F758, C+P",1
"F759, C+P",1
"F76,",1
"F760, C+P",1
"F761, P only",1
"F763, C+P",1
"F764, P only",1
"F765, ØC+P",1
"F766, ØC+P",1
"F767, ØC+P",1
"F768, ØC+P",1
"F769, ØC+P",1
"F77,",1
"F770, ØC+P",1
"F771, ØC+P",1
"F772, C+P",1
"F773, C+P",1
"F774, C+P",1
"F775, ØC+P",1
"F776, C+P",1
"F777, C+P",1
"F778, ØC+P",1
"F779, ØC+P",1
"F78,",1
"F780, ØC+P",1
"F781, ØC+P",1
"F782, ØC+P",1
"F783, ØC+P",1
"F784, ØC+P",1
"F785, ØC+P",1
"F786, ØC+P",1
"F787, ØC+P",1
"F788, ØC+P",1
"F79,",1
"F790, ØC+P",1
"F791, ØC+P",1
"F792, ØC+P",1
"F793, ØC+P",1
"F794, ØC+P",1
"F795, ØC+P",2
"F796, ØC+P",1
"F797, ØC+P",1
"F798, ØC+P",1
"F799, ØC+P",1
"F8, ØC+P",1
"F80, ØC+P",1
"F800, ØC+P",1
"F801, ØC+P",1
"F802, ØC+P",1
"F803, P only",1
"F804, ØC+P",1
"F805, ØC+P",1
"F806, ØC+P",1
"F807, ØC+P",1
"F808, P only",1
"F809, ØC+P",1
"F81, ØC+P",1
"F810, ØC+P",1
"F811, ØC+P",1
"F812, ØC+P",1
"F813, P only",1
"F814, ØC+P",1
"F815, P only",1
"F816, ØC+P",1
"F817, C+P",1
"F818, C+P",1
"F819, P only",1
"F82, ØC+P",1
"F820, ØC+P",1
"F821, ØC+P",1
"F822, P only",1
"F823, ØC+P",1
"F824, ØC+P",1
"F825, ØC+P",1
"F826, P only",1
"F827, ØC+P",1
"F828, ØC+P",1
"F829, ØC+P",1
"F830, C+P",1
"F831, C+P",1
"F832, ØC+P",1
"F833, ØC+P",1
"F834, ØC+P",1
"F835, ØC+P",1
"F836, ØC+P",1
"F837, P only",1
"F838, P only",1
"F84, F195, ØC+P",1
"F840, P only",1
"F842, C+P",1
"F843, ØC+P",1
"F844, ØC+P",1
"F845, ØC+P",2
"F846, P only",1
"F847, ØC+P",1
"F848, ØC+P",1
"F849, ØC+P",1
"F85, P only",1
"F850, ØC+P",1
"F851, ØC+P",1
"F852, ØC+P",1
"F853, P only",1
"F854, P only",1
"F855, ØC+P",1
"F856, ØC+P",1
"F857, ØC+P",1
"F858, ØC+P",1
"F859, P only",1
"F86, C+P",1
"F860, ØC+P",1
"F861, P only",1
"F862, P only",1
"F863, ØC+P",1
"F864, ØC+P",1
"F865, ØC+P",1
"F866, ØC+P",1
"F867,",1
"F868,",1
"F869, and F870,",1
"F87, C+P",1
"F871, ØC+P",1
"F872, ØC+P",1
"F873, ØC+P",1
"F874, ØC+P",1
"F875, ØC+P",1
"F876, ØC+P",1
"F877, ØC+P",1
"F878, ØC+P",1
"F879, ØC+P",1
"F88, C+P",1
"F880, ØC+P",1
"F881, ØC+P",1
"F882, ØC+P",1
"F883, ØC+P",1
"F884, ØC+P",1
"F885, ØC+P",1
"F886, ØC+P",1
"F887, ØC+P",1
"F888, ØC+P",1
"F889, ØC+P",1
"F89, C+P",1
"F890, ØC+P",1
"F891, ØC+P",1
"F892, ØC+P",1
"F893, ØC+P",1
"F894, ØC+P",1
"F895, ØC+P",1
"F896, ØC+P",1
"F897, ØC+P",1
"F898, ØC+P",1
"F899, ØC+P",1
"F9, ØC+P",1
"F90, ØC+P",1
"F900, ØC+P",1
"F901, ØC+P",1
"F902, ØC+P",1
"F903, ØC+P",1
"F904, ØC+P",1
"F905, ØC+P",1
"F906, ØC+P",1
"F907, ØC+P",1
"F908, P only",1
"F909, P only",1
"F91, C+P",1
"F910, C+P",1
"F911, ØC+P",1
"F912, ØC+P",1
"F913, ØC+P",1
"F914, C+P",1
"F915, ØC+P",1
"F916, C+P",1
"F917, P only",1
"F918, ØC+P",1
"F919, ØC+P",1
"F92, C+P",1
"F920, P only",1
"F921, ØC+P",1
"F922, ØC+P",1
"F923, ØC+P",1
"F924, ØC+P",1
"F925, ØC+P",1
"F926, ØC+P",1
"F927, ØC+P",1
"F928, ØC+P",1
"F929, P only",1
"F93, C+P",1
"F930, P only",1
"F931, ØC+P",1
"F932, ØC+P",1
"F933, ØC+P",1
"F934, ØC+P",1
"F935, ØC+P",1
"F936, ØC+P",1
"F937, C+P",1
"F938, C+P",1
"F939, C+P",1
"F94, C+P",1
"F940, C+P",1
"F941, ØC+P",1
"F942, C+P",1
"F943, ØC+P",1
"F944, C+P",1
"F945, P only",1
"F946, ØC+P",1
"F947, C+P",1
"F948, ØC+P",1
"F949, C+P",1
"F95, C+P",1
"F950, C+P",1
"F951, P only",1
"F957, P only",1
"F958, ØC+P",1
"F959, ØC+P",1
"F96, ØC+P",1
"F960, ØC+P",1
"F961, ØC+P",1
"F962, C+P",1
"F963, ØC+P",1
"F964, ØC+P",1
"F965, C+P",1
"F966, C+P",1
"F967, C+P",1
"F968, P only",1
"F969, P only",1
"F97, ØC+P",1
"F970, C+P",1
"F971, C+P",1
"F972, C+P",1
"F973, P only",1
"F974, C+P",1
"F975, C+P",1
"F976, ØC+P",1
"F977, C+P",1
"F978, ØC+P",1
"F979, ØC+P",1
"F98, ØC+P",1
"F980, C+P",1
"F981, C+P",1
"F982, ØC+P",1
"F983, ØC+P",1
"F984, ØC+P",1
"F985, ØC+P",1
"F986, ØC+P",1
"F988, ØC+P",1
"F989, P only",1
"F99, C+P",1
"F990, ØC+P",1
"F991, C+P",1
"F992, ØC+P",1
"F993, P only",1
"F994, ØC+P",1
"F995, ØC+P",1
"F996, P only",1
"F997, ØC+P",1
"F998, ØC+P",1
"F999, C+P",1
FALSE,3355
FNA 20,3
FNA 24,21
FNA 26,6
"Finland, Nylandia, Helsinki, Viikki",1
From CARGO: not wild,53
Garden grown,1
Garden weed,1063
Garden weed?,15
Grown from seed,1
Gun shot,1
HD00062361,1
Herb. Arvo Adiel Koskinen (1898-1982),29
Herb. G. Lång,16
"Herb. G. Lång,X HSI 2001",1
Herb. J. P. Norrlin,1
"Herb. Matti Laurila,x HPP 1974",223
Herb. Reino Kalliola (1909-1982),6
Herbarium A. L. Backman,1
"Herbarium A. L. Backman,X HSI 2001",1
Herbarium J. P. Norrlin (1842-1917),4
Herbarium Onni Lundson,1
Herbarium of Dr. V. J. Kivenheimo,1
Herbarium of Laura Högman-Wecksell,1
"Herbarium societatis ""Oulun luonnonystävät""",1
Herbarium specimen,1
HerbariumSpecimen,1
Herbariumrnst Häyrén,42
In cultivation,2
In wild,921
Indigenous,252
Indigenous?,1
Introduced,20059
Introduced - cultivated,1
Introduced escape,3
Introduced exotic,1
Introduced not established,4
Introduced weed,2
Introduced | Invasive,16
"Introduced, often escaping",1
Introduced.,1
Introducida,700
Introducida (Japón),1
Introducida y cultivada,44
Introducido,2109
Invasive,21141
Invasor,172
Japanes poachers collected on Laysan Island,2
Kalmar Stadspark,1
LECB,1
LECB N. LR-539,1
Lab reared,1
"Label 2: F2227, Label 1: ØC+P",1
Live trapped,6
Managed,21
Managed?,1
"Mendiola, L., ARAN""",2
Metsätieteellisen laitoksen kokoelmia,5
Migrador del sur,1
Migrante,1
Migrante de USA,11
Migratoria,294
Migratorio,28
Mist Net,17
Mist Netted,34
Mist net,9
Mist netted,173
Misted netted,36
NA,6
NA: Female,722
NA: Female with 678,1
Nativa,53168
"Nativa (Procedencia: Horco Molle- Yerba Buena, Tucumán)",2
"Nativa (Procedencia: Raco-Tafí Viejo, Tucumán)",1
