behavior,reps
On a sponge stalk,1
On building,1
On culm,1
On damp sand,39
On damp soil,19
On dead sponge,2
On dry ground,7
On dry river bed,24
On dry sand,12
On dry sandy ground,37
On dry sandy river bed,1
On floor of dry watercourse,33
On flower,2
On flower Asclepias incarnata,1
On flower of Eupatorium maculatum,1
On flower of Eupatorium regosum,1
On flower of Helianthus decapetalus,1
On flower of Impatiens,1
On flower of Kalmia,1
On flower of Koeberlinia Spinosa.,1
On flower of Solidago,2
On flower of Spireae,1
On flower of Swertia perennis,1
On flower of Trifolium repens,4
On flower of Vicia,2
On flowers,25
On flowers Astragalus bisulcatus,2
On flowers Salvia,1
On flowers Sicvos angulatus,2
On flowers of A.s.,1
On flowers of Aguilegia caerulea,1
On flowers of Aguilegia canadensis,1
On flowers of Alyssum,7
On flowers of Aquilegia caerula (blue),1
On flowers of Aquilegia caerulea,1
On flowers of Aquiligea flavescens,1
On flowers of Asclepias incarnata,8
"On flowers of Asclepias syriaca, Time: 3:30",1
On flowers of Aster,14
On flowers of Azalea,3
On flowers of Baptisia tinctoria,1
On flowers of Barbarea,3
On flowers of Cakile maritima,8
On flowers of Carpabrotes,1
On flowers of Carpobrotus aequilaterus,2
On flowers of Ceanothus americana,2
On flowers of Centaurea solstitialis,1
On flowers of Chrysanthemum,2
On flowers of Chrysothamnus 1-2 PM,2
"On flowers of Chrysothamnus, 1-2 PM",2
On flowers of Cirsium,6
On flowers of Cirsium (arvense?),4
On flowers of Collinsonia canadensis,2
On flowers of Conioselinum acopulorum,1
On flowers of Conioselinum scopuiorum,6
On flowers of Conioselium scopulorum,3
On flowers of Coreopsis,1
On flowers of Cornus,1
On flowers of Cornus obliqua,2
On flowers of Countia littoralis,1
On flowers of Daucus carota,7
On flowers of Diervilla lonicer,1
On flowers of Diervilla lonicera,2
On flowers of Epilobium angustifolium,5
On flowers of Epilopium anqustifolium,1
On flowers of Erigeron,3
On flowers of Fragaria,1
On flowers of Frasera speciosa,1
On flowers of Friogonum g. giganteum,1
On flowers of Gentianopsis thermalia,3
On flowers of Geranium,3
On flowers of Heracleum lanatum,1
On flowers of Heracleum lantum,1
On flowers of Hieracium,1
On flowers of Hypochoeris radicata,2
On flowers of Impatients,1
On flowers of Larrea divaricata,32
On flowers of Ligustrum vulgare,2
On flowers of Linum lewesii 8:50-950 A.M MDT,1
On flowers of Linum lewisii,2
On flowers of Linum lewisii 10:25-11:25 A.M.MDT,2
On flowers of Linum lewisii 10:25-11:25 AM MDT,4
On flowers of Linum lewisii 5-6 PM MDT,1
On flowers of Linum lewisii 8:50-9:50 AM MDT,2
On flowers of Lonitera,5
On flowers of Lotus,10
On flowers of Lupinus,2
On flowers of Lysimachia terrestris,1
On flowers of Lythrum salicaria,1
On flowers of Melilotus alba,1
On flowers of Mesembryanthemum,10
On flowers of Mesenbryanthemum nodiflorum,1
On flowers of Monarda fistulosa,1
On flowers of Onobrychis,2
On flowers of Opuntia littoralis,10
On flowers of Pedicularis groenlandicus,1
On flowers of Penstemon,3
On flowers of Phytolacca americana,9
On flowers of Potentilla,6
On flowers of Potentillis,1
On flowers of Rhinanthus,2
On flowers of Rhododendron ferrugineum,17
On flowers of Rubus,10
On flowers of Salix,1
On flowers of Salvia,2
On flowers of Sanicula,1
On flowers of Saxifraga virginiensis,2
On flowers of Scutellaria lateriflora,6
On flowers of Sedum,3
On flowers of Senecio,10
On flowers of Sisymbrium,4
On flowers of Solidago,36
On flowers of Solidago graminifolia,1
On flowers of Solidago rugosa,4
On flowers of Solidago semperulivens,1
On flowers of Solidago sempervirens,2
On flowers of Swertia perennis,23
On flowers of Swertia perennis 11 AM MDT,7
On flowers of Swertis persennis 11 AM MDT,1
On flowers of T.p.,1
On flowers of Taraxacum,6
On flowers of Thermopis,1
On flowers of Thermopsis,5
On flowers of Thymus,7
On flowers of Trifolium,15
On flowers of Trifolium pratense,1
On flowers of Trifolium procumbens,1
On flowers of Trifolium repens,5
On flowers of Trifolium repense,5
On flowers of Vaccinium,3
On flowers of Veronica,9
On flowers of Vicia,4
On flowers of smaller Penstemon,1
On flowers of vine on walls,1
On flowers of wild Fragaria sp.,2
On foliage,95
On ground,330
On ground above river bed,2
On ground beneath plant,32
On ground between plants,10
On ground carrying prey,1
On ground mating,2
On ground near Berkheya plants the flowers of which they were visiting,3
On ground near flowers,28
On ground near plant,4
On ground next to flowers,8
On ground next to plant,11
"On lavendar flowers of mint 20"" high 16:30-17:30",1
"On lavender flower of mint 20"" high 16:30-17:30",1
"On lavender flowers of mint 20"" high 16:30-17:30",1
"On litter substrate in partial shade, used shrub oak refuge",1
"On lowers of ""goatweed""",1
On mesquite,1
On moist sand,22
On mud at edge of water,95
On nodule,36
On plant,41
On purple thistle,1
On rock,4
On rock garden in front of hotel in lights at night.,1
"On rock, on top, ran under.",1
On sand,15
On sand at base of plant,11
On sand beneath flowering plant,204
On sand beneath plant,1
On sand dunes,1
On sand hummocks,5
On sand hummocks associated with plant,2
On sand in dry river bed,40
On sand in dry water course,14
On sandy track,2
On seafloor,322
On stem,4
On stem of plant,8
On stems of shrubs with recurved thorns,10
On succulent bush,1
On the water,96
On the water; Resting,1
On thistle flowers,2
On trunk,2
On water,105
On water and flying over water,57
On wet mud,1
On wet rocks,1
On wet sand,29
On wet sand/mud at edge of water,101
On wet soil,141
On white Penstemon,2
"One note fast call., call",1
One of 2 caught as they fluttered from nest containing a 3rd and a rotten egg.,1
One of a group. On ground. Whistle song - 'Hi ddddle - the kettle',1
"One of a small flock, Feeding on green fruits of (BEH (Bot) 167)",1
One of two caught as they fluttered from nest containing a third and a rotten egg.,1
One or two birds in flight,1
One raven's wing beats as it flys in opens the sound byte.  A squirrel's chatter,1
"One song, then scolds",1
"One-note song variant., song",1
"Onomatopoeiac song, song",1
Ooa-hoom call,1
Original cut,1
Orilla de quebrada,1
"Other, call",1
Otro,9
Overbark; commercial volume,6
Overbark; whole tree volume,37
Ovipositing on Prunus serotina,1
Owl fought when removed from nest,1
PARASITIZE,1
PARASITIZING,1
PARED,2
PASTIZAL-ENEBRAL,1
PATTERIN,2
PATTERING,909
"PHOTOGRAPHIC NOISE AND ROOSTER, PLANE, song",1
PIEDRA,2
PIEDRAS,1
PIRATING,5
"PLANE IN BG, call, female",1
PLAYING,2
PLUNGE DIV,26
PLUNGE DIVING,26
PLUNGEDIVE,3
PLUNGING,1
PORP,3
PORPOI,1
PORPOISIN,1
PORPOISING,380
PORPOSING,24
POSADOS EN EL MONTÍCULO DE LA LAGUNA PEQUEÑA,1
POZA,1
PREENING,5
"Pair (?) interacting, call",1
Pair call,1
Pair calling as flying along ridge,1
Pair calls,1
Pair communicating during nest-building phase; apparent male doing most vocalizi,1
"Pair in full mating ceremony, call",1
Pair in suitable breeding habitat,175
Pair in suitable habitat,405423
Pair observed in suitable nesting habitat within safe dates.,3844
Pair song,1
Palo seco,2
Parado,2
"Paramo Frog, song",1
"Parecido a un Cuculidae, parte ventral blanca, dorso gris. Pico claro, cola larga y delgada sin bandas",1
Pareja con 2 crias,1
Pariendo,1
"Parning, uppvaktning",1
"Part of flock of 60, all giving same call.",1
"Parta alta, forrajeo",1
Parte alta,32
Parte alta de Yarumo,1
Parte alta de arbol,2
Parte alta de arbusto,1
Parte alta de caracoli,3
Parte alta de cerca viva,1
Parte alta de dosel,1
Parte alta de la vegetación,5
Parte alta de un árbol,4
Parte alta de vegetacion,10
Parte alta de árbol,12
Parte alta de árbol cerca de estanques,1
"Parte alta de árbol de Sapindacea, forrajeo de frutos naranjas",1
Parte alta de árboles,1
"Parte alta de árboles, se persiguen haciendo llamados",2
Parte alta del árbol,1
Parte alta en dosel,1
Parte alta forrajeo,1
Parte alta fuera del punto,1
Parte alta percha,1
Parte alta árbol,1
"Parte alta, cable",1
"Parte alta, canto y forrajeo",1
"Parte alta, forrajeo",9
"Parte alta, forrajeo en Palicurea",1
"Parte alta, percha y canto de despliegue",1
"Parte alta, trpando",1
"Parte alta, vuelo, forrajea y se percha",1
"Parte alta, árbol seco",2
Parte baja,32
Parte baja con material para nido,1
Parte baja de la vegetacion,3
Parte baja de vegetacion,3
Parte baja en palo seco,1
"Parte baja, cantando y forrajeando",1
"Parte baja, canto",1
"Parte baja, forrajeo",3
"Parte baja, forrajeo insectos",1
"Parte baja, percha",1
"Parte baja, rama seca",2
Parte media,30
Parte media a alta,1
"Parte media a baja, vuelo",1
Parte media alta,3
"Parte media alta, árboles de quebrada",1
Parte media baja,3
Parte media con rastrojo,1
Parte media de la vegetación,4
Parte media de vegetacion,2
Parte media forrajeando en árbol,2
"Parte media, forrajeo",5
"Parte media, percha",3
"Parte media, percha y vuelo",1
"Parte media, se oye Dendrobates truncatus",1
"Parte media, vuelo",1
"Parte media, vuelo suspendido",2
Parte media-alta,1
Parte media-alta vuelo suspendido,1
"Parte media-alta, Vuelo",1
"Parte media-alta, forrajeo",2
"Partial ""flight"" song",1
"Partial Coo, song",1
"Partial Song, song",1
Partial song,1
"Partial song, song",1
"Parus minor, call, mimic of Ficedula narcissina, song",1
Pasa un grupo de 50 individuos de Cebus albifrons,1
Pasan volando,1
Pasaron volando,1
Paseo,3
Paso constante.,1
Paso volando,4
Paso volando bajito,1
Paso volando bajo,1
Paso volando por encima de punto,1
Passage to dorm site,24
Pastando,5
Pasto,1
Pastos y suelo,1
Patrullera,7
Pecha cable de luz,1
Pechados en cerca viva,1
Pecking,1
Pecking for insects,3
"Pecking, call, probing for food",1
"Pedindo comida., juvenile",1
"Pedindo comida., song",1
"Peek, call",1
Peent,2
"Peent call, coutship call, male, song",1
Pefcha,2
"Pega una pasada en vuelo rasante junto al muro de la cabecera de pista del aeropuerto,levantando a las limícolas posadas.",1
Pek call,1
Pelea en vuelo y percha en parte alta,1
Peleando con Basileuterus,1
Peleando con Leptopogon,1
Pelenado,1
Peliando,1
"Penduline Tit-like call, alarm call",1
"People talking and walking, call",2
"People talking and walking, flight call",1
"Peough and kikiki call, call",1
Pequeña,1
Pequeño bando en vuelo de retorno.,1
Percha,2209
Percha borde de quebrada,1
Percha cable de luz,1
Percha debajo de hojas,1
Percha en Yarumo pequeño,1
Percha en arbol,7
"Percha en arbusto parte alta, canto",1
Percha en bambú,1
Percha en cerca,3
Percha en cerca viva,2
Percha en chamizo en parte media,1
Percha en copa de arbol,2
Percha en dosel,1
Percha en guayabo,2
Percha en palma,1
Percha en palo seco,2
Percha en parte alta,1
"Percha en parte alta de arbol, canto",1
Percha en parte alta de árbol,3
Percha en parte baja de la vegetacion,1
"Percha en parte baja, canto",1
Percha en rama,1
"Percha en rama expuesta saltando hacia arriba, haciendo despliegue",1
Percha en rama seca,6
Percha en rama seca y vuelo suspendido,1
"Percha en rama seca, parte media",1
Percha en ramas secas,1
Percha en sotobosque y alimentandose en el suelo,1
Percha en árbol,15
Percha en árbol cerca a bosque ripario delgado,1
Percha en árbol con ramas seca al lado de casa,1
Percha en árbol de Yarumo.,1
Percha en árbol de carca,1
"Percha en árbol de caño arbolado, cerca de estanque",1
Percha en árbol de cerca,1
Percha en árbol de guayaba,1
Percha en árbol de guayaba cerca dde centro del punto,1
"Percha en árbol de naranja, en parte alta",1
Percha en árbol de urapan,1
Percha en árbol parte alta,1
Percha en árbol parte alto,1
Percha en árbol y vuelo,1
Percha en árboles de lago rodeado de vegetación,2
Percha palo seco,1
Percha parte alta,2
Percha parte alta de arbol,1
Percha parte media,1
Percha perte media,1
Percha rama seca,1
"Percha y canto chip chip, en parte alta",1
Percha y forrajeo,1
Percha y vuelo,4
Percha árbol,4
Percha árbol seco,1
"Percha, Avistado a 180m del transecto",1
"Percha, Dosel",1
"Percha, Parte alta",1
"Percha, Parte baja",1
"Percha, Parte media",1
"Percha, asicalandose",1
"Percha, en dosel",1
"Percha, palo seco",2
"Percha, parte alta",2
"Percha, parte alta de arbol",2
"Percha, parte media",3
"Percha, parte media de la vegetación",1
"Percha, vuelo",2
"Percha, árbol seco",1
Percha-Canto,49
Percha-Vuelo,17
Percha-forrajeo,5
Percha-forrajeo-vuelo,6
Percha-forrejeo,7
Percha-vuelo,55
Percha/forrajeo,14
Percha/forrajeo/vuelo,30
Percha/forrejeo,2
Percha/vuelo,38
Perchada,32
Perchada En bosque de quebrada al frente de potrero,1
Perchada en Inga edulis,1
Perchada en cerca,1
Perchada en cerca viva,1
Perchada en cerco,1
Perchada en dosel,1
Perchada en parte alta,3
Perchada en parte alta de dosel,1
Perchada en parte baja,1
Perchada en parte media,2
Perchada en trupillo,1
Perchada en una rama de ericaceae (arnalulo) Cavendishia bracteata.,1
Perchada en árbol,7
Perchadas,4
Perchadas en cable de luz,1
Perchadas en parte baja,1
Perchadas en red eléctrica,1
Perchadas en redes eléctricas,1
Perchadas en troncos  de cerco muerto,1
Perchadas en árboles aislados,1
Perchado,801
Perchado al borde de laguna temporal,9
Perchado en Cecropia telealba,1
Perchado en Cordia allidora - Vocalizando,1
Perchado en Cordial alliodora,1
Perchado en Fabaceae,1
Perchado en Guadua angustifolia,1
Perchado en Montanoa quadrangularis dentro del Minicorredor,1
Perchado en Yarumo,1
Perchado en arbol cercano,3
Perchado en arbusto,1
Perchado en arbusto cercano al punto,1
Perchado en arbusto de Montanoa quadrangularis,1
Perchado en borde de bosque,2
Perchado en cable de luz,6
Perchado en cerca,1
Perchado en chamizo,1
Perchado en copa de árbol,2
Perchado en dosel,2
Perchado en dosel de leguminosa,1
Perchado en estrato alto,4
Perchado en estrato medio,4
Perchado en frailejón,1
Perchado en guadua (dosel),1
Perchado en guadual,1
Perchado en helecho arboreo,1
Perchado en palo seco,1
Perchado en parte alta,2
Perchado en parte alta de dosel,1
Perchado en parte baja de árbol,2
Perchado en parte media,7
Perchado en parte media de árbol,4
Perchado en plátano,3
Perchado en puerta,1
Perchado en rama,1
Perchado en rama que emerge de un lago,1
Perchado en rama seca,16
Perchado en rama seca de cítrico,1
Perchado en rama seca en cafetal,1
Perchado en rama seca estrato alto,1
Perchado en sotobosque,1
Perchado en tronco estrato bajo,2
Perchado en tronco seco,2
Perchado en una inga,1
Perchado en yarumo,1
Perchado en árbol,5
Perchado en árbol cantando,1
Perchado en árbol cercano,1
Perchado en árbol cercano al punto,1
Perchado en árbol con material para nido,1
Perchado en árbol de cerca,1
Perchado en árbol de cerca viva,1
Perchado en árbol seco,2
Perchado estrato alto,2
Perchado y cantando,2
"Perchado, Forrajenado en dosel",2
"Perchado, forrajeando",2
"Perchado, vocalizando",1
Perchados,7
Perchados  en arbol cercano,1
Perchados  en dosel,1
Perchados cantando,2
Perchados en Cecropia angustifolia,3
Perchados en Cupania cinerea,1
Perchados en Inga edulis,1
Perchados en arbol seco,2
Perchados en arboles cercanos,3
Perchados en arbusto,1
Perchados en arbusto de Montanoa quadrangularis,1
Perchados en cable,2
Perchados en cedro,1
Perchados en cerca de alambre,2
Perchados en chamizo,1
Perchados en dosel,1
"Perchados en dosel, llegaron del cafetal",1
Perchados en estrato alto,3
Perchados en estrato alto ( Clethra lanata),1
Perchados en parte alta de fabaceae,1
Perchados en rama seca,1
Perchados en tronco seco,1
Perchados en yarumo,1
Perchados en árbol seco,1
Perchados en árboles cercanos,1
Perchados en árboles de Cordia allidora,1
Perched call,1
"Perched call, call",1
Perched on tall plants,2
"Perched, call",1
Perching,2
Perching on dry twig,2
Perchó,1
"Periodic 'tweee ' with a continuous muted  'chur-chur' in the background, call",1
"Periparus ater, song",1
Permanent territory,273531
Permanent territory presumed through defense of territory (e.g. chasing individuals of the same species).,670
Persecution call,2
Perseguido por M.cayanensis,1
Persigue a C.violaceus,1
Persiguiendo al ganado,1
"Persistent calls from a female-type., call",1
Pescando,5
Pew notes,2
"Pew notes, plus snore",1
Pfeeuu call,2
Phacelia hastata Tetraploid,1
Pheromone Trap #5,15
"Pheromone trap ""bin 1""",9
"Pheromone trap ""bin 2""",11
"Pheromone trap ""bin 3""",17
Pheromone trap #1,3
Pheromone trap #3,7
Pheromone trap 1,6
Pheromone trap 36091,10
Pheromone trap II,7
Pheromone trap Z8,15
Pheromone traps CB1-4,9
Pheromone traps R2-5,8
"Physiological evidence of breeding, e.g. highly vascularized, edematous brood patch or egg in oviduct based on bird in hand. (For banders.)",81
"Pi pi pi (8 notas) ""Chavo del 8""",1
"Piaya cayana, song",1
Pic and laugh,1
Picea,9
Picea abies,10
Piceaxcelsa,6
"Picking nesthole, song",1
Picoteando en el suelo.,1
Picoteo,1
Pidiendo alimento a unos de los padres,1
Pik Call,1
Pink,1
"Pink, call, subsong",1
Pinus,3
Pinus sylvestris,2
"Pitangus sulphuratus, male, persona hablando",1
Planeando inmóvil sobre el Pico Mayor,1
Plastic song,6
"Plastic song, call, juvenile, male",1
"Plastic song, call, male",1
"Plastic song, song",4
Plastic song?,1
"Plastic song?, song",1
Play,179
"Playa, forrajeo",8
Plumaje de invierno,1
Plumaje reproductivo,1
Plátano,1
Polinizador,4472
Polinizando mora,9
Pollinating sunhemp?,2
Populus,42
Populus alba,1
Populus nigra,2
Populus tremula,88
Populus;Salix,3
Por el suelo,1
Por todas partes.,1
Posa en árbol seco,1
Posada,5
Posada Bomarea linifolia,1
Posada Cupressus sp,4
Posada Cupresus sp,1
Posada Cupresus sp.,1
Posada Diplostephium sp,1
Posada Escallonia sp.,2
Posada Escalonia sp.,1
Posada Espeletia pycnophylla,3
Posada Espeletya pyncnophylla,2
Posada Ficus sp.,1
Posada Guayacán,1
Posada Hypericum sp.,1
Posada Macleania rupestris,1
Posada Ochroma pyramidale,2
Posada Valea estipularis,1
Posada W. mariquitae,2
Posada W.mariquitae,1
Posado,2496
Posado Acacia sp.,4
Posado Agave sp.,2
Posado Agertina sp,4
Posado B.lindeni,1
Posado B.lindenii,4
Posado Baccharis sp.,4
Posado Bacharis sp.,4
Posado Balso blanco,9
Posado Bejaria matewsi,2
Posado Bomarea lindeni,1
Posado Centropogon sp.,8
Posado Citrus sp.,1
Posado Cupressus sp.,16
Posado Cupresus,1
Posado Cupresus sp,1
Posado Cupresus sp.,1
Posado D. codonanthum,4
Posado Diplostephium hartwegii,1
Posado E.pycnophylla,12
Posado Escallonia sp.,2
Posado Escalonia sp.,8
Posado Espeletia pycnophylla,4
Posado Eucalipto sp,1
Posado Eucaliptus sp,1
Posado Eucaliptus sp.,3
Posado Eucaliptus sp..,2
Posado Ficus sp,2
Posado Fucsia colorata,4
Posado Gaiadendron punctatum,8
Posado Gaiadendrum punctatum,20
Posado Hediosmum cumbalense,8
Posado Hediosmun sp.,5
Posado Heliocarpus americanus,4
Posado Heliocarpus sp.,8
Posado Hypericum sp.,5
Posado Lafoensia acuminata,1
Posado Loricaria thuyoides,1
Posado M.rupestris,11
Posado Macleania rupestris,5
Posado Miconia sp.,1
Posado Morella pubescens,4
Posado Ochroma pyramidale,2
Posado Oreophanax sp,8
Posado Rayo,3
Posado Salix sp.,1
Posado Saurauia pruinosa,4
Posado Saurauia sp.,9
Posado Senecio sp.,4
Posado Senna pistaccifolia,4
Posado Senna pistaciifolia,13
Posado Senna pistasifolia,2
Posado Siphocampilus sp,4
Posado Smallanthus sp.,2
Posado Solanum sp,23
Posado Syphocampylus sp.,2
Posado T.mollis,2
Posado Tecoma stans,10
Posado Tibouchina mollis,4
Posado Tournerfortia fuliginosa,1
Posado Turnerfourtia fuliginosa,12
Posado Urapan,1
Posado Valea stipularis,12
Posado W. mariquitae,25
Posado W. rollottii,1
Posado W.mariquitae,5
Posado Weinmannia mariquitae,14
Posado Weinmannia sp,4
Posado cafetal,4
Posado en Cecropia angustifolia,1
Posado en Cedrella sp,2
Posado en Trichanthera gigantea,4
Posado en Urapan,2
Posado en arbol contiguo al minicorredor,2
Posado en cerco de árboles sembrados,2
Posado en el campo de deportes.,1
Posado en el suelo,3
"Posado en el suelo, borde",1
Posado en redes eléctricas,1
Posado sobre roca sumergida,12
Posado tronco,9
Posados,1
Posados Pino,1
Posados en Chletra lana contiguo al minicorredor,1
Posados en Espeletia,1
Posados en dosel,1
"Posados en el suelo, borde.",1
Posados en estrato alto (guadua),1
"Posados en árbol,después volaron",1
Posados sobre ají de páramo,1
Posados sobre un guamillo,1
Posados+Bandos en migración.,1
Posando,679
Posaron sobre árbol de amargoso,1
Posible escape.,1
Posiblemente anidando,1
"Posiblemente en forrajeo de chilco, después volaron hacia el bosque",1
"Posiblemente migración, vuelo muy alto y en S (es decir se separaban un poco y se volvían a unir)",1
Position call,1
Position note,1
Position notes,1
Possible incorporation of mimicry of Common Black-Hawk calls at end of song. A p,1
"Possible mimcry of Nutting's Flycatcher ""wheep"" calls incorporated into its song",1
"Possible mimicry of Northern Cardinal incorporated into song., male, song",1
"Possible mimicry of Summer Tanager song incorporated into its song., song",1
Possibly nesting,18
Possibly nesting ; Singing within a favourable Habitat,20
Possibly nesting ; observation during reproductive period,71
"Possibly, alarm call",1
Postura individual,1764
Postura masiva,20
Potrero,4
"Power station auxiliaries, alarm call, call, song",1
"Power station auxiliaries, call, juvenile",1
"Pre-roost assembly, call, song",1
Pre-roost call,1
Precha,2
Precocial young. Flightless young of precocial species restricted to the natal area by dependence on adults or limited ability.,1246
Predator alarm call,1
Pregnant female,62
Presemcia de monos,1
Presencia chicharras,1
Presencia de centinela y en consumo de frutos de sp por identificar.,1
Presencia de monos,6
Presentes en toda la Isla,216
"Presumed song, male",1
"Presumed song, song",4
"Pretty sure it is a call, call",1
"Pretty sure it is a song, song",1
Prey,1
Prey Insect,1
Prey Insect (B),1
Prey insect,29
Prey insect (B),3
Prey insect (C),1
Prey insect (E),1
Prey insect (F),2
Prey insect cell b,1
Prey insect found infested with maggots,1
Prey insect of P.k.,3
Prey insect of P.s.,1
"Prey insect, cell b",1
"Prey insect, infested with maggots",1
Prey insect.,12
Prey insects in trapnest,1
Prey insects.,1
Prey of P.k.,1
Probable breeding,45599
Probably alarm call,2
Probably nesting,15
Probably nesting ; couple within a favorable habitat,52
Probably nesting ; coupling,1
Probably nesting ; courtship of a couple,1
Probably nesting ; presumed territory,5
Probably nesting ; visiting a nesting site,1
"Probably territorial song, male, song",1
Probibly alarm call,1
"Provável canto mímico, alarm call",1
Prunus,1
Prunus padus,16
Pulli/nylig utfløyne unger,1
Pump-er-lunk,3
Punta de Cecropia seco,1
"Purr, call",1
"Purring from inside burrow, call, chuckle from outside and inside, flight call",1
Pyrus malus,6
"Quartering small, stagnant pool",3
Quebrada,1
Quercus,4
Quercus robur,4
Quick song,1
"Quiet calls, then song in flight, followed by louder calls again",1
Quiet song,1
Quietos en árbol,2
R,4114
R/-,1
RAFT,2
RAFTING,12
REFUGIO BAJO PIEDRA,1
REGATA,4
REPRODUCCIÓN,1
RESTING,61
RIDING,1
"RIVER IN BG, song",1
"RIVER NOISE, call, female",1
"RIVER NOISE, song",2
ROLL,7
"ROOSTER IN FAR BACK, male, song",1
RYYR/-,1
"Railway, alarm call, call, flight call, song",1
"Rain-call, call",1
Rama bajita,1
Rama seca,2
Rama seca de ceiba quemada,1
Rama seca en parte media,1
"Ramphastos tucanus, song",1
Ran around large boulder up on hillside.,1
Ran from basking on large boulder to edge of brush.,1
Ran into rock pile and had to be dug out.,1
Ran up and down gully walls to avoid capture. Rann approx. 26' and was flushed out of hole before captured in another.,1
Raphanus sativus,1
"Rapid call, alarm call",1
"Rapid call, call",1
Rapid song,1
"Rapid song, call, song",1
"Rapid song, song",1
"Rare Song, Song ?",1
Rare call,1
Rare drumming on the tin,1
"Rare imitation (pseudoduet) with Turdus iliacus song, song",1
"Rare, male, song",1
"Rare, song",1
"Rare: 5 ""kar"" (4+1), but common 1-2-3 or (4=2+2), male, song",1
"Rare: courtship games calls, female, male",1
Rare: drumming on the tin,1
"Rare: duet, drumming, female, male",1
Raspy call,1
Rastrojo,1
Rastrojo denso,1
Rattle,10
"Rattle Call, call",2
Rattle call,1
Rattle call and 'song',1
"Rattle call and tapping, call",1
"Rattle call, call",1
Rattle calls,1
"Rattle, call",17
"Rattle, call note",1
"Rattle, call, flight call",1
"Rattle, call, gurgle",1
"Rattle, call, song",1
"Rattle, female",2
"Rattle, flight call",3
"Rattle, song",2
"Rattle, squabbling",1
Rattles,1
Rattling,1
"Rattling contact call, song",1
Realian vuelos cortos entre árboles y en forrajeo,1
Reared by A. subflava.,1
"Reared by Lonchura striata, calls taped 1992 #3A",1
Recently fledged young,271315
Recently fledged young (of altricial species) incapable of sustained flight or downy young (of precocial species) restricted to the natal area by dependance on adults or limited mobility.,3331
Recently used nest,8999
Reclamo,7
Reclamo de machos en Lek,1
Reclamo y canto,1
"Reclamo y canto, parte baja",1
Reclamo?,1
Reclamos?,1
Recogida en el pueblo con los faros del coche,1
Recorriendo Sendero,1
"Recorriendo los alisos,bandos de 15+50 aprox.",1
"Red-billed blue Magpie, call",1
"Red-eyed Vireo mimicry, call",1
"Red-shouldered Hawk mimicry, call",1
"Red-tailed Hawk Mimick, call",1
"Red-tailed Hawk impression, call",1
"Red-throated pipit-like call, alarm call",1
Refugiado,5
Refugio,7
"Regular song, song",1
"Regularly heard call, or likely song?",1
Remains of fur or hair,3
Remains of prey/food,36
Remiges sound,2
"Remiges sound, call, display wing sound",1
"Remiges sound, display wing sound",5
Repeated calls seemed to be given as mate or another bird approached the nest,2
"Repeted snoring song, song",1
Replaced A88 at call-site. Song mimics L. senegala. Tape recorded 33A.,1
"Replacement of A401, L. senegala in village.",1
Reposo,996
"Reproducción?, call",1
Reproduction,39
Reproduction; call,11
Reproduction; call; song,3
Reproduction; court; lek; perform courtship display; copulate; mate,1
Reproduction; court; perform courtship display; vocalize,1
Reproduction; lek; mate; vocalize; perform courtship display,1
Reproduction; perform courtship display,5
Reproduction; perform courtship display; vocalize,2
Reproduction; preen; vocalize; song; perform courtship display,1
Response to Playback,1
"Response to Playback, call, male",1
Response to playback,8
Resting,634
Revisar,1
Revisar otros dos cantos,2
"Rhinella marina, song",1
Ribes,1
Ribes rubrum,1
Ringed,451255
Rising calls and song,1
Rising song,1
Road kill,561
"Road noises, male, song",1
Roadkill,747
Roadkilled,13
Robinson Trap,3
"Rockjumper guide vocals, call",1
"Roding calls, song",1
"Roding calls., song",1
"Roding over forest, flight call",1
"Roe deer, male, song",1
Rolling call,1
"Rolling song, song",1
Roost call at dawn,1
"Roost calls, call",1
Roost song,1
"Roost, call",1
Roosted bird,321
Roosting,11249658
Roosting and singing,27916
Roosting assemblage,34
Roosting bird,16
Roosting flock,1
Roosting songs,1
"Roosting, only heard",62292
"Roosting, then migrating",11171
"Roosting, then migrating E",2266
"Roosting, then migrating N",2979
"Roosting, then migrating NE",1490
"Roosting, then migrating NW",1060
"Roosting, then migrating S",4224
"Roosting, then migrating SE",930
"Roosting, then migrating SW",3591
"Roosting, then migrating W",3520
"Rougegorge familier, song",1
Rubus idaeus,1
Rubus procerus,1
Ruido construcción,2
Ruido de construcción,2
Running about on sparsely vegetated soil,1
Running over sand.,1
Running up side of sand dune in vegetated area.,1
"Running water near the trail, alarm call",1
"Running water near the trail, call",1
"Running water near the trail, song",1
Running/crawling,88712
RÃ¤tschen,1
Rätschen,2
"Rätschen, call",2
S,2
"S1 whistle replaced by trilling note, and then S2 trill, song",1
SCAN,1367
SCAVENGING,3
SE,1
SHEARING,1
SI,445
SINGING,1
SIT,614
SITTIING,1
SITTING,31651
SLAPPING,2
SLEEP,1
SLEEPING,5
SOARING,3
SOL,10
SOLEA,1
SOLEO,87
SOLEO EN MURO,2
SOLEO EN TALUD,1
SONG,7
SOng,2
SPLASH,2
SPLASHING,9
SPYHOP,2
SS,1
ST1 male song,23
ST1 male song and half song,3
"ST1 male song, ST2 female song",14
"ST1 male song, ST3 harsh call",1
"ST1 male song, ST3 multiple note call",1
"ST1 male song, ST3 rasping call, ST5 multi-note call, ST6 rattle",1
"ST1 male song, ST4 rasping call",1
