georeferenceVerificationStatus,reps
Verfied by Curator,3
Verifed,50
Verificada,1000
Verificado por Colector,1302
Verificado por Curador,1741
Verificado por colector,8301
Verificado por curador,171
Verificado por el colector,2309
Verificado por el colector. Se incluye el verbatimSRS por lo que se reduce la incertidumbre,2748
Verificado por el curador,6004
Verificado por el curator,262
Verificado por el custodio de lo,1153
Verificado por el custodio de los datos,267572
Verificado por el proveedor de datos,326
Verificado por el proveedor de los datos,25481
Verificado por especialista,311
Verificado por proveedor de datos,774
Verificado por recolector,46
Verified,26833
Verified by Allen Chartier,1
Verified by Collection Manager,8
Verified by Contributor,655
Verified by Curator,2712
Verified by Curator.,20
"Verified by Piep, 2012",1
Verified by collection manager,1
Verified by collector,29
Verified by contributor,23037
Verified by curator,124102
Verified by data contributor,324
Verified by data custodian,94964
Verified by data custodin,14
Verified by locality matchup,56011
VerifiedNeeds georeferencing by data custodian,1
William Raik,1
Y,453
\\,3
accepted,429790
checked by collector,31285
checked by curator,1
collector verified,5
confirmed with authority,8
coor,1
correct,20
corrected,3
curator verified,920
data custodian,26248
e,1
e=requires verification,1
ed,1
found locality number with specimen in drawer.,1
from BioGeomancer,428
generated from collector,6
georef batch tool 2014-05-02; GeoLocate,2
georeferenced original locality info and changed the TRS copied 11/13/17        JP 57 is JG 57,3
georeferencing complete,47
high confidence,13
high confidence.,5
incorrect,61
l,3
lat/long = 33.75 km along Route,1
lat/long = 5 km N of Punta Priet,1
lat/long = center of Cerro Gordo,1
lat/long = center of Cerro Jicot,3
lat/long = center of Cerro Zamor,2
lat/long = center of San Cristob,3
lat/long = center of Volcan de S,1
liz,1
locality needs review,3
manual verification,294979
map certainty,1
may be wrong,1
migration,20609
n,1
narrow uncertainty to The No,1
nce,1
need georeferencing,2227
need verification,4
needs georeferecing,1
needs georeferencing,101
needs review,8
needs validation,1
needs verification,14
no,2982
not Verified,2
not checked,1
not checked - not georeferenced,1
not reviewed,41108
not veridied,1
not verified,4472
rejected by MCZ collection,940
required verification,7666
requires varification,3
requires verifacation,7
requires verificatio,1
requires verification,4170628
requires verrification,1
requres verification,1
reviewe=d - high confidence,1
reviewed,2466
reviewed ,4
reviewed & deleted bad georefere,1
reviewed - egbot (2012-08-16),1
reviewed - high confidence,762889
reviewed - high confidence.,21
reviewed - low confidence,631
reviewed - med confidence,1
reviewed - medium,1
reviewed - medium confidence,1739
reviewed - moderate confidence,27
reviewed - uncertain confidence,7
reviewed -high confidence,5
reviewed -low confidence,14
reviewed -medium confidence,33
reviewed by collector,1
reviewed by curator,17
reviewed ce,1
reviewed – high confidence.,2
reviewed- high confidence,2
reviewed- low confidence,3
reviewed-high confidence,360
reviewede,2
reviewee,1
unable to georeference,73
unknown,179241
unreviewed,3019
unverifed,19
unverified,12924618
unverrifed,112
unverrified,281
unverrrified,2
validation required,1545
verbatimcoordinate source,2363
verefied,2
verficataion required,1
verfied,4
veridied,3
verifed,24
verificado por colector,1262
verificado por el custodio de datos,201
verification required,167841
verified,30141
verified and locked,27950
verified by DEK,1372
"verified by DEK, KC",2
verified by JLW,560
verified by KC,3086
"verified by KC, RS",6
verified by MCZ collection,139330
verified by Piep,2
verified by RC,4
verified by RS,1979
verified by collector,291985
"verified by collector, verified",1
"verified by collector, verified ",8
verified by contributor,1310298
verified by contributor (collector),254631
verified by curator,83840
verified by data contributor,178
verified by data custodian,24084
verified by institution,2546
verified by locality matchup,2
verified by researcher,6
verified w/ high confidence,37
verified w/ medium confidence,5
verified w/ reasonable certainty,33
verifiied,1
yes,2582
