taxonomicStatus,reps
"* Especie del Brasil (MOBOT, 2009).",2
"* Jiménez [(com. pers.), 2008], comentó que fue un error de omisión no considerar a esta especie en",1
* Mickel & Smith (2004) indican que es propia de bosque tropical caducifolio en altitudes entre los,1
"* Según Espinosa et al. (2005) con distribución en pastizales, matorrales xerófilos, bosques de coní",7
"* Según Hágsater, Soto, Salazar, Jiménez, López & Dressler (2005), no ha sido reportada en México. L",4
"* Según Mickel & Smith (2004) en México L. stricta var. stricta, en tierras bajas de los estados de",1
"* Según Mickel & Smith (2004) en laderas calizas con matorral submontano, en altitudes de 320-1100 m",1
"* Según Mickel & Smith (2004) en laderas rocosas de bosques de pino o de pino-encino, de altitudes e",4
"* Según Mickel & Smith (2004) en tierras húmedas bajas y bosques montanos, en altitudes de 200-1050",2
"* Según Mickel & Smith (2004) es de laderas secas, en altitudes que van de 450-1700 m; de acuerdo a",1
* Según Mickel & Smith (2004) es una especie con distribución en México registrada solo en Chiapas;,1
"* Según Mickel & Smith (2004) se distribuye en altitudes de 200-1000 m, en bosques secos, en los est",2
"* Según Mickel & Smith (2004) se distribuye en altitudes de 80-1600 m, en bosques húmedos; de acuerd",2
"* Según Mickel & Smith (2004) se distribuye en bosques húmedos bajos, en altitudes ca. 150 m, recono",1
"* Según Mickel & Smith (2004) se distribuye en bosques húmedos bajos, en altitudes entre los 100-800",1
"* Según Mickel & Smith (2004) se distribuye en suelos arcillosos secos sobre acantilados, en altitud",1
"* Según Mickel & Smith (2004) se distribuye en vegetación arbustiva de arroyos, en altitudes entre 1",2
"* Según Mickel & Smith (2004) su distribución es en tierras bajas de los estados de Oax, Chis y Ver;",2
"* Según Mickel & Smith (2004) su hábito es epífito sobre palmas, así como rupícola, en la Planicie C",1
"* Según Tejero [(com. pers.), 2011], es una especie de afinidad cálida húmeda, de altitud muy baja,",1
"* Según Tejero [(com. pers.), 2011], no se distribuye en México, se registra en Haití; y de acuerdo",1
"* Según Tejero-Díez [(com. pers.), 2011], es una especie que se distribuye en México en bosques de o",1
"* Según Villaseñor [(com. pers.), 2012] sin distribución en México; Borhidi (2006) no considera esta",2
"* Según Villaseñor [(com. pers.], 2011]) y Rodríguez [(com. pers.], 2011] sin distribución en México",3
"* Taxón sin distribución en México (Tejero-Díez [com. pers.], 2011), al parecer es un taxón reportad",1
* ined.,4
* nom. nud.,1
ACCEPTED,337454
ACEPTADO,2003
Accepted,1096500
"Accepted by Seregin (2012): Flora of Vladimir Oblast, Russia: checklist and atlas. Tula. 620 p.",123054
Aceptada,184
Aceptado,3718665
Aceptado provisionalmente,8
Acptado,48
Ambiguo,49
Anolis serranoi = Norops serranoi,43
Antes Cnemidophorus deppii,436
Antes subespecie de Eleutherodactylus rhodopis,15
Artemisia indica Willd.,2
"Aspidoscelis exsanguis, de acuerdo con Díaz de la Vega Pérez [(com. pers.), 2013] 'Los datos origina",36
"Borhidi (2006), no considera esta especie en su obra -Rubiáceas de México-.",6
Bulbostylis densa (Wall.) Hand.-Mazz.,1
Callianassidae sensu lato es el nombre utilizado en el artículo publicado (bibliografía asociada),2
Carex dispalata Boott,2
Carex lenta D.Don,1
Carex longirostrata C.A.Mey.,1
Carex phacota Spreng.,2
Carex?pisiformis?Boott,3
Cephalanthera longifolia,1
"Chiang [(com. pers.), 2008], considera que todos los ejemplares mexicanos determinados como R. grave",8
Citrus reticulata Blanco,2
Current,214
DOUBTFUL,42
De acuerdo A Ramírez-Pulido et al. (2005) y Wilson & Reeder (2005) es una especie sin distribución e,10
"De acuerdo Quero [(com. pers.), 2012], especímenes mexicanos determinados como D. polyacanthos corre",2
De acuerdo a Espejo [(com. pers.) 2011] ejemplares identificados como W. hygrometrica en México corr,4
"De acuerdo a Gómez de Silva & Pérez-Villafaña [(com. pers.), 2012] ejemplares determinados como E. d",26
"De acuerdo a Gómez de Silva & Pérez-Villafaña [(com. pers.), 2012] es una especie que no tiene distr",3
"De acuerdo a Gómez de Silva & Pérez-Villafaña [(com. pers.), 2012] especie con distribución en Méxic",24
"De acuerdo a Gómez de Silva & Pérez-Villafaña [(com. pers.), 2012] todo ejemplar determinado como I.",1
"De acuerdo a Gómez de Silva & Pérez-Villafaña [(com. pers.), 2012] y Navarro [(com. pers.), 2012] ej",9
"De acuerdo a Gómez de Silva & Pérez-Villafaña [(com. pers.), 2012] y Navarro [(com. pers.), 2012] es",1
"De acuerdo a Gómez de Silva & Pérez-Villafaña [(com. pers.), 2012] y Navarro [(com. pers.), 2012], e",12
"De acuerdo a Hágsater, Soto, Salazar, Jiménez, López & Dressler (2005), los ejemplares identificados",1
"De acuerdo a Mickel & Smith (2004), es una especie que se aplica a material de todo el mundo, except",4
"De acuerdo a Mickel & Smith (2004), todo el material en América Latina determinado como L. complanat",10
"De acuerdo a Navarro [(com. pers.), 2012] ejemplares identificados como Myadestes obscurus (especie",74
"De acuerdo a Navarro [(com. pers.), 2012] es una especie con distribución solo en Hawai, ejemplares",19
"De acuerdo a Navarro [(com. pers.), 2012] es una especie de zonas secas bajas.",3
"De acuerdo a Navarro [(com. pers.), 2012] es una especie de zonas secas.",6
"De acuerdo a Navarro [(com. pers.), 2012] es una especie extinta, reportada en bosques de pino-encin",1
"De acuerdo a Navarro [(com. pers.), 2012] es una especie que habita solo selvas altas.",4
"De acuerdo a Navarro [(com. pers.), 2012] es una especie que se distribuye en tierras bajas.",5
"De acuerdo a Navarro [(com. pers.), 2012] es una especie que se distribuye en zonas abiertas y árida",2
