verbatimCoordinateSystem,reps
"1°29'59,6''N,75°39'22,6''W",3
"1°29'59,7''N,75°39'23''W",1
"1°29'59,8''N,75°36'22,6''W",1
"1°29'59,8''N,75°38'22,6''W",1
"1°29'59,8''N,75°39'22,6''W",20
"1°29'59,9''N,75°39'22,6''W",1
"1°29'77,62''N,75°39'382''W",2
"1°29'7762''N,75°39'382''W",1
"1°29'86''N,75°39'51,8''W",1
"1°29'96,7''N,75°39'40,7''W",8
"1°29'967''N,75°39'407''W",1
"1°29,71''N,75°39,23''W",1
"1°29,96'N,75°39,407'W",1
"1°29,967'N,75°39,4070'W",1
"1°29,97''N,75°39,41''W",5
"1°29°20,56''N,75°24'17,64''W",1
"1°30'15,4''N,75°39'59,9''W",2
"1°30'22,2''N,75°29'4,3''W",1
"1°30'35,4''N,75°36'56,3''W",1
"1°30,76''N,75°39,76''W",2
"1°30,765'N,75°39,758'N",1
"1°31'12,8''N,75°32'50,2''W",2
"1°32'04''N,75°36'12''w",1
"1°32'04'N,75°36'12''W",1
"1°32'54''N,75°28'47''W",15
"1°32'787''N,75°28'522''W",4
"1°32,04'N,75°36,12'W",1
"1°32,257'N,75°28,252'W",1
"1°32,527'N,75°28,252'W",1
"1°32,53''N,75°28,25''W",8
"1°33'52''N,75°19'55''W",1
"1°33'59''N,75°19'20,1''W",3
"1°34'45,59''N,75°35'58,4''W",2
"1°35'17,78''N,75°33'39,33''W",5
"1°35'17,8''N,75°33'39,3''W",7
"1°35'17,8''N,75°51'49,1''W",1
"1°35'37,7''N,75°38'55''W",1
"1°35'37,70''N,75°38'54,95''W",1
"1°35'865''N,75°22'429''W",7
"1°35,865'N,75°22,429'W",1
"1°36'08,6''N,75°51'49,1''W",7
"1°36'21,6''N,75°36'27''W",1
"1°36'21,8''N,75°36'27,5''W",1
"1°36'23''N,35°39'6,2''W",2
"1°36'23''N,75°39'45''W",4
"1°36'23''N,75°39'6,5''W",2
"1°36'23''N,75°39'65''",1
"1°36'23''N,75°39'65''W",3
"1°36'23,3''N,35°39'6,2''W",2
"1°36'23,3''N,35°39'6,2W",1
"1°36'23,3''N,76°39'6,2''W",1
"1°36'23,4''N,75°39'2,59''W",1
"1°36'23,5''N,75°39,02'59''W",2
"1°36'35,9''N,75°36'45,3''W",1
"1°36'359''N,75°36'453''W",1
"1°36'359''N,75°36,453''W",1
"1°36'38,7''N,76°06'06,2''W",1
"1°36'45''N,75°39'02,59''W",1
"1°36'45''N,75°39'2,59''W",3
"1°36'56,9''N,75°35'0''W",1
"1°36'5701''N,76°6'8''W",1
"1°36'59''N,76°6'16''W",1
"1°36'8,6''N,75°51'49,1''W",3
"1°36'9,8''N,75°39'1,4''W",4
"1°36,23''N,75°39,02''W",3
"1°36,23'N,75°39'6,5''W",1
"1°36,34''N,75°36,45''W",2
"1°36,359'N,75°36,453''W",2
"1°36,359'N,75°36,453'W",3
"1°36,36''N,75°36,45''W",13
"1°36,36''N,75°38,49''W",1
"1°36,37''N,75°36,46''W",6
"1°36,373'N,75°36,462'W",1
"1°36,374'N,75°36,457'W",1
"1°36,38''N,75°34,82''W",5
"1°36,4''N,75°39,11''W",1
"1°37''N,75°36''W",1
"1°37'03''N,75°37'03''W",3
"1°37'1''N,75°37'3''W",1
"1°37'138''N,75°39'343''W",1
"1°37'138''N,75°39'434''W",5
"1°37'138''N,76°39'4,34''W",1
"1°37'138''N,76°39'434''W",2
"1°37'18,3''N,75°39'434''W",1
"1°37'23,89''N,75°40'19,91''W",1
"1°37'23,9''N,75°40'19,9''W",2
"1°37'238''N,75°36'383''W",28
"1°37'28''N,75°36'15''N",1
"1°37'28''N,75°36'15''W",1
"1°37'3''N,75°37'3''W",8
"1°37'46''N,75°35'26''W",1
"1°37'549''N,75°34'245''W",2
"1°37'549''N,79°34'245''W",1
"1°37'56,5''N,75°41'49,9''W",1
"1°37'56,9''N,75°35'0''W",3
"1°37'56,9''N,75°35'00,''W",1
"1°37'56,9''N,75°35'00,0''W",4
"1°37'830''N,75°35'008''W",5
"1°37'N,75°36''W",4
"1°37'N,75°36'W",1
"1°37'N,76°36'W",3
"1°37,14''N,75°39,34''W",1
"1°37,14''N,75°39,43''W",1
"1°37,549'N,75°34,245'W",2
"1°37,55''N,75°34,25''W",5
"1°37,83''N,75°30,05''W",1
"1°37,83''N,75°35,045''W",1
"1°38'06,1''N,75°34'57,9''W",1
"1°38'37''N,75°41'27,6''W",5
"1°38'6,1''N,75°34'57,9''W",6
"1°38'707''N,75°36'978''W",1
"1°38,097''N ,75°35,0311''W",3
"1°38,1''N,75°35,03''W",1
"1°38,97'',75°35,31''",1
"1°39'0''N,75°36'24''W",1
"1°39'0''N,75°39'24''W",2
"1°39'07''N,75°39'04''W",1
"1°39'102''N,75°34'473''W",1
"1°39'102''N,75°34,473''W",1
"1°39'133''N,75°35'258''W",1
"1°39'26,49''N,75°35'50,63''W",1
"1°39'350''N,75°34'473''W",1
"1°39'50,8''N,75°36'55,9''W",1
"1°39'543''N,75°36'128''W",1
"1°39'909''N,75°37'019''W",4
"1°39'909''N,75°37'119''W",1
"1°39'909''N,75°37'19''W",1
"1°39,102''N,75°34,473''W",1
"1°39,13''N,75°36,13''W",2
"1°39,133''N,75°36,128''W",1
"1°39,133'N,75°36,128''W",1
"1°39,54''N,75°36,13''W",1
"1°39,543'N,75°35,258'W",1
"1°39,543'N,75°36,128''W",1
"1°39,543'N,75°36,128'W",1
"1°39,846'N,75°36,391'W",2
"1°39,85''N,75°36,39''W",2
"1°39,91''N,75°37'19''W",1
"1°4''89,4''N,75°40'47''W",1
"1°4''89,4''N,79°4'0,47''W",1
"1°4'11''N,76°44'41''W",1
"1°4'34,6''N,76°37'43,5''W",2
"1°4'34,6''N,76°37'53,2''W",1
"1°4'49,8''N,76°37'56,1''W",1
"1°4'51,8''N,76°37'54,4''W",2
"1°4'89,4''N,76°4'0,47''W",4
"1°40'03''N,75°40'19''W",2
"1°40'3''N,75°40'19''W",1
"1°40'35,1''N,76°6'11,8''W",2
"1°42'32''N,75°42'926''W",10
"1°42'32,4''N,75°42'92''W",1
"1°42'32,4''N,75°42,92''W",8
"1°42'324''N,75°42'92,6''W",1
"1°42'43''N,75°17'37''W",8
"1°42'43''N,75°17'97''W",1
"1°42'43,3''N,75°17'17''W",1
"1°42'43,3''N,75°17'37''W",3
"1°42'43,33''N,75°17'37''W",4
"1°42'43,33'N,75°17'37''W",2
"1°42'54''N,75°17'22''W",14
"1°42'68,4''N,75°42'86,5''W",1
"1°42'684''N,75°42'865''W",11
"1°42,32''N,75°42,93''W",1
"1°42,324''N,75°42,926''W",1
"1°42,324'N,75°42,926'W",2
"1°42,68''N,75°42,87''W",6
"1°42,68''N,75°72,87''W",1
"1°42,68'N,75°42,86'W",1
"1°42,68'N,75°42,86W",1
"1°42,684'N,75°42,865'W",5
"1°42,684'N,75°42,865W",1
"1°42,684N,75°42,865'W",1
"1°42,68N,75°42,86''W",1
"1°43'20,6''N,75°17'31,9''W",15
"1°43'20,6''N,75°17'31,9W",1
"1°43'34''N,75°40'06''W",2
"1°43'492''N,75°39,981''W",2
"1°43'495''N,75°38'264''W",6
"1°43'751''N,75°40'391''W",2
"1°43,324''N,75°42,926''W",1
"1°43,324'N,75°42,926W",1
"1°43,492''N,75°39,981''W",1
"1°43,492'N,75°39,981'W",1
"1°43,75''N,75°40,39''W",1
"1°44'133''N,75°38'487''W",11
"1°44'133''N,75°38'4870''W",2
"1°44'464''N,75°35'073''W",2
"1°44'464''N,75°35,073''W",1
"1°44'464''N,75°35,073'W",1
"1°44'56,9''N,75°59'27''W",2
"1°44'56,9'N,75°59'27''W",1
"1°44'58''N,75°34'56''W",4
"1°44'7,6''N,75°40'26,8''",1
"1°44'7,6''N,75°40'26,8''W",1
"1°44,133'N,75°38,487W",1
"1°44,46''N,75°35,07''W",1
"1°44,464'N,75°35,073''W",1
"1°44,464'N,75°35,073'W",1
"1°44.464'N,75°35,073'W",1
"1°45'49,9''N,75°46'38,7N",1
"1°47'50,06''N,75°42'59,35''W",1
"1°47'50,1''N,75°42'59,4''W",2
"1°47'50,6''N,75°42'59,4''W",14
"1°47'50,6'N',75°42'59,4''W",1
"1°47'50,60''N,75°42'59,35''W",5
"1°5'152''N,75°28'219''W",1
"1°5,011''N,75°,27,36''W",1
"1°5,011''N,75°21,36''W",1
"1°5,011''N,75°27,36''W",7
"1°5,11''N,75°27,36''W",3
"1°5,152''N,75°28,22''W",9
"1°5,753''N,75°27,61''W",1
"1°52'684''N,75°42'865''W",1
"1°54'21,7''N,75°15'40,4''W",2
"1°54'23,6''N,75°60'5,9''W",1
"1°54'38''N,75°08'48''W",1
"1°54'N,76°05'W",5
"1°56'14,5''N,75°12'32,3''W",6
"1°56'47,2''N,75°11'54,1''W",5
2,1023
2018-04-03,1
"2°07'N,74°33'W",5
"2°14'53''N,74°48'326''W",1
"2°14,53''N,74°48,326''W",2
"2°18'1,67''N,75°23'12,6''W",2
"2°18'1,674''N,75°23'12,565''W",1
"2°18'19,6''N,75°23'4,74W",1
"2°18'8,566''N,75°22'42,57''W",1
"2°18'8,566''N,75°23'42,57''W",1
"2°18'8,57''N,75°22'42,6''W",1
"2°23'57,1''N,70°2'51,8''W",1
"2°31'30,2''S,70°11'05,7''W",1
"2°33'29,7''N,70°10'28,2''W",1
"2°34'0''N,70°12'46''W",3
"2°36'9''N,72°32'1,4''W",1
"2°36,37''N,75°36,46''W",1
"2°53'30,6''N,69°46'56,9''W",1
"2°56'30,6''N,69°46'56,9''W",1
"2°7''N,74°33''W",2
"2°7'N,74°33'W",1
30T 552755 4756962,1
30T 575986 4764474,1
30T 576166 4764262,1
30T 632170 4759879,2
30T 664068 4729589,1
"3°48'33,02''N,16'04'29''W",1
"3°59'15''N,69°54'10''W",2
424905N;0795534W,1
425010N;0794911W,3
"4°00'18''S,69°54'45''W",1
"4°00'N, 81°31'W",14
"4°03'49,7''N,73°21'54,3''W",3
"4°21,8''N,73°23'01,2''W",1
"4°29'13''N,68°00'22''W",4
"4°3'49,7''N,73°21'54,3''W",1
"4°31'56''N,68°05'28''W",1
"4°33'32''N,68°11'51''W",11
"4°34'56''N,68°5'28''W",1
"4°36'33''N,67°51'52''W",4
"5°26'09''N,72°41'67''W",4
"5°30'46''N,70°16'13,1''W",1
"5°35'45,4''N,70°16'8,9''W",1
"5°36'36,5''N,70°21'48,6''W",1
"5°36'6,3''N,70°16'20,9''W",2
"5°366'16,9''N,70°12'54,5''W",1
"5°37'31,6''N,70°15'16,8''W",1
"6°06'19''N,73°13'20''W",2
"6°09'54''N,73°08'15''W",3
"6°9'54''N,73°8'15''W",2
"9°37'48''N,74°54'44''W",1
"9°51'33''N,75°6'38''W",1
"9°51'33'N,75°6'38''W",1
"Alaotra: 17°30'0"" S  48°30'0"" E",151
"Ambadikala: 18°15'0"" S  48°56'0"" E",18
"Ambahona: 19°13'0"" S  47°02'0"" E",4
"Ambalamanasy: 13°44'0"" S  49°57'0"" E",6
"Ambalarondro: 18°28'0"" S  48°59'0"" E",2
"Ambalavao: 19°6'0"" S  47°32'0"" E",6
"Ambalavao: 21°29'0"" S  46°55'0"" E",2
"Ambanja: 13°38'0"" S  48°27'0"" E",37
"Ambaro: 12°36'0"" S  49°34'0"" E",2
"Ambatofinandrahana: 20°33'0"" S  46°48'0"" E",9
"Ambatofitorahana: 20°49'0"" S  47°11'0"" E",8
"Ambatofotsikely: 18°18'0"" S  46°02'0"" E",2
"Ambatondrazaka: 17°50'0"" S  48°25'0"" E",33
"Ambatotsokina: 19°06'0"" S  46°41'0"" E",1
"Ambatovositra, Andranomalaza, ""Reserve naturelle III"", 17°39′00″S, 48°37′00″E",227
"Ambavaniasy: 18°57'0"" S  48°31'0"" E",29
"Ambereny: 18°55'0"" S  44°23'0"" E",1
"Ambila Lemaintso: 18°51'0"" S  49°08'0"" E",23
"Ambilalialika: 23°52'0"" S  43°44'0"" E",2
"Ambinanitelo: 15°21'0"" S  49°35'0"" E",79
"Amboakatra: 16°42'0"" S  49°40'0"" E",4
"Amboanato: 21°8'0"" S  48°22'0"" E",2
"Amboasary: 23°55'0"" S  44°48'0"" E",83
"Ambodiboatavo: 17°47'0"" S  48°22'0"" E",2
"Ambodihatafana: 16°13'0"" S  49°26'0"" E",12
"Ambodimanga: 15°43'0"" S  47°06'0"" E",5
"Ambodisaina: 17°16'0"" S  48°40'0"" E",2
"Amboditavolo: 15°49'0"" S  49°32'0"" E",20
"Ambodivoahangy: 15°17'0"" S  49°36'0"" E",273
"Ambohiby: 18°52'0"" S  46°12'0"" E",27
"Ambohidena: 16°51'0"" S  49°57'0"" E",3
"Ambohidratrimo: 18°40'0"" S  47°53'0"" E",4
"Ambohikely: 18°29'0"" S  47°54'0"" E",3
"Ambohimanakana: 16°35'0"" S  48°23'0"" E",3
"Ambohimanga: 19°37′00″S, 46°7′00""E",2
"Ambohitantely: 18°10'0"" S  47°17'0"" E",39
"Ambohitsitondroina: 15°35'0"" S  50°01'0"" E",18
"Ambohitsitondroina: 15°35'0"" S  50°1'0"" E",44
"Ambositra: 20°31'0"" S  47°15'0"" E",11
"Ambovombe: 25°12'0"" S  46°4'0"" E",27
"Ambre: 12°37'0"" S  49°09'0"" E",1
"Ampandrandava: 22°14'0"" S  44°32'0"" E",3
"Ampanihy: 18°59'0"" S  45°10'0"" E",11
"Ampasimalaza: 17°35'0"" S  49°14'0"" E",2
"Ampasy: 22°18'0"" S  47°01'0"" E",14
"Ampijoroa: 16°15'0"" S  47°11'0"" E",241
"Anakao: 23°40'0"" S  43°39'0"" E",28
"Analamerana: 12°44'0"" S  49°32'0"" E",22
"Analamerana: 12°44'0"" S  49°36'0"" E",11
"Analavelona: 22°45'0"" S  44°10'0"" E",10
"Andabolava: 24°13'0"" S  46°19'0"" E",1
"Andampy: 12°49'0"" S  49°31'0"" E",1
"Andevoranto: 18°57'0"" S  49°06'0"" E",18
"Andohahela: 24°36'0"" S  46°42'0"" E",73
"Andrahomana: 25°11'0"" S  46°40'0"" E",5
"Andrakata: 14°37'0"" S  49°43'0"" E",2
"Andramasina: 19°11'0"" S  47°35'0"" E",7
"Andrambovato: 21°32'0"" S  47°26'0"" E",7
"Andranoboka :  15°38'0"" S  46°53'0"" E",1
"Andranovory: 23°09'0"" S  44°08'0"" E",2
"Andringitra: 17°04'0"" S  47°42'0"" E",4
"Andringitra: 22°19'60"" S  46°55'0"" E",27
"Andringitra: 22°20'0"" S  46°55'0"" E",6
"Androka: 18°53′00″S, 45°17′00""E",3
"Angavokely: 18°55′00″S, 47°44′00E",1
"Anivorano: 16°49'0"" S  48°10'60"" E",2
"Anivoranokely: 18°21′00″S, 48°53′00″E",20
"Anjanaharibe: 14°37'0"" S  49°24'0"" E",61
"Anjaviliava: 13°30'0"" S  49°59'0"" E",2
