verbatimCoordinateSystem,reps
Grados y minutos decimales,7
Grados | minutos | segundos,1
"Grados, Minitos y Segundos",262
"Grados, Minutos y segundos",540
"Grados, Minutos, Segundos",4800
"Grados, Minutos, Segundos - GMS",1149
"Grados, Minutos, Segundos Decimales",1
"Grados, Minutos; Segundos",195
"Grados, minutos",1157
"Grados, minutos decimales",8333
"Grados, minutos y Segundos",311
"Grados, minutos y segundo",173
"Grados, minutos y segundos",172707
"Grados, minutos y segundos decimales",1
"Grados, minutos, decimales",13
"Grados, minutos, segundo",159
"Grados, minutos, segundos",185369
Graus,3
Graus decimais,2998
Graus e minutos,290
Graus e minutos decimais,456
Graus minutos e segundos,283
Graus minutos e segundos decimais,12
Greus e minutos,1
Grid,1
Hale,1
Hayford-Gauss IGeoE,1505
"Hell ville: 13°24'0"" S  48°16'0"" E",6
IFBL,64
IFBL 1km,5117770
IFBL 4km,2741090
"Ifanadiana:21°18'0"" S  47°38'0"" E",71
"Ifotaka: 21°59'0"" S  44°26'0"" E",18
"Ile aux Nattes: 17°7'0"" S  49°49'0"" E",11
"Imanombo: 24°12'0"" S  46°49'0"" E",1
"Imerimandroso: 17°26'0"" S  48°35'0"" E",2
"Imerintsiatosika: 18°59'0"" S  47°19'0"" E",3
"Ingaro: 21°34'0"" S  46°23'0"" E",3
"Isaka: 24°28'0"" S  46°36'0"" E",13
"Isalo: 19°44'0"" S  45°26'0"" E",41
"Ivakoana: 22°03'0"" S  47°55'0"" E",35
"Ivohibe: 22°31'0"" S  46°57'0"" E",4
"Ivoloina: 18°4'0"" S  49°24'0"" E",22
"Ivontaka: 16°18'0"" S  49°49'0"" E",17
"Ivorona: 24°51′00″S, 46°55′00""E",1
"Joffreville: 12°28'60"" S  49°12'0"" E",17
"Kalempo: 13°16'0"" S  48°15'0"" E",1
"Kamoro: 16°28'0"" S  47°71'0"" E",1
"Kirindy: 20°57'0"" S  44°13'0"" E",2
LTLN,10910
LUGR,106
LUX,634
"Lac Alaotra: 17°30'0"" S  48°30'0"" E",7
"Lac Iotry: 23°31'0"" S  44°20'0"" E",37
"Lac Tritriva: 19°56'0"" S  46°50'0"" E",10
"Lac Tsimanampetsotsa: 24°7'0"" S  43°45'0"" E",14
"Lakato: 19°11'0"" S  48°26'0"" E",80
Lambert,217307
Lambert 72,184092
"Lambomakandro: 22°42'0"" S  44°42'0"" E",121
"Lambomankadro:  22°42'0"" S  44°42'0"" E",8
"Lambovola: 19°18'0"" S  46°47'0"" E",1
Las Coloradas,4
"Latitud, Longitud",8
Lmb 72,3432
"Lokobe: 13°23'0"" S  48°20'0"" E",64
MAGNA-SIRGAS /Colombia Bogota zone,26
MGRS,449368
MTM,41
"Mahatsinjo: 18°17'0"" S  46°46'0"" E",2
"Mahavavy:  13°11'0"" S  48°59'0"" E",6
"Mahavelona: 18°49'0"" S  48°6'0"" E",2
"Mailaka: 13°48'0"" S  48°19'0"" E",2
"Mananara Avaratra:  16°10'0"" S  49°46'0"" E",21
"Manandrotsy: 23°40'0"" S  45°40'0"" E",1
"Manankazo: 18°9'0"" S  47°12'0"" E",3
"Mandraka: 18°3'0"" S  49°15'0"" E",172
"Mandrare:  25°10'0"" S  46°27'0"" E",4
"Mangabe: 16°43'0"" S  46°49'0"" E",1
"Mangoky: 23°27'0"" S  45°13'0"" E",291
"Manjakatompo: 18°58'0"" S  47°17'0"" E",61
"Manjakatompo: 19°20'0"" S  47°26'0"" E",17
"Manombo: 21°36'0"" S  44°24'0"" E",16
"Mar Argentino, altura Golfo San Jorge",1
"Mar Argentino, costa bonaerense",6
"Maroantsetra: 15°26'0"" S  49°44'0"" E",76
"Maromandia: 14°13'0"" S  48°05'0"" E",2
"Maromandia: 14°9'0"" S  50°7'0"" E",14
"Marotsiraka: 22°49'0"" S  44°18'0"" E",1
"Marovato: 12°40'0"" S  48°55'0"" E",1
"Marovato: 23°10'0"" S  46°2'0"" E",4
"Marovoay:  16°7'0"" S  46°38'0"" E",1
Marsden Square,602
"Massif d'Ankaratra: 19°25'0"" S  47°12'0"" E",4
"Miandrivazo: 19°33'0"" S  45°27'0"" E",6
"Midongy Sud: 23°34'60"" S  47°1'0"" E",23
"Midongy Sud: 23°35'0"" S  47°1'0"" E",16
Misiones,13
"Montagne d'Ambre: 12°30'0"" S  49°10'0"" E",418
"Montagne des Français:  12°22'0"" S  49°22'0"" E",52
"Morafenobe: 17°51'0"" S  44°55'0"" E",19
"Moramanga: 18°55'0"" S  48°13'0"" E",13
N,10
NA,212302
ND,8
"Namoroka: 16°24'0"" S  45°17'0"" E",128
"Nanisana: 18°53'0""S 47°32'0""E",2
"Navana: 15°25'0"" S  49°52'0"" E",26
No registrado,2060
"Nosivola: 13°16'0"" S  48°52'0"" E",27
"Nosy Komba: 13°28'0"" S  48°21'0"" E",83
"Nosy Mitsio: 12°54'0"" S  48°36'0"" E",7
OSGB 1936,42517
OSGB36,5582
PLSS,3
"Piedra del Aguila, Estancia Yuncón",4
Planas,24
"Périnet :  18°55'0"" S  48°25'0"" E",933
QUAD,22
QUAD Forum,2
RT 90,48
RT90,1283003
"Ranomafana: 18°57'0"" S  48°50'0"" E",35
"Ranomafana: 20°31'0"" S  46°46'0"" E",2
"Ranomasy: 24°2'0"" S  44°11'0"" E",1
Rijksdriehoeksmeeting,9
Rocha,3
"Rogez: 18°48'0"" S  48°37'0"" E",111
"Ruta 12, Km 100, 4º Seccion Islas, Campana",3
"Réserve de Lokobe: 13°23′00″S, 48°20′00″E",7
S,3
S 10° 15.301’S;E 150° 54.903’E,1
"Sahamamy: 17°31'0"" S  48°18'0"" E",2
"Saint Augustin: 23°33'0"" S  43°46'0"" E",31
"Sainte Luce:  24°47'0"" S  47°10'0"" E",10
"Sakamena: 23°19'0"" S  45°47'0"" E",3
"Sakaraha: 22°54'0"" S  44°32'0"" E",3
"Sakaramy: 12°27'0"" S  49°16'0"" E",1
"Sakoa: 23°49'0"" S  44°46'0"" E",1
"Salary: 22°35'0"" S  43°17'0"" E",1
"Sambirano : 13°43'0"" S  48°22'0"" E",62
"Sambirano: 13°43'0"" S  48°22'0"" E",16
"Sambirano: 13°43′00″S, 48°22′00″E",3
"Sandrakely: 21°7'0"" S  47°39'0"" E",20
"Sandrangato: 19°6'0"" S  48°13'60"" E",54
"Sandrangato: 19°6'0"" S  48°14'0"" E",150
"Sandravinany: 24°2'0"" S  47°25'0"" E",2
"Sarondrano: 24°47'0"" S  47°5'0"" E",1
"Seranambe: 16°14'0"" S  49°50'0"" E",37
Sexagesimal,4050
Sexagesimales,419
"Soaindrana:  21°31'0"" S  47°2'0"" E",18
"Soalala: 16°06'0"" S  45°22'0"" E",1
"Soalala: 16°6'0"" S  45°22'0"" E",1
"Soalary: 23°35'0"" S  43°43'0"" E",4
"Soanierana: 18°2'0"" S  47°1'0"" E",2
"Soavina:  20°23'0"" S  46°55'0"" E",19
Swed. grid [RT 90],1
Swed.grid,1
TRS,725
"Talata-Volonondry: 18°45'0"" S  47°39'0"" E",2
"Tampoketsa: 17°0'0"" S  48°3'0"" E",3
"Tampolo: 15°44'0"" S  49°58'0"" E",1
"Tanala: 20°57'0"" S  44°49'0"" E",11
"Taratasy: 17°46'0"" S  49°29'00"" E",2
"Tongobory: 23°29′00″S, 44°22′00""E",57
Township Range,4935
"Tranomaro: 24°38'0"" S  46°28'0"" E",13
"Tranoroa: 24°42'0"" S  45°04'0"" E",6
"Tranoroa: 24°42′00″S, 45°4′00""E",9
"Tsarabaria: 13°45'0"" S  49°57'0"" E",2
"Tsarafidy: 21°12'0"" S  47°13'60"" E",17
"Tsaramandroso: 16°23'0"" S  47°05'0"" E",130
"Tsarasaotra: 20°26'0"" S  47°14'0"" E",1
"Tsihombe: 25°20'0"" S  45°28'0"" E",11
"Tsimanampetsotsa: 24°7′00″S, 43°45′00""E",3
"Tsimbazaza: 18°55'0"" S  47°31'0"" E",409
"Tsivory: 22°28'0"" S  43°42'0"" E",1
UTM,1494932
UTM 15N,103
UTM 17,380
UTM 19N,325
UTM 1km,6278
UTM 36M,7621
UTM 5km,15437038
UTM ED50,933208
UTM N32,11
UTM N33,51
UTM WGS 84,240
"UTM, Longitude Zone 3",4764
Unknown,1137
Unofficial 5km MGRS,291402
"Vallée d'Ambolo: 24°58'0"" S  46°41'0"" E",2
"Vallée d'Iantara: 22°40'0"" S  47°02'0"" E",14
"Vanjamanitra:  18°26'0"" S  47°56'0"" E",10
"Varary: 16°22'0"" S  49°39'0"" E",29
"Varingohitra: 15°27'0"" S  49°42'0"" E",4
"Vilanandro: 16°31'0"" S  45°26'0"" E",6
"Vinany Be: 25°03'0"" S  46°55'0"" E",3
"Vineta: 23°3'0"" S  44°15'0"" E",2
"Vohemar: 13°22'0"" S  50°0'0"" E",4
"Vohibory: 24°57'0"" S  45°33'0"" E",11
"Vohidiala: 17°53'0"" S  48°15'0"" E",2
"Vohipeno: 17°10'0"" S  49°18'0"" E",1
"Vondrozo: 22°49'0"" S  47°17'0"" E",12
W091°43.108'W,1
W094°33.095'W,1
WGS 84,9187
WGS84,33833
WGS84 UTM,11045
YKJ,28967
YKJ; ETRS89,2
YKJ; degrees minutes seconds,24
"Zomandao: 21°33'0"" S  45°26'0"" E",5
"Zombitsy: 22°53'0"" S  44°45'0"" E",26
concession & lot,458
decimal,1
decimal degree,25
decimal degrees,4825194
decimal degrees from DMS,640
decimal degrees ,4
decimal degreses,5
decimal degress,117
deg. min. sec.,556217
degees minutes,117
degees minutes second,39
degree minutes,162
degrees dec. minutes,140729
degrees decimal minutes,18503
degrees minutes,2268
degrees minutes seconds,1300437
degrees minutes seconds; YKJ,1
"degrees, minutes, seconds",327
degrées minutes secondes,24692
degrés décimaux,3205
degrés minutes secondes,85307
etrs-tm35fin,12
grados decimales,20891
grados minuto,265
grados minutos,1259
grados minutos  segundos,648
grados minutos decimales,555
grados minutos segundo,303
grados minutos segundos,5200739
grados minutos segundos decimales,85
grados y minutos decimales,414
"grados, minutos decimales",373
"grados, minutos y segundos",4304
"grados, minutos, segundos",12576
"grados,minutos,segundos",54
grados/minutos/segundos,4326
graus minutos decimais,2
local,15191
not recorded,26
planas,1
unknown,825
utm,1752
verschoven rijksdriehoeksmeting,3359932
wgs84 epsg:4326,124456
ykj,83
