reproductiveCondition,reps
"HOW SEXED: GONADS, LEFT TESTIS 8 X 5 MM, RIGHT 6 X 5 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 8 X 5 MM.",4
"HOW SEXED: GONADS, LEFT TESTIS 8 X 5 MM. RIGHT TESTIS 7 X 4 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 8 X 5.5 MM, RIGHT 3 X 2 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 8 X 6 MM, RIGHT 7 X 6 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 8 X 6 MM, RIGHT 7 X 6.",1
"HOW SEXED: GONADS, LEFT TESTIS 8 X 7 MM, NONE ON RIGHT.",1
"HOW SEXED: GONADS, LEFT TESTIS 8 X 7 MM, RT 7 X 6.",1
"HOW SEXED: GONADS, LEFT TESTIS 8.0 X 5.0 MM.",3
"HOW SEXED: GONADS, LEFT TESTIS 8.0 X 6.0 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 8.0 X 6.5 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 8.5 X 5.0 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 8.5 X 6.0 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 9 X 2 MM, RIGHT 6 X 2 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 9 X 4 MM.",2
"HOW SEXED: GONADS, LEFT TESTIS 9 X 5 MM, RIGHT 7 X 4 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 9 X 5 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 9 X 5 MM. RIGHT TESTIS 5.5 X 4.5 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 9 X 5.5 MM, RIGHT 8 X 5.5 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 9 X 6 MM, RIGHT 8 X 6 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 9 X 6 MM. RIGHT TESTIS 6 X 3.5 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 9 X 7 MM, RIGHT 5 X 4.",1
"HOW SEXED: GONADS, LEFT TESTIS 9 X 7 MM, RIGHT 7 X 7.",1
"HOW SEXED: GONADS, LEFT TESTIS 9.0 X 6.0 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS 9.5 X 5.0 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS < 1 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS APPROX 5 X 1 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS BLOOD ENGORGED. TESTES 2 X 1.5 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS CIRCA 2 X 2 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS DARK, 1.5 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS DEFORMED.",1
"HOW SEXED: GONADS, LEFT TESTIS DRAWN, SMALL.",1
"HOW SEXED: GONADS, LEFT TESTIS DRAWN.",1
"HOW SEXED: GONADS, LEFT TESTIS FLESH YELLOW, RIGHT TESTIS GRAY BLACK.",1
"HOW SEXED: GONADS, LEFT TESTIS L-SHAPED.",1
"HOW SEXED: GONADS, LEFT TESTIS NOT EVIDENT, RIGHT 2.5 X 1 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS ONLY PRESENT.",1
"HOW SEXED: GONADS, LEFT TESTIS ONLY SEEN: 1 X 0.5 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS ONLY, 2 X 1 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS ONLY, CIRCA 10 X 2 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS ONLY, DRAWN.",1
"HOW SEXED: GONADS, LEFT TESTIS SMALL BLACK, RIGHT LARGER YELLOW.",1
"HOW SEXED: GONADS, LEFT TESTIS VISIBLE IN AUTOPSY: 7 X 4 MM.",1
"HOW SEXED: GONADS, LEFT TESTIS VISIBLE,DECOMPOSED.",1
"HOW SEXED: GONADS, LEFT TESTS 9 X 5 MM.",1
"HOW SEXED: GONADS, MALE (AUTOPSIED).",1
"HOW SEXED: GONADS, MUCH ENLARGED.",1
"HOW SEXED: GONADS, NOT MEASURED",5
"HOW SEXED: GONADS, ONE TESTIS DRAWN.",3
"HOW SEXED: GONADS, ONE TESTIS, 1.5 MM, FOUND.",1
"HOW SEXED: GONADS, ONLY 1 CIRCA 13 X 10, PARTLY DECOMPOSED.",1
"HOW SEXED: GONADS, ONLY 1 TESTES 4 X 2 MM.",1
"HOW SEXED: GONADS, ONLY 1 TESTIS, 2 X 2 MM.",1
"HOW SEXED: GONADS, ONLY LEFT TESTES PRESENT, 10 X 4.",1
"HOW SEXED: GONADS, ONLY LEFT TESTIS COULD BE LOCATED BECAUSE OF DAMAGE, LEFT 7 X 3 MM.",1
"HOW SEXED: GONADS, ONLY LEFT TESTIS SEEN, DRAWN.",1
"HOW SEXED: GONADS, ONLY LEFT TESTIS, 2.5 X 1 MM WHITE.",1
"HOW SEXED: GONADS, ONLY RIGHT TESTIS PRESENT, 6 X 5 MM.",1
"HOW SEXED: GONADS, ONLY RIGHT TESTIS VISIBLE, 1.5 MM.",1
"HOW SEXED: GONADS, OVARY ? DESTROYED BY SHOT.",1
"HOW SEXED: GONADS, OVARY DESTROYED.",3
"HOW SEXED: GONADS, OVARY DRAWN, OVIDUCT A THREAD.",1
"HOW SEXED: GONADS, OVARY? 1MM.",1
"HOW SEXED: GONADS, OVARY?.",3
"HOW SEXED: GONADS, OVARY?: TRANSPARENT AREA 2 X 2 MM.",1
"HOW SEXED: GONADS, PARTIALLY DAMAGED. PROBABLY FEMALE.",2
"HOW SEXED: GONADS, PARTIALLY DECOMPOSED TESTES 6 X 4 MM.",1
"HOW SEXED: GONADS, PARTIALLY DECOMPOSED.",1
"HOW SEXED: GONADS, PARTLY DECOMPOSED.",1
"HOW SEXED: GONADS, POSSIBLE LEFT TESTIS DARK, 5 X 2 MM.",1
"HOW SEXED: GONADS, POSSIBLE OVARY 3 X 3 MM.",1
"HOW SEXED: GONADS, POSSIBLE OVARY OVERGROWN WITH TISSUE.",1
"HOW SEXED: GONADS, POSSIBLE OVARY.",2
"HOW SEXED: GONADS, POSSIBLE OVARY? MOSTLY DECOMPOSED.",1
"HOW SEXED: GONADS, POSSIBLE TESTES FOUND.",1
"HOW SEXED: GONADS, POSSIBLY FEMALE.",1
"HOW SEXED: GONADS, POST BREEDING.",2
"HOW SEXED: GONADS, PREVIOUSLY DRAWN, CIRCA 2 X 1 MM, 1.5 X 0.5 MM.",1
"HOW SEXED: GONADS, PROBABLE OVARY 3 X 2 MM.",1
"HOW SEXED: GONADS, PROBABLE OVARY.",1
"HOW SEXED: GONADS, PROBABLE TESTES FOUND.",1
"HOW SEXED: GONADS, PROBABLE TESTES PARTLY DECOMPOSED.",1
"HOW SEXED: GONADS, PROBABLY 8 X 5 MM, DECOMPOSED.",1
"HOW SEXED: GONADS, REMOVED AT EVISCERATION.",1
"HOW SEXED: GONADS, RIGHT & LEFT SMALL.",1
"HOW SEXED: GONADS, RIGHT TESTES CIRCA 2 X 1.2 MM, LEFT MUCH SMALLER.",1
"HOW SEXED: GONADS, RIGHT TESTES MINUTE.",1
"HOW SEXED: GONADS, RIGHT TESTIS 6 MM, PALE.",1
"HOW SEXED: GONADS, RIGHT TESTIS = 7 X 4.5 MM. LEFT TESTIS = 9 X 4 MM.",1
"HOW SEXED: GONADS, RIGHT TESTIS CIRCA 1.6 X 0.8 MM. LEFT NOT FOUND.",1
"HOW SEXED: GONADS, RIGHT TESTIS CIRCA 4 X 2 MM. DAMAGED.",1
"HOW SEXED: GONADS, RIGHT TESTIS LARGER, DRAWN.",1
"HOW SEXED: GONADS, SEXUAL ORGANS BREEDING.",5
"HOW SEXED: GONADS, SEXUAL ORGANS BUSTING.",1
"HOW SEXED: GONADS, SEXUAL ORGANS ENLARGING.",3
"HOW SEXED: GONADS, SEXUAL ORGANS INACTIVE.",1
"HOW SEXED: GONADS, SEXUAL ORGANS LARGE.",33
"HOW SEXED: GONADS, SEXUAL ORGANS MEDIUM.",2
"HOW SEXED: GONADS, SEXUAL ORGANS SMALL.",63
"HOW SEXED: GONADS, SEXUAL ORGANS SMALL. TESTES DRAWN.",1
"HOW SEXED: GONADS, SEXUAL ORGANS SMALL?",1
"HOW SEXED: GONADS, SEXUAL ORGANS VERY LARGE.",1
"HOW SEXED: GONADS, SEXUAL ORGANS VERY SMALL.",1
"HOW SEXED: GONADS, SEXUAL ORGANS, YOUNG.",1
"HOW SEXED: GONADS, SEXUAL ORGANS: SMALL.",1
"HOW SEXED: GONADS, SIZE NOT NOTED ON LABEL.",1
"HOW SEXED: GONADS, SKETCH OF GONADS.",2
"HOW SEXED: GONADS, SKETCH OF TESTES ON FIELD TAG.",6
"HOW SEXED: GONADS, SKETCH OF TESTES ON LABEL.",14
"HOW SEXED: GONADS, SKETCH OF TESTES ON SQUARE TAG.",8
"HOW SEXED: GONADS, SKETCH OF TESTES ON TAG.",9
"HOW SEXED: GONADS, SKETCH OF TESTES.",1
"HOW SEXED: GONADS, SMALL & BLACK.",1
"HOW SEXED: GONADS, SMALL TESTES.",1
"HOW SEXED: GONADS, SMALL.",30
"HOW SEXED: GONADS, SWELLING.",3
"HOW SEXED: GONADS, TESTED DRAWN",1
"HOW SEXED: GONADS, TESTED DRAWN.",1
"HOW SEXED: GONADS, TESTES (NOT RELIABLE).",1
"HOW SEXED: GONADS, TESTES 0.15 X 0.08 CM, CREAM.",1
"HOW SEXED: GONADS, TESTES 0.5 MM DIAMETER.",3
"HOW SEXED: GONADS, TESTES 0.5 MM.",28
"HOW SEXED: GONADS, TESTES 0.5 X 0.2 MM.",1
"HOW SEXED: GONADS, TESTES 0.5 X 0.5 MM, CREAM-COLORED.",1
"HOW SEXED: GONADS, TESTES 0.5 X 0.5 MM.",9
"HOW SEXED: GONADS, TESTES 0.5 X 1 MM.",10
"HOW SEXED: GONADS, TESTES 0.5 X 1.5 MM.",3
"HOW SEXED: GONADS, TESTES 0.5 X 2 MM, DRAWN.",1
"HOW SEXED: GONADS, TESTES 0.6 MM DIAMETER.",1
"HOW SEXED: GONADS, TESTES 0.7 X 0.5 MM.",2
"HOW SEXED: GONADS, TESTES 0.7 X 2 MM, CREAM-COLORED.",2
"HOW SEXED: GONADS, TESTES 0.8 X 0.5 MM.",1
"HOW SEXED: GONADS, TESTES 0.8 X 1 MM.",1
"HOW SEXED: GONADS, TESTES 1 INCH LONG.",1
"HOW SEXED: GONADS, TESTES 1 MM DIAMETER EACH. BIB.",1
"HOW SEXED: GONADS, TESTES 1 MM DIAMETER.",7
"HOW SEXED: GONADS, TESTES 1 MM ROUND.",1
"HOW SEXED: GONADS, TESTES 1 MM X 1 MM.",1
"HOW SEXED: GONADS, TESTES 1 MM, BLACK.",6
"HOW SEXED: GONADS, TESTES 1 MM, OBVIOUS.",1
"HOW SEXED: GONADS, TESTES 1 MM, PINK.",2
"HOW SEXED: GONADS, TESTES 1 MM, WHITE.",1
"HOW SEXED: GONADS, TESTES 1 MM.",107
"HOW SEXED: GONADS, TESTES 1 SMALL, 1 LARGE.",1
"HOW SEXED: GONADS, TESTES 1 X 0.3 MM.",3
"HOW SEXED: GONADS, TESTES 1 X 0.5 MM",1
"HOW SEXED: GONADS, TESTES 1 X 0.5 MM, BLACK.",3
"HOW SEXED: GONADS, TESTES 1 X 0.5 MM, LEFT BLACK.",1
"HOW SEXED: GONADS, TESTES 1 X 0.5 MM.",71
"HOW SEXED: GONADS, TESTES 1 X 0.5 MM. FEMALE (YELLOW) PLUMAGE.",1
"HOW SEXED: GONADS, TESTES 1 X 0.5 MM. YELLOW PLUMAGE.",1
"HOW SEXED: GONADS, TESTES 1 X 0.5 MMED.",1
"HOW SEXED: GONADS, TESTES 1 X 0.5+ MM.",1
"HOW SEXED: GONADS, TESTES 1 X 0.5.",1
"HOW SEXED: GONADS, TESTES 1 X 0.6 MM.",3
"HOW SEXED: GONADS, TESTES 1 X 0.6.",1
"HOW SEXED: GONADS, TESTES 1 X 0.7 MM.",6
"HOW SEXED: GONADS, TESTES 1 X 0.75, CREAM-COLORED.",2
"HOW SEXED: GONADS, TESTES 1 X 0.8 MM.",6
"HOW SEXED: GONADS, TESTES 1 X 1 AND 1.5 X 1 MM.",1
"HOW SEXED: GONADS, TESTES 1 X 1 MM",1
"HOW SEXED: GONADS, TESTES 1 X 1 MM FIDE S.P.ROGERS. SEXED MALE BUT INCOMING B1 BREAST FEATHERS SUGGEST FEMALE.",1
"HOW SEXED: GONADS, TESTES 1 X 1 MM, BLACK.",4
"HOW SEXED: GONADS, TESTES 1 X 1 MM, CREAM-COLORED.",1
"HOW SEXED: GONADS, TESTES 1 X 1 MM, RIGHT TESTES BLACK.",1
"HOW SEXED: GONADS, TESTES 1 X 1 MM.",554
"HOW SEXED: GONADS, TESTES 1 X 1 MM. BIB.",4
"HOW SEXED: GONADS, TESTES 1 X 1 MM. BOTH WHITE.",1
"HOW SEXED: GONADS, TESTES 1 X 1 MM. NOT ENLARGED.",1
"HOW SEXED: GONADS, TESTES 1 X 1 MM. PLUMAGE INDICATES SPECIMENS HOULD BE A FEMALE.",1
"HOW SEXED: GONADS, TESTES 1 X 1 MM? DECOMPOSED.",1
"HOW SEXED: GONADS, TESTES 1 X 1.13 MM.",1
"HOW SEXED: GONADS, TESTES 1 X 1.2 MM.",2
"HOW SEXED: GONADS, TESTES 1 X 1.3 MM.",1
"HOW SEXED: GONADS, TESTES 1 X 1.5 MM",1
"HOW SEXED: GONADS, TESTES 1 X 1.5 MM, PALE.",1
"HOW SEXED: GONADS, TESTES 1 X 1.5 MM.",25
"HOW SEXED: GONADS, TESTES 1 X 1/2 MM.",1
"HOW SEXED: GONADS, TESTES 1 X 2 MM.",25
"HOW SEXED: GONADS, TESTES 1 X 3 MM.",4
"HOW SEXED: GONADS, TESTES 1 X 3.3 MM, WHITISH.",1
"HOW SEXED: GONADS, TESTES 1 X 5 MM.",1
"HOW SEXED: GONADS, TESTES 1 X ? (TAG DATA STOPS HERE).",1
"HOW SEXED: GONADS, TESTES 1 X MM.",1
"HOW SEXED: GONADS, TESTES 1.0 AND 1.5 MM.",1
"HOW SEXED: GONADS, TESTES 1.0 MM ROUND.",2
"HOW SEXED: GONADS, TESTES 1.0 MM.",2
"HOW SEXED: GONADS, TESTES 1.2 X 0.8 MM.",3
"HOW SEXED: GONADS, TESTES 1.2 X 1 MM.",3
"HOW SEXED: GONADS, TESTES 1.3 X 1 MM.",3
"HOW SEXED: GONADS, TESTES 1.5 MM, DECOMPOSED.",2
"HOW SEXED: GONADS, TESTES 1.5 MM.",23
"HOW SEXED: GONADS, TESTES 1.5 X 0.5 MM",1
"HOW SEXED: GONADS, TESTES 1.5 X 0.5 MM.",15
"HOW SEXED: GONADS, TESTES 1.5 X 0.5 MM. RED PLUMAGE.",1
"HOW SEXED: GONADS, TESTES 1.5 X 0.75 MM, DULL YELLOW.",1
"HOW SEXED: GONADS, TESTES 1.5 X 1 MM",2
"HOW SEXED: GONADS, TESTES 1.5 X 1 MM EACH. TRACE OF BIB.",1
"HOW SEXED: GONADS, TESTES 1.5 X 1 MM, 1 X 1 MM.",1
"HOW SEXED: GONADS, TESTES 1.5 X 1 MM, BLACK.",8
"HOW SEXED: GONADS, TESTES 1.5 X 1 MM, DRAWN.",1
"HOW SEXED: GONADS, TESTES 1.5 X 1 MM, LEFT BLACK.",1
"HOW SEXED: GONADS, TESTES 1.5 X 1 MM, WHITE.",2
"HOW SEXED: GONADS, TESTES 1.5 X 1 MM.",362
"HOW SEXED: GONADS, TESTES 1.5 X 1 MM. SLIGHT BIB.",1
"HOW SEXED: GONADS, TESTES 1.5 X 1.0 MM.",3
"HOW SEXED: GONADS, TESTES 1.5 X 1.25 MM, LEFT BLACK, RIGHT RED.",1
"HOW SEXED: GONADS, TESTES 1.5 X 1.5 MM, WHITE.",1
"HOW SEXED: GONADS, TESTES 1.5 X 1.5 MM.",22
"HOW SEXED: GONADS, TESTES 1.5 X 2 MM, WHITE.",1
"HOW SEXED: GONADS, TESTES 1.5 X 2 MM.",5
"HOW SEXED: GONADS, TESTES 1.5 X 2.5 MM.",3
"HOW SEXED: GONADS, TESTES 1.5 X 5 MM.",1
"HOW SEXED: GONADS, TESTES 1.5 X 5.5 MM, WHITISH.",2
"HOW SEXED: GONADS, TESTES 1.5 X 7 MM.",1
"HOW SEXED: GONADS, TESTES 1.5, 2.5 MM.",1
"HOW SEXED: GONADS, TESTES 1.6 X 1.5 MM.",1
"HOW SEXED: GONADS, TESTES 1.7 MM.",1
"HOW SEXED: GONADS, TESTES 1.8 X 1 MM.",1
"HOW SEXED: GONADS, TESTES 1.8 X 4 MM.",1
"HOW SEXED: GONADS, TESTES 1/2 ENLARGED.",1
"HOW SEXED: GONADS, TESTES 1/4 ENLARGED.",7
"HOW SEXED: GONADS, TESTES 10 MM",1
"HOW SEXED: GONADS, TESTES 10 MM.",3
"HOW SEXED: GONADS, TESTES 10 X 1.5 MM.",1
"HOW SEXED: GONADS, TESTES 10 X 15 MM.",1
"HOW SEXED: GONADS, TESTES 10 X 15, WHITE.",1
"HOW SEXED: GONADS, TESTES 10 X 2 MM, 8 X 2 MM.",1
"HOW SEXED: GONADS, TESTES 10 X 2 MM, DARK.",2
"HOW SEXED: GONADS, TESTES 10 X 2 MM.",5
"HOW SEXED: GONADS, TESTES 10 X 2.5 MM.",15
"HOW SEXED: GONADS, TESTES 10 X 3 MM.",16
"HOW SEXED: GONADS, TESTES 10 X 3.5 MM.",5
"HOW SEXED: GONADS, TESTES 10 X 4 MM.",21
"HOW SEXED: GONADS, TESTES 10 X 4.5 MM",1
"HOW SEXED: GONADS, TESTES 10 X 4.5 MM.",5
"HOW SEXED: GONADS, TESTES 10 X 5 MM, 7 X 5 MM.",1
"HOW SEXED: GONADS, TESTES 10 X 5 MM, DARK.",1
"HOW SEXED: GONADS, TESTES 10 X 5 MM, DRAWN.",1
"HOW SEXED: GONADS, TESTES 10 X 5 MM, FLESHY-CREAM.",2
"HOW SEXED: GONADS, TESTES 10 X 5 MM.",27
"HOW SEXED: GONADS, TESTES 10 X 5.5 MM.",2
"HOW SEXED: GONADS, TESTES 10 X 6 MM, 5 X 6 MM, CREAM-COLORED.",1
"HOW SEXED: GONADS, TESTES 10 X 6 MM, DIAGRAM.",1
"HOW SEXED: GONADS, TESTES 10 X 6 MM, DRAWN.",2
"HOW SEXED: GONADS, TESTES 10 X 6 MM.",28
"HOW SEXED: GONADS, TESTES 10 X 7 MM AND 7 X 4 MM.",1
"HOW SEXED: GONADS, TESTES 10 X 7 MM LEFT, 5 X 5 MM RIGHT",1
"HOW SEXED: GONADS, TESTES 10 X 7 MM, DRAWN.",2
"HOW SEXED: GONADS, TESTES 10 X 7 MM.",19
"HOW SEXED: GONADS, TESTES 10 X 7.5 MM.",1
"HOW SEXED: GONADS, TESTES 10 X 8 MM, DRAWN.",1
"HOW SEXED: GONADS, TESTES 10 X 8 MM.",13
"HOW SEXED: GONADS, TESTES 10 X 8.5 MM.",1
"HOW SEXED: GONADS, TESTES 10 X 9 MM.",3
"HOW SEXED: GONADS, TESTES 10.5 X 4.5 MM.",1
"HOW SEXED: GONADS, TESTES 10.5 X 5 MM.",1
"HOW SEXED: GONADS, TESTES 10.5 X 6 MM.",1
"HOW SEXED: GONADS, TESTES 10.5 X 7 MM",1
"HOW SEXED: GONADS, TESTES 10.5 X 8 MM.",1
"HOW SEXED: GONADS, TESTES 10.5 X 8.5 MM.",2
"HOW SEXED: GONADS, TESTES 10.5 X 9.5 MM.",1
"HOW SEXED: GONADS, TESTES 11 X 10 MM, 12 X 7 MM, CREAM-COLORED.",1
"HOW SEXED: GONADS, TESTES 11 X 12 MM.",1
"HOW SEXED: GONADS, TESTES 11 X 2 MM.",4
"HOW SEXED: GONADS, TESTES 11 X 2.5 MM.",4
"HOW SEXED: GONADS, TESTES 11 X 3 MM.",6
"HOW SEXED: GONADS, TESTES 11 X 3.5 MM, LEFT BLACK.",2
"HOW SEXED: GONADS, TESTES 11 X 3.5 MM.",3
"HOW SEXED: GONADS, TESTES 11 X 4 MM.",4
"HOW SEXED: GONADS, TESTES 11 X 4.5 MM.",2
"HOW SEXED: GONADS, TESTES 11 X 5 MM, PARTLY DECOMPOSED.",1
"HOW SEXED: GONADS, TESTES 11 X 5 MM.",12
"HOW SEXED: GONADS, TESTES 11 X 5.5 MM.",1
"HOW SEXED: GONADS, TESTES 11 X 6 MM.",13
"HOW SEXED: GONADS, TESTES 11 X 6.5 MM.",1
"HOW SEXED: GONADS, TESTES 11 X 7 MM, 17 X 7 MM.",1
"HOW SEXED: GONADS, TESTES 11 X 7 MM.",13
"HOW SEXED: GONADS, TESTES 11 X 8 MM",1
"HOW SEXED: GONADS, TESTES 11 X 8 MM, DRAWN.",1
"HOW SEXED: GONADS, TESTES 11 X 8 MM,10 X 8 MM, WHITISH.",1
"HOW SEXED: GONADS, TESTES 11 X 8 MM.",16
"HOW SEXED: GONADS, TESTES 11 X 8.5 MM.",2
"HOW SEXED: GONADS, TESTES 11 X 9 MM.",6
"HOW SEXED: GONADS, TESTES 11.5 X 4 MM.",1
"HOW SEXED: GONADS, TESTES 12 MM.",1
"HOW SEXED: GONADS, TESTES 12 X 10 MM.",3
"HOW SEXED: GONADS, TESTES 12 X 13 MM.",1
"HOW SEXED: GONADS, TESTES 12 X 18 MM.",1
"HOW SEXED: GONADS, TESTES 12 X 2 MM.",3
"HOW SEXED: GONADS, TESTES 12 X 2.5 MM.",4
"HOW SEXED: GONADS, TESTES 12 X 25 MM.",1
"HOW SEXED: GONADS, TESTES 12 X 3 MM.",9
"HOW SEXED: GONADS, TESTES 12 X 3.5 MM.",2
"HOW SEXED: GONADS, TESTES 12 X 4 MM.",7
"HOW SEXED: GONADS, TESTES 12 X 4 MM. DRAWING ON LABEL.",1
"HOW SEXED: GONADS, TESTES 12 X 4.5 MM.",1
"HOW SEXED: GONADS, TESTES 12 X 5 MM.",6
"HOW SEXED: GONADS, TESTES 12 X 6 MM, 9 X 8.5 MM, CREAM-COLORED.",1
"HOW SEXED: GONADS, TESTES 12 X 6 MM, MOSTLY DECOMPOSED.",1
"HOW SEXED: GONADS, TESTES 12 X 6 MM.",12
"HOW SEXED: GONADS, TESTES 12 X 6.5 MM.",1
"HOW SEXED: GONADS, TESTES 12 X 7 MM, CREAM-COLORED.",1
"HOW SEXED: GONADS, TESTES 12 X 7 MM.",14
"HOW SEXED: GONADS, TESTES 12 X 8 MM.",17
"HOW SEXED: GONADS, TESTES 12 X 9 MM, BREEDING CONDITION.",1
"HOW SEXED: GONADS, TESTES 12 X 9 MM.",8
"HOW SEXED: GONADS, TESTES 12 X 9.5 MM.",1
"HOW SEXED: GONADS, TESTES 12.5 X 4.5 MM.",1
"HOW SEXED: GONADS, TESTES 12.5 X 5 MM.",1
"HOW SEXED: GONADS, TESTES 12.5 X 7 MM.",1
"HOW SEXED: GONADS, TESTES 12.5 X 8 MM.",1
"HOW SEXED: GONADS, TESTES 13 MM X 8 MM.",1
"HOW SEXED: GONADS, TESTES 13 MM.",2
"HOW SEXED: GONADS, TESTES 13 X 10 MM, 12 X 10 MM, CREAM-COLORED.",1
"HOW SEXED: GONADS, TESTES 13 X 10 MM, 14 X 10 MM, YELLOWISH FLESH. AMR CATALOG SAYS FEMALE.",1
"HOW SEXED: GONADS, TESTES 13 X 10 MM, 14 X 10 MM,YELLOW FLESH.",1
"HOW SEXED: GONADS, TESTES 13 X 10 MM, BREEDING CONDITION.",1
"HOW SEXED: GONADS, TESTES 13 X 10 MM, DRAWN.",1
"HOW SEXED: GONADS, TESTES 13 X 10 MM.",5
"HOW SEXED: GONADS, TESTES 13 X 2.5 MM.",2
"HOW SEXED: GONADS, TESTES 13 X 3 MM.",3
"HOW SEXED: GONADS, TESTES 13 X 3.5 MM.",2
"HOW SEXED: GONADS, TESTES 13 X 4 MM, 11 X 4 MM.",1
"HOW SEXED: GONADS, TESTES 13 X 4 MM, DRAWN.",1
"HOW SEXED: GONADS, TESTES 13 X 4 MM.",7
"HOW SEXED: GONADS, TESTES 13 X 5 MM.",6
"HOW SEXED: GONADS, TESTES 13 X 5.5 MM.",1
"HOW SEXED: GONADS, TESTES 13 X 6 MM.",3
"HOW SEXED: GONADS, TESTES 13 X 6.5 MM.",2
"HOW SEXED: GONADS, TESTES 13 X 6.7 MM.",1
"HOW SEXED: GONADS, TESTES 13 X 7 MM.",5
"HOW SEXED: GONADS, TESTES 13 X 7.5 MM.",1
"HOW SEXED: GONADS, TESTES 13 X 8 MM.",8
"HOW SEXED: GONADS, TESTES 13 X 9 MM.",3
"HOW SEXED: GONADS, TESTES 13 X 9 X 3 MM.",1
"HOW SEXED: GONADS, TESTES 13.5 X 6.5 MM.",1
"HOW SEXED: GONADS, TESTES 13.5 X 8.5 MM.",1
"HOW SEXED: GONADS, TESTES 13.5 X 9 MM.",1
"HOW SEXED: GONADS, TESTES 13.5 X 9.5 MM.",1
"HOW SEXED: GONADS, TESTES 14 MM.",1
"HOW SEXED: GONADS, TESTES 14 X 10 MM.",11
"HOW SEXED: GONADS, TESTES 14 X 11 MM.",2
"HOW SEXED: GONADS, TESTES 14 X 12 MM.",1
"HOW SEXED: GONADS, TESTES 14 X 18 MM.",1
"HOW SEXED: GONADS, TESTES 14 X 3 MM, 10 X 2 MM.",1
"HOW SEXED: GONADS, TESTES 14 X 3 MM.",1
"HOW SEXED: GONADS, TESTES 14 X 3.5 MM.",3
"HOW SEXED: GONADS, TESTES 14 X 4 MM.",3
"HOW SEXED: GONADS, TESTES 14 X 4.5 MM",1
"HOW SEXED: GONADS, TESTES 14 X 5 MM.",2
"HOW SEXED: GONADS, TESTES 14 X 5.5 MM.",1
"HOW SEXED: GONADS, TESTES 14 X 6 MM.",5
"HOW SEXED: GONADS, TESTES 14 X 7 MM.",8
"HOW SEXED: GONADS, TESTES 14 X 7.5 MM.",1
"HOW SEXED: GONADS, TESTES 14 X 8 MM.",5
"HOW SEXED: GONADS, TESTES 14 X 9 MM.",4
"HOW SEXED: GONADS, TESTES 14 X 9.5 MM.",1
"HOW SEXED: GONADS, TESTES 15 X 10 MM.",4
"HOW SEXED: GONADS, TESTES 15 X 10.5 MM.",1
"HOW SEXED: GONADS, TESTES 15 X 2 MM.",1
"HOW SEXED: GONADS, TESTES 15 X 3 MM.",1
"HOW SEXED: GONADS, TESTES 15 X 4 MM.",2
"HOW SEXED: GONADS, TESTES 15 X 5 MM.",3
"HOW SEXED: GONADS, TESTES 15 X 5.5 MM.",1
"HOW SEXED: GONADS, TESTES 15 X 6 MM.",2
"HOW SEXED: GONADS, TESTES 15 X 6.5 MM.",1
"HOW SEXED: GONADS, TESTES 15 X 7 MM.",5
"HOW SEXED: GONADS, TESTES 15 X 7.5 MM.",1
"HOW SEXED: GONADS, TESTES 15 X 8 MM.",3
"HOW SEXED: GONADS, TESTES 15 X 9 MM, DRAWN.",1
"HOW SEXED: GONADS, TESTES 15 X 9 MM.",6
"HOW SEXED: GONADS, TESTES 15.5 X 10 MM.",1
"HOW SEXED: GONADS, TESTES 16 X 10 MM.",1
"HOW SEXED: GONADS, TESTES 16 X 11 MM.",1
"HOW SEXED: GONADS, TESTES 16 X 7 MM.",2
"HOW SEXED: GONADS, TESTES 16 X 8 MM.",3
"HOW SEXED: GONADS, TESTES 16 X 9 MM.",1
"HOW SEXED: GONADS, TESTES 16.5 X 6 MM.",1
"HOW SEXED: GONADS, TESTES 17 MM.",1
"HOW SEXED: GONADS, TESTES 17 X 10 MM.",2
"HOW SEXED: GONADS, TESTES 17 X 11 MM.",1
"HOW SEXED: GONADS, TESTES 17 X 6 MM.",1
