reproductiveCondition,reps
(hemipenes),7
(incub. 3 eggs),1
(juvenile),6
(lactating),2
(male),3
"(male, female--can see prototrichogynes)",1
(mammae: 0 +2 = 4),1
(mammae: 0 : 2 = 4),1
(mammae: 0:2 = 4),1
(mammae: 1 pr + 2 pr = 6),1
"(mammae: 1 pr, 2 pr = 6)",1
(mammae: 1:2 = 6),5
(no eggs),1
(no emb),4
(no emb) 1:2 = 6 mammae,1
"(no emb, mam: 3pec, 3ing)",1
(no embs),2
(no gonad data),78
(no gonad meas),15
(no gonad meas.),1
(no gonads found),1
(no pouch young),1
(no repro data),3
(ny (female) X vt (male)) tharos (female) X (ny ba (female) X ny th (male)) (male) Br. 77-32,1
(o.m.e.),1
(per necropsy report),7
(per necropsy rpt),3
(phaon (female) X tharos (male)) (female) X tharos (male) Br. 79-49,1
(phaon (female) X tharos (male)) (female) X tharos (male) Br. 79-50,1
(phaon (female) X tharos (male)) (female) X tharos (male) Br. 79-51,2
(plurilocular),3
(polysporic),2
"(propagula, with two or three arms)",1
(second season plant),1
(see Comment),1
(sem informação),39
(spermatangial),4
"(spermatangial, zygotosporangial)",1
(spur present on tarsus),1
(sterile),97
(sterile; second season plant),1
(sterile?),2
(t = 3 mm) abdom.,1
(t = 5 mm) desc.,1
"(testes noted, not meas)",1
(testes= 34x28mm),1
(tetrasporangial),1
(tetrasporic),27
(tetrasporic) (female?),1
(tetrsasporic),2
(unilocular),10
(vagina imperforate),1
(vagina perforate),1
(vocal slits present),1
(young tetrasporangia),1
"(zyogotsporangia, spermatangia)",1
*,3
*Post lactating male,1
+ 2 foetuses,1
+ baculum,1
+ embryos,1
+50 FM 15X12,1
-,2
--,45695
---,787
-10,1
-12,1
-15,1
-22,1
-8,1
.,1
.19mm. testes abdominal.,1
.5x.5,2
.8 GM,1
0,1
0 : 2 = 4 mammae,6
"0 P-SCAR-R, 2 P-SCAR-L",1
"0 X 2, CR = 28",1
"0,0",5
0.5 x 0.5 mm,1
0.5 x 2.0 mm,1
0.6 x 3.3=ad.,1
0.8x5.0mm; largest ova 1mm,1
04/05/2012 egg/larva. 28-30/05/2012 pupa. 01/12/2012 imago,1
06 Mar 1946,1
07 Jul 1945,1
07 May 1947,1
0:2 = 4 mammae,3
0:2= 4 mammae,4
"0R,0L plac scar",1
"0R,1L emb",5
"0R,1L plac scar",2
"0R,2L plac scar",1
0va = 10 mm,1
1,2
1 28mm embryo,1
1 30mm embry,1
1 E,2
1 Emb; CR-12,1
1 Emb; CR-13,1
1 Emb; CR-16,1
1 Emb; CR-19,1
1 Emb; CR-20,1
1 Emb; CR-22 ; LACTATING,1
1 Emb; CR-24,2
1 Emb; CR-25,1
1 Emb; CR-26,1
1 Emb; CR-3,2
1 Emb; CR-30,1
1 Emb; CR-4,3
1 Emb; CR-5,2
"1 Embryo (1L, 0R) CR: 10",1
1 Embryo right,1
"1 Embryo, 20 mm",1
