sex,reps
,1320471519
female,86
male,153
male+female,1
"! males, 2 females, 4 juveniles",1
"""1 Hembra, 3 indeterminados""",1
"""1 Hembra, 8 indeterminados""",1
"""1 Macho, 1 hembra""",55
"""1 Macho, 2 hembras""",4
"""1 Macho, 4 hembras""",1
"""1 Macho, 5 hembras""",1
"""1 hembra, 1 macho""",4
"""1 macho, 1 hembra """,2
"""1 macho, 1 hembra""",5
"""1 macho, 12 hembras""",1
"""1 macho, 2 hembras """,1
"""1 macho, 8 hembras""",1
"""2 Macho; Hembra""",2
"""2 Machos, 1 hembra""",11
"""2 Machos, 2 hembras""",5
"""2 Machos, 4 hembras""",1
"""2 Machos; 1 Hembra""",2
"""2 Machos; Hembra""",1
"""2 machos, 5 hembras""",1
"""3 Machos, 1 hembra""",3
"""3 Machos, 2 hembras""",1
"""3 Machos, 3 hembras""",2
"""3 Machos, 4 hembras""",2
"""3 Machos, 5 hembras""",1
"""3 Machos, 6 hembras""",1
"""3 machos, 2 hembras""",1
"""3 machos, 4 hembras""",1
"""3 machos, 5 hembras""",1
"""4 Machos, 2 hembras""",1
"""4 Machos, 4 hembras""",3
"""4 Machos, 5 hembras""",1
"""4 machos, 5 hembras""",1
"""5 Machos, 2 hembras""",1
"""5 Machos, 5 hembras""",1
"""6 Machos, 2 hembras""",2
"""6 Machos, 4 hembras""",1
"""7 Machos, 3 hembras""",1
"""7 machos, 21 hembras""",1
"""Femelle : """"Ovaires granuleux""""""",1
"""Femelle : ? (orig. : """"mâle"""")""",1
"""Hembra;Macho""",1
"""M""",1
"""Macho; Hembra""",13
"""Macho;Hembra""",9
"""Machos;Hembras""",2
"""female""",51139
"""male""",39177
"""male;female""",1
"""not identified""",106772
# females: 1,390
# females: 1; # undet: 1,12
# females: 1; # undet: 11,1
# females: 1; # undet: 3,1
# females: 2; # undet: 1,2
# females: 2; # undet: 3,1
# females: 4; # undet: 5,1
# males: 1,377
# males: 1; # females: 1,75
# males: 1; # females: 1; # undet: 1,5
# males: 1; # females: 1; # undet: 3,1
# males: 1; # females: 1; # undet: 4,1
# males: 1; # females: 2,7
# males: 1; # females: 2; # undet: 9,1
# males: 1; # females: 3,1
# males: 1; # females: 5,1
# males: 1; # females: 6,1
# males: 1; # females: 8,1
# males: 1; # undet: 1,5
# males: 1; # undet: 2,1
# males: 2; # females: 1,1
# males: 2; # females: 1; # undet: 5,1
# males: 2; # females: 2,6
# males: 2; # females: 2; # undet: 3,1
# males: 2; # undet: 3,1
# males: 2; # undet: 5,1
# males: 2; # undet: 6,1
# males: 3; # females: 2; # undet: 4,1
# males: 3; # females: 3,2
# males: 3; # females: 4,1
# males: 4; # females: 5; # undet: 9,1
# males: 5; # females: 22,1
# males: 5; # females: 2; # undet: 2,1
# males: 5; # females: 4; # undet: 2,1
# males: 5; # females: 6,1
# undet: 1,260
# undet: 12,1
# undet: 2,11
# undet: 28,1
# undet: 4,1
# undet: 5,1
# undet: 6,1
# undet: 7,1
"#800 - male, #801 - female",1
#816 - female,1
#N/A,2
#REF!,21
(F),2
(Female)Male,2
(M),1
(M)?,1
(N),1
(fr.),1
(m) see note,1
(unsexed),1
*,140
+,1811
+  alc. skull; F;,1
+  alc. skull; F; SV 59.6,1
+  skull,5
+ C&S skull,3
+ captive bred.  locality is for parents.,1
+ eggs,3
+ head,2
+ head + maxillary + misc. parts + colon contents,1
+ hemipenes,4
+ hemipenis,4
"+ hyoid , pectoral girdle",1
+ jaw,1
+ oviducts,1
+ partial; skel,1
+ pelvic girdle,1
+ ser-sec,2
+ ser-sec head,24
"+ ser-sec head , anterior vert col thru pec girdle",4
+ ser-sec pectoral girdle,1
+ ser-sec skin,1
+ ser-sec skull,9
+ skull,88
+ skull + vertebrae,1
"+ skull , vertebrae",1
"+ skull , vertebral column",1
"+ skull, hemipenes",1
+ vertebrae,2
+guts,4
+head +post.vert. +L hemipenis,2
+head +vertebrae,2
+left hemipenis,1
"+ser sec inguinal fat body, 2 slides",4
",",3
", 0",860
", 0, 0",118
", 0, Hembra",5
", 1 juvenile",1
", 7 juveniles",1
", Ginandromorfo",2
", Hembra",5016
", Hembra, Hembra",569
", Hembra, Hembra, Hembra",4
", Hembra, Hembra, Hembra, Hembra",1
", Hembra, Macho",1
", Mach",1
", Macho",9549
", Macho, Hembra",2
", Macho, Macho",464
", Macho, Macho, Macho",9
", Marcelo",1
", hembra",1
", macho",2
-,2249
--,42362
0.3,1
0,5728
0 Indeterminado,4
0 female,3
"0 hembras, 1 macho",4
"0 hembras, 14 machos",1
"0 hembras, 2 machos",4
"0 hembras, 4 machos",1
"0 machos, 0 fêmeas",2310
"0 machos, 1 fêmeas",1398
"0 machos, 2 fêmeas",1
0 male,3
0 male | 0 female,5
0 male | 1 female,615
0 male | 14 female,1
0 male | 18 female,2
0 male | 2 female,89
0 male | 3 female,30
0 male | 31 female,1
0 male | 4 female,7
0 male | 5 female,7
0 male | 6 female,1
0 male | 7 female,1
0 male | 8 female,3
0 male | 9 female,2
"0 male, 0 female",3
"0 male, 1 female",437
"0 male, 14 female",1
"0 male, 2 female",47
"0 male, 3 female",8
"0 male, 4 female",2
"0 male, 4 females",1
"0 male, 5 female",1
0 males | 0 females,413
0 males | 1 females,873
0 males | 11 females,1
0 males | 2 females,137
0 males | 3 females,53
0 males | 4 females,25
0 males | 5 females,7
0 males | 6 females,1
0 males | 7 females,6
0 males | 8 females,2
0 males | 9 females,1
"0 males, 0 females",398
"0 males, 1 females",2086
"0 males, 10 females",3
"0 males, 11 females",1
"0 males, 12 females",1
"0 males, 13 females",2
"0 males, 14 females",1
"0 males, 2 females",1364
"0 males, 3 females",1406
"0 males, 4 females",2393
"0 males, 5 females",353
"0 males, 6 females",30
"0 males, 7 females",5
"0 males, 9 females",1
"0 males,0 females",673
"0 males,1 females",965
"0 males,10 females",3
"0 males,2 females",323
"0 males,3 females",87
"0 males,4 females",54
"0 males,5 females",25
"0 males,6 females",9
"0 males,7 females",5
"0 males,8 females",2
"0 males,9 females",2
0 sex not recorded,31
0+,3
"0,",1
0.000694444,10
0.2,2
0.4,2
0.5,1
0.6,1
0.7,1
0.8,1
00 F; 00 M; 00 total,367
00 F; 00 M; 01 total,2956
00 F; 00 M; 02 total,339
00 F; 00 M; 03 total,116
00 F; 00 M; 04 total,56
00 F; 00 M; 05 total,33
00 F; 00 M; 06 total,36
00 F; 00 M; 07 total,24
00 F; 00 M; 08 total,12
00 F; 00 M; 09 total,4
00 F; 00 M; 10 total,8
00 F; 00 M; 11 total,5
00 F; 00 M; 12 total,6
00 F; 00 M; 13 total,4
00 F; 00 M; 14 total,1
00 F; 00 M; 16 total,2
00 F; 00 M; 18 total,1
00 F; 00 M; 19 total,1
00 F; 00 M; 20 total,1
00 F; 00 M; 24 total,2
00 F; 00 M; 25 total,2
00 F; 00 M; 26 total,1
00 F; 00 M; 27 total,1
00 F; 00 M; 28 total,3
00 F; 00 M; 42 total,1
00 F; 01 M; 01 total,524
00 F; 01 M; 02 total,22
00 F; 01 M; 03 total,4
00 F; 01 M; 04 total,2
00 F; 01 M; 05 total,3
00 F; 02 M; 01 total,2
00 F; 02 M; 02 total,48
00 F; 02 M; 03 total,2
00 F; 02 M; 04 total,2
00 F; 03 M; 03 total,23
00 F; 03 M; 04 total,1
00 F; 03 M; 05 total,1
