disposition,reps
4R1-28-I1-B1-D3,1
4R1-28-I1-B1-D4,1
4R1-28-I1-B1-D5,1
4R1-28-I1-B1-D6,1
4R1-28-I1-B1-D7,1
4R1-28-I1-B1-D8,1
4R1-28-I1-B1-D9,1
4R1-28-I1-B1-E1,1
4R1-28-I1-B1-E2,1
4R1-28-I1-B1-E3,1
4R1-28-I1-B1-E4,1
4R1-28-I1-B1-E5,1
4R1-28-I1-B1-E6,1
4R1-28-I1-B1-E7,1
4R1-28-I1-B1-E8,1
4R1-28-I1-B1-E9,1
4R1-28-I1-B1-F1,1
4R1-28-I1-B1-F2,1
4R1-28-I1-B1-F3,1
4R1-28-I1-B1-F4,1
4R1-28-I1-B1-F5,1
4R1-28-I1-B1-F6,1
4R1-28-I1-B1-F7,1
4R1-28-I1-B1-F8,1
4R1-28-I1-B1-F9,1
4R1-28-I1-B1-G1,1
4R1-28-I1-B1-G2,1
4R1-28-I1-B1-G3,1
4R1-28-I1-B1-G4,1
4R1-28-I1-B1-G5,1
4R1-28-I1-B1-G6,1
4R1-28-I1-B1-G7,1
4R1-28-I1-B1-G8,1
4R1-28-I1-B2,3
5 Duplicados en la misma colección,5
5 in collection at ZMUC,20
5-HY-51,1
5/,11
5/HY-34,6
5/HY-50A,1
5/HY-69,2
5/HY-72,1
5/HY-74,4
5/He-11,40
5/Hy-1,64
5/Hy-10,1
5/Hy-11,97
5/Hy-12,42
5/Hy-13,77
5/Hy-16,8
5/Hy-2,3
5/Hy-3,74
5/Hy-33,98
5/Hy-34,132
5/Hy-35,248
5/Hy-36,5
5/Hy-37,142
5/Hy-38,263
5/Hy-39,168
5/Hy-39A,4
5/Hy-4,51
5/Hy-5,73
5/Hy-50A,7
5/Hy-51,320
5/Hy-52,6
5/Hy-53,6
5/Hy-54,4
5/Hy-55,10
5/Hy-56,11
5/Hy-57,7
5/Hy-57A,7
5/Hy-58,161
5/Hy-5A,141
5/Hy-6,47
5/Hy-64,175
5/Hy-67,22
5/Hy-68,284
5/Hy-69,302
5/Hy-7,4
5/Hy-70,59
5/Hy-71,100
5/Hy-72,312
5/Hy-73,87
5/Hy-74,194
5/Hy-75,95
5/Hy-76,182
5/Hy-77,243
5/Hy-78,272
5/Hy-79,136
5/Hy-8,375
5/Hy-80,143
5/Hy-82,1
5/Hy-84,12
5/Hy-85,1
5/Hy-86,17
5/Hy-9,82
5/Hy37,1
5/Tr-1,55
6 Duplicados en la misma colección,1
6 in collection at ZMUC,10
"6 specimens. One specimen retagged R-1327, and the others reassigned R-1857-61. Rehoused into a new jar in Fall 2016. All specimens have field tags. R-1327 - 178687 R-1857 - 178688 R-1858 - 178689 R-1859 - 178690 R-1860 - 178691 R-1861 - 178692",5
6/LE-10,1
6/LE-20,1
6/LE-24A,1
6/LE-3,35
6/LE-41,2
6/LE-6,18
6/LE-67,2
6/LE-7,1
6/LE-80,1
6/LE-9,1
6/LE-90,2
6/LE71,1
6/Le-1,24
6/Le-10,25
6/Le-19,15
6/Le-2,36
6/Le-20,12
6/Le-21,11
6/Le-22,10
6/Le-23,19
6/Le-24,4
6/Le-24A,13
6/Le-25,17
6/Le-26,5
6/Le-27,24
6/Le-3,4
6/Le-32,12
6/Le-34,16
6/Le-35,19
6/Le-37,22
6/Le-38,20
6/Le-4,43
6/Le-41,10
6/Le-43,11
6/Le-44,21
6/Le-46,48
6/Le-5,47
6/Le-51,14
6/Le-52,21
6/Le-54,84
6/Le-55,64
6/Le-56,55
6/Le-57,57
6/Le-57A,12
6/Le-58,49
6/Le-6,2
6/Le-60,20
6/Le-62,50
6/Le-63,64
6/Le-64,61
6/Le-65,67
6/Le-66,149
6/Le-67,16
6/Le-69,44
6/Le-7,23
6/Le-71,46
6/Le-73,14
6/Le-77,9
6/Le-78,27
6/Le-79,2
6/Le-8,31
6/Le-80,27
6/Le-81,140
6/Le-82,339
6/Le-83,35
6/Le-85,35
6/Le-86,37
6/Le-87,36
6/Le-9,54
64 in collection at ZMUC,1
67602 Exchanged RC Murphy July 1907,1
7 in collection at ZMUC,6
7/LE-103,1
7/LE-111,1
7/LE-114,5
7/LE-116,4
7/LE-118,1
7/LE-124,2
7/LE-125,2
7/LE-126,1
7/LE-127,18
7/LE-90,1
7/LE-91,1
7/LE-93,9
7/LE-96,2
7/Le-100,71
7/Le-101,34
7/Le-102,34
7/Le-103,30
7/Le-104,30
7/Le-105,41
7/Le-106,61
7/Le-107,51
7/Le-108,67
7/Le-109,78
7/Le-110,150
7/Le-111,167
7/Le-112,139
7/Le-113,93
7/Le-114,59
7/Le-115A,15
7/Le-115B,118
7/Le-116,6
7/Le-117,158
7/Le-118,25
7/Le-124,67
7/Le-124A,135
7/Le-125,114
7/Le-126,86
7/Le-126A,105
7/Le-127,150
7/Le-127*,72
7/Le-88,32
7/Le-89,44
7/Le-90,62
7/Le-91,17
7/Le-92,84
7/Le-93,66
7/Le-94,50
7/Le-95,53
7/Le-96,61
7/Le-98,94
7/Le-99,43
70% EtOH,3
8 in collection at ZMUC,14
8/L3-175,1
8/LE-137,1
8/LE-139,1
8/LE-140,1
8/LE-141,2
8/LE-142,1
8/LE-143,2
8/LE-144,10
8/LE-145,2
8/LE-148,1
8/LE-149,1
8/LE-154,1
8/LE-175,2
8/LE-183,8
8/LE-184,2
8/LE-187,1
8/LE-190,1
8/Le-127A,41
8/Le-128,35
8/Le-129,55
8/Le-130,22
8/Le-131,14
8/Le-132,27
8/Le-133,28
8/Le-134,33
8/Le-135,37
8/Le-136,17
8/Le-137,41
8/Le-138,16
8/Le-139,29
8/Le-140,15
8/Le-141,23
8/Le-142,19
8/Le-143,22
8/Le-144,15
8/Le-145,13
8/Le-146,25
8/Le-147,41
8/Le-148,18
8/Le-148A,12
8/Le-149,85
8/Le-150,62
8/Le-151,79
8/Le-152,45
8/Le-153,92
8/Le-154,102
8/Le-155,55
8/Le-156,49
8/Le-157,99
8/Le-158,80
8/Le-160,78
8/Le-161,74
8/Le-162,25
8/Le-163,109
8/Le-165,56
8/Le-166,32
8/Le-167,42
8/Le-168,90
8/Le-170,143
8/Le-172,147
8/Le-173,85
8/Le-175,159
8/Le-177,116
8/Le-178,143
8/Le-179,1
8/Le-180,140
8/Le-181,121
8/Le-182,84
8/Le-183,124
8/Le-184,113
8/Le-186,129
8/Le-187,63
8/Le-189,7
8/Le-190,24
8/Le-190A,16
8/Le-191,40
8/Le-192,38
8/Le-193A,40
8/Le-193B,55
8/Le-194,34
8/Le-195,61
8/Le-196,70
887 in collection at ZMUC,1
9 in collection at ZMUC,3
9/LE-205,1
9/LE-220,2
9/LE-223,9
9/LE-224,1
9/LE-226,1
9/LE-228,1
9/LE-229,5
9/LE-231,3
9/LE-236,3
9/LE-239,2
9/LE-239D,1
9/LE-241,1
9/LE-241B,1
9/LE-242,1
9/LE-244,2
9/LE-248,1
9/LE-251,3
9/Le-198,20
9/Le-199,30
9/Le-200,38
9/Le-201,23
9/Le-202,44
9/Le-203,43
9/Le-204,45
9/Le-205,51
9/Le-206,68
9/Le-207,76
9/Le-208,133
9/Le-208A,120
9/Le-209,112
9/Le-210,88
9/Le-210A,57
9/Le-211,90
9/Le-212,54
9/Le-212A,20
9/Le-213,37
9/Le-214,62
9/Le-215,62
9/Le-215A,33
9/Le-216,36
9/Le-217,25
9/Le-218,74
9/Le-219,57
9/Le-220,33
9/Le-221,88
9/Le-221A,21
9/Le-222,50
9/Le-223,28
9/Le-224,90
9/Le-226,56
9/Le-227,46
9/Le-228,17
9/Le-229,40
9/Le-230,29
9/Le-231,26
9/Le-236,24
9/Le-237,19
9/Le-237A,36
9/Le-239,15
9/Le-239A,11
9/Le-239B,12
9/Le-239C,14
9/Le-239D,11
9/Le-240,45
9/Le-241,49
9/Le-241A,10
9/Le-241B,58
9/Le-242,35
9/Le-243,21
9/Le-244,19
9/Le-245,32
9/Le-245A,38
9/Le-247,61
9/Le-247A,74
9/Le-248,103
9/Le-249,72
9/Le-250,57
9/Le-251,78
9/Le-252,36
9000 ft.,2
95% ETOH,1
95% ethanol,2
?,1
? - Princeton Museum -1951,1
"?, to be mounted for Ontario Agricultural College, 1939; original card in file within Family group",24
"ALA, CS, DAV, MEXU, NMC, NY, OSC",1
"ALA, CS, MEXU, NMC, NY, OSC, UTE",1
"ALA, DES, ARIZ, ASC",1
"ALA, NY, OSC, UCR, UTEP",2
"ALA, NY, OSC, UTEP",2
ALBRCIDA(yet to be assessioned),1
"ALTA, ANSM, CAS, CS, DES, MSC, N",1
"ALTA, ARIZ, CS, DES, NMC, UTEP",1
"ALTA, BRIT, CS, CTES, DES, MSC, ",1
