island,reps
Al Ma¶¿rah,4
Al' Arabiyah Island,3
Al-Baḥrayn,2
Al-Sawdå',2
Al-Wastā,1
Al_Hallaniyat_Islands,17
Alabat,31
Alabat I.,29
Alabat Id.,1
Alabat Island,22
Alacran Reef,1
Alaid Island,14
Alam Kotok,38
Alamagan,7424
Alamagan Island,155
Alamagon Island,1
Alameda Co.,3
Alameda Id.,2
Alamos,1
Aland,2
Alaska,24
"Alaska, Kodiak Isl.",3
Albany Island,14
Albatross Island,78
Albay,1
Albelmarle Island,1
Albemarle,5
Albemarle Isl.,2
Albemarle Island,218
Albemarle Island (Isabela),175
Albermarle Island,5
Alboran,3
Alborán,151
"Alborán, Isla de",6
Albrolhas Island,1
Alcatras,2
Alcatraz Id.,7
Alcatraz Island,56
Alcatrazes Island,1
Alcisiras Island,2
Alcock Island,10
Aldabra,1340
Aldabra Atoll,3038
Aldabra I.,2
Aldabra Id,3
Aldabra Is.,1
Aldabra Island,15
Aldabra Islands,7
Aldabra island,2
Alderman Islands,1
Alderney,69
Alegranza,9
Alejandro Selkirk,20
Alejandro Selkirk Island,7
Alengarik Id.,1
Aleoeten,1
Aleoeten archipel,1
Aleun Island,1
Aleutian,6
Aleutian Islands,44
Aleutian Isls.,2
Alexander,62
"Alexander Archipelago, Forrester I.",1
"Alexander Archipelago, Wrangell I.",1
Alexander Island,2
Alexander Selkik Island,1
Alexander Selkirk,9
Alexander Selkirk Is.,26
Algeria,5
Aliare Id.,3
Alibijaban Island,155
Aliguay,212
Aliguay Island,16
Aligway Island,1
Aliite,1
Alinginae Atoll,1
Alite Reef,84
Alkmaar,1
Allen Island,3
Allen Island [Washington],1
Alliford Islets,4
Alligator Reef,2
Allison Island,1
Alluttoq,4
Aloang Island,1
Alofi,217
Alofi Island,1
Alonissos,1
Alor,14
Alor I.,1
Alor Island,30
"Alor, Pulau",57
Alotau,4
Alpes,2
Alpha Island,14
Alphonse,4
Alphonse Atoll,36
"Alphonse Atoll,",1
Alphonse Island,11
Alphonse Isle,1
Alphose atoll,1
Alright Island,1
Als,6
Alta,3
Alta Vela I.,10
Alta Vela Is.,3
Altaï,2
Alto Velo,19
Alu,1
Alupat,2
Amagat,4
Amager Island,3
Amak Island,127
Amakerima,1
Amakevoias Island,1
Amaknak,25
Amaknak Island,108
Amakuak,4
Amakuak Island,6
Amakusa,24
Amakusa Archipel,1
Amakusa Archipelago,2
Amakusa Is.,1
Amakusa Islands,183
Amakusa-Simojima-island,1
Amakusa-jima,4
Amakusa-shimojima,116
Amami,812
Amami ?shima,5
Amami Isl,2
Amami Isl.,1
Amami Island,1
Amami Islands,151
Amami Islands Amami Oshima Island,248
Amami Islands Kikaijima Island,38
Amami Islands Okinoerabu Island,39
Amami Islands Tokunoshima Island,134
Amami Islands Yoroshima Island,13
"Amami Islands, Amami Oshima Island",36
Amami Isls.,631
Amami O Shima,18
Amami O-Shima,10
Amami Ohshima,134
Amami Oshima,132
Amami Oshima (O-shima),1
Amami Oshima (Oosima),14
