geodeticDatum,reps
,467096193
!196,2
"""""Zaire""""",1
"""International spheroid""",13
#D50,1
',1
(+/- 30 Meters),1
(+/- 30 meters),1
(Atlas Fl. Eur.): MH2,1
(GPS),2
"(GPS, WGS 84)",3
(NAD 27),14
(NAD 83),17
(NAD 84),1
(NAD27 CONUS),2
(NAD27),2
(NAD27) North American 1927,10
(NAD83),1
(NAD84),6
(WGS 84),1
(WGS84),7
(WGS84) World Geod,4
(WGS84) World Geodetic System 1984,148481
(WSG 84),2
-27.93345,1
-27.94917,2
-27.96788,2
-270.833.333,3
-28.05,1
-28.0569,1
-28.0792,1
-28.0958,2
-28.1903,1
-28.22833,1
-28.275,1
-28.2868,1
-28.37317,4
-28.44167,1
-28.51301,1
-28.5167,1
-28.55,1
-28.55697,1
-28.644,2
-28.655583,1
-28.65962,1
-28.77417,2
-28.84248,1
-28.84521,3
-28.98811,1
-29.08333,1
-29.1,6
-29.13317,3
-29.16667,1
-29.19,1
-29.26,1
-29.26333,1
-29.26724,2
-29.26774,3
-29.27631,3
-29.41667,1
-29.93167,1
-3.0255,4
-3.1192,1
-3.143291667,1
-3.14703398,1
-3.1533616667,1
-3.66812,1
-3.7536,4
-3.980739,2
-3.9843,4
-30.00169,1
-30.18333,1
-30.3167,1
-30.4417,1
-30.485,3
-30.53833,4
-30.54833,4
-30.6583,1
-30.66613,6
-30.86667,2
-30.9861,1
-31.04156,6
-31.05985,7
-31.07667,2
-31.08006,11
-31.08009,3
-31.08013,10
-31.08528,2
-31.0958,1
-31.18967,2
-31.375,1
-31.62648,1
-31.75,2
-31.77113,10
-31.79167,1
-31.88333,1
-32.2333,2
-32.23333333,1
-32.30732,1
-32.34326,1
-32.34582,3
-32.39922,24
-32.43333,1
-32.47011,4
-32.61167,1
-32.71052,5
-32.77333,4
-32.81668,1
-32.84918,1
-32.86667,4
-33.00861,7
-33.18333,2
-33.30448,30
-33.3833,1
-33.53265,1
-33.74055,1
-33.7583,1
-33.7811,1
-34.00404,1
-34.09315,1
-34.17,3
-34.395,3
-34.43791,1
-34.90688,2
-34.97258,7
-35.0180556,3
-35.8594444,1
-36.93333,5
"-37,056692",1
-37.28333,1
-37.3227,4
-37.51667,1
-37.83934,1
-38.8963889,1
-38.90483,3
-4.003514,2
-4.09889,1
-4.48333,1
-4.71667,2
-4.75,3
-4.7963,1
-4.8007,1
-4.8025,1
-4.81467,1
-4.8713,1
-4.8823,1
-4.8888,1
-4.9262,1
-40.1997222,1
-41.04797,1
-41.0497222,1
-41.10092,1
-41.16003,1
-41.21633,1
-43.05709,3
-43.449142,3
-43.476328,1
-43.50912,14
-43.531018,2
-43.574795,1
-43.640393,2
-43.760737,1
-43.865102,1
-43.8973,20
-43.96468,1
-43.968597,4
-44.030845,4
-44.05,1
-44.060915,3
-44.122883,1
-44.1228833333333,1
-44.200892,1
-44.32402,1
-44.56179,1
-44.75,2
-44.845772,2
-44.9,1
-44.94129,2
-45.238018,1
-45.27298,1
-45.31998,1
-45.354453,1
-45.40469,2
-45.60638,1
-46.291487,1
-46.3165,1
-46.556162,2
-46.8205556,1
-46.919462,3
"-47,55",1
-47.40861,1
"-48,62",1
-48.66667,1
"-49,35",1
-5.1027,1
-5.1149,1
-5.1307,1
-5.1373,1
-5.1387,1
-5.1418,1
-5.1511,2
-5.1548,1
-5.1723,1
-5.253,1
-5.2539,1
-5.2573,1
-5.29867,1
-5.4411,1
-5.4617,1
-5.578611,1
-5.67483,1
-5.6915,2
-5.71733,3
-5.79667,1
-5.8874,1
-5.8935,1
-5.905,1
-5.965,1
-5.98,1
"-51,70",2
"-51,73",2
-52.01667,3
-52.25,1
-52.99833,1
"-53,58",1
-53.70667,1
-53.91167,1
"-54,13",1
"-54,43",1
-54.23333,1
-54.59667,1
-54.65,1
-54.70167,2
-54.89667,2
-54.91667,1
"-55,88",1
-55.0355833,1
-55.17,1
-55.30833,1
-55.385,3
-55.5225833,1
"-56,38",2
-56.15,1
-57.65333,3
-57.7,1
-57.70142,3
-57.82308,1
-57.9263,1
-578.275.028,6
-58.06363,2
-58.45597,2
-58.52462,2
-58.54168,1
-58.62825,2
-58.71982,2
-58.81167,1
-58.83415,2
-58.85027,1
-58.875,1
-58.96728,2
"-59,97",1
-59.012889,1
-59.2657694,2
-59.48743,1
-59.66422,2
-59.9163889,1
-59.9195722,4
-59.9209778,2
-59.9223806,18
-59.9237861,8
-59.9251083,10
-59.9265111,8
-59.9279139,2
-59.9284944,6
-59.9298972,6
-59.9313028,5
-59.9326222,4
-59.9340278,14
-59.9354306,2
-59.9374139,8
-59.9401389,3
-59.9412139,4
-59.9415417,9
-59.9425333,3
-59.9428639,5
-59.9442694,15
-59.9463333,2
-59.9476556,8
-59.9490583,4
-59.9499667,6
-59.9503806,8
-59.9513722,12
-59.9517833,8
-59.9531056,15
-59.9551694,6
-59.9554833,6
-59.9565750,15
-59.9578972,3
-59.9588861,4
-59.9593000,1
-59.9603528,5
-59.9606222,8
-59.9620250,7
-59.9691944,4
-59.9731,2
-59.97923,2
-59.9877778,1
-59.99717,2
-6.19835,1
-6.2,1
-6.2002,1
-6.200666667,1
-6.2034,1
-6.204433333,1
-6.24167,1
-6.2511,1
-6.2687,1
-6.4527,1
-6.4636,1
-6.4853,1
-6.53333,1
-6.55,2
-6.71667,1
-6.7517,1
-6.78333,1
-6.8833,4
-60.09922,2
-60.15915,1
-60.21195,1
-60.3569444,1
-60.4459083,1
-60.49683,1
-60.50718,1
-60.7032778,1
-60.8225833,1
-61.05,1
-61.0778,1
-61.4465250,2
-61.4465417,3
-61.4554861,2
-61.4555083,1
-61.4555222,1
-61.4555472,3
-61.4644944,1
-61.4645222,3
-61.4645500,4
-61.4735167,1
-61.4735444,1
-61.4824944,2
-61.4825194,1
-61.4825361,1
-61.4825444,1
-61.5594500,1
-61.5630000,2
-61.5655833,1
-61.5736000,1
-61.5875000,4
-61.9296667,1
-61.9359500,1
"-62,42",1
"-62,80",1
-62.2627778,2
-62.3050000,2
"-63,00",1
"-63,28",1
-63.8841389,3
-65.03855,1
-65.3036111,2
"-66,17",1
"-66,42",1
-66.0667,1
"-68,5",1
"-69,400714",1
-7.07083333333333,1
-7.0733,1
-7.085,1
-7.23717,1
-7.3011,1
-7.306,1
-7.33333333333333,1
-7.36863,1
-7.385,2
-7.39773,1
-7.4,1
-7.4169,2
-7.4183,1
-7.433889,1
-7.4339,2
-7.46417,1
-7.500833,1
-7.6508,2
-7.685556,1
-7.700278,1
-7.8119,2
-7.85,1
-7.8683,1
-7.90967,2
-7.93667,2
-7.9505,1
-701.311.111,4
-702.280.556,1
-705.797.222,4
-706.316.667,7
-73.0902778,2
-78.0845,1
-79.6143,1
-79.6607,1
-79.8971,1
-79.8972,1
-79.8974,1
-79.8986,1
-8.055,1
-8.0916,1
-8.1006,1
-8.11667,1
-8.16667,1
-8.19833,1
-8.19883,1
-8.23572,1
-8.27128,1
-8.28067,2
-8.35,1
-8.53818,1
-8.56667,1
-8.81907,2
-8.8595,1
-8.86983,3
-8.95233,2
-80.4209,1
-80.4212,3
-80.4221,1
-80.4222,1
-80.4633,1
-80.4637,1
-80.4643,1
-80.4654,1
-80.4655,1
-80.4664,1
-80.4695,1
-80.5179,1
-80.5181,3
-80.5183,1
-80.5184,1
-80.5194,1
-80.6315,1
-80.6323,1
-80.6379,1
-80.6405,1
-80.6417,1
-80.6666,1
-80.673,1
-80.6731,1
-80.6732,2
-80.6736,2
-80.6737,1
-80.8973,2
-80.8976,1
-80.914,1
-80.9143,1
-80.9146,1
-80.9147,1
-80.9148,1
-80.9149,3
