waterbody,reps
,1382431765
"""",1
"""Arrecife Plan Parejo, Mar Caribe""",1
"""Arroyo Bobo, cuenca Caribe""",14
"""Arroyo Camarón, cuenca Caribe""",14
"""Arroyo Cascajo, cuenca Caribe""",13
"""Arroyo Chinulito, cuenca Caribe""",9
"""Arroyo Chiquito, cuenca Caribe""",22
"""Arroyo Corte alto, cuenca Caribe""",18
"""Arroyo El Palmar, cuenca Caribe""",10
"""Arroyo Grande, cuenca Caribe""",6
"""Arroyo Macajan, cuenca Caribe""",3
"""Arroyo Macumba, cuenca Caribe""",12
"""Arroyo Mondongo, cuenca Caribe""",12
"""Arroyo Palenquito, cuenca Caribe""",8
"""Arroyo Pita bajo, cuenca Caribe""",20
"""Arroyo Rico, cuenca Caribe""",14
"""Arroyo Roseta, cuenca Caribe""",17
"""Arroyo Torobé, cuenca Caribe""",14
"""Arroyo del medio, cuenca Caribe""",2
"""Bahía El Uno, Mar Caribe""",22
"""Bahía Santa Marta, Mar Caribe""",1
"""Cañada Amalfi, cuenca Magdalena""",1
"""Caño Angosturas, cuenca Orinoco""",1
"""Caño Barranca, cuenca Orinoco""",1
"""Caño Chageradó, cuenca Atrato""",47
"""Caño Correntoso, cuenca Orinoco""",1
"""Caño Desiderío, cuenca Magdalena""",5
"""Caño El chorro, cuenca Atrato""",11
"""Caño Emma, cuenca Orinoco""",1
"""Caño Flauta, cuenca Orinoco""",2
"""Caño Guaguandó, cuenca Atrato""",44
"""Caño Jorobado, cuenca Magdalena""",1
"""Caño Madrid, cuenca Magdalena""",3
"""Caño Manatíes, cuenca Atrato""",7
"""Caño Muñoz, cuenca Magdalena""",4
"""Caño Negro, cuenca Magdalena""",6
"""Caño Ojinegro, cuenca Magdalena""",2
"""Caño Opón, cuenca Magdalena""",8
"""Caño Platanal, cuenca Orinoco""",1
"""Caño Pozuelo, cuenca Magdalena""",1
"""Caño San Silvestre, ciénaga El Llanito, cuenca Magdalena""",9
"""Caño San Silvestre, cuenca Magdalena""",6
"""Caño Tumaradó, cuenca Atrato""",1
"""Caño Viloria, cuenca Magdalena""",1
"""Caño inundable, afluente""",1
"""Caño, afluente río""",23
"""Caño, afluente, laguna""",4
"""Charca de Guarinocito, cuenca Magdalena""",7
"""Ciénaga Aguas negras, cuenca Atrato""",62
"""Ciénaga Baquero, cuenca Magdalena""",2
"""Ciénaga Barbacoas, cuenca Magdalena""",1
"""Ciénaga Bija, cuenca Magdalena""",10
"""Ciénaga Cachimbero, cuenca Magdalena""",51
"""Ciénaga Canaletal, cuenca Magdalena""",3
"""Ciénaga Cantagallo, cuenca Magdalena""",8
"""Ciénaga Chibuga, cuenca Atrato""",78
"""Ciénaga Chiquero, cuenca Magdalena""",8
"""Ciénaga Chiquita, cuenca Magdalena""",3
"""Ciénaga El Billete, cuenca Cauca""",3
"""Ciénaga El Clavo, cuenca Magdalena""",3
"""Ciénaga El Contento, cuenca Magdalena""",5
"""Ciénaga El Encanto, cuenca Magdalena""",8
"""Ciénaga El Llanito, caño del Deseo, cuenca Magdalena""",8
"""Ciénaga El Llanito, cuenca Magdalena""",17
"""Ciénaga El Opón, cuenca Magdalena""",4
"""Ciénaga Grande de Lorica, cuenca Sinú""",35
"""Ciénaga Juan Esteban, cuenca Magdalena""",2
"""Ciénaga La Ciénaguita, cuenca Atrato""",2
"""Ciénaga La Envidia, cuenca Magdalena""",1
"""Ciénaga La Ilusión, cuenca Cauca""",23
"""Ciénaga La Juanona, cuenca Magdalena""",9
"""Ciénaga La Pequeña, cuenca Magdalena""",6
"""Ciénaga La Represa, cuenca Magdalena""",2
"""Ciénaga La Tigrera, cuenca Magdalena""",9
"""Ciénaga La Victoria, cuenca Magdalena""",3
"""Ciénaga La grande, cuenca Atrato""",8
"""Ciénaga Morales, cuenca Magdalena""",17
"""Ciénaga Pajaral, cuenca Magdalena""",6
"""Ciénaga Palagua, cuenca Magdalena""",1
"""Ciénaga Palo Grande, cuenca Magdalena""",2
"""Ciénaga Potrero Nuevo, cuenca Magdalena""",10
"""Ciénaga Pozuelo, cuenca Magdalena""",22
"""Ciénaga Puerto Colombia, cuenca Cauca""",27
