sampleSizeUnit,reps
no. birds-% change from 1st count.,126
no. of whales per 10km survey effort,63
number of adults,63
number of fish,2457
number of individuals,567
number of nests/km2,630
number of prespawners,63
number of seals,126
pairs,441
parcela,1711
per sighting (undefined,51065
photo,26347
photo per 45 seconds,12
pitfall trap | mm for  the diameter of pitfall trap | mm for the deep of pitfall trap | hours during the day | hours during the night,30
plot | square_centimetre,16
point sampling,17
population estimate,63
posterior mean estimates of population size for females and males,63
posterior mean estimates of population size for males and females,63
repetition,23
seconds of electricity,176
simulated howls,161
sites,152
spawning biomass (kilo tons),63
square centimeter,140
square centimeters,1462
square kilometre,6209
square meter,171525
square meter/sampling plot,40914
square meters,337979
square metre,618850
square metres,268627
square sentimeter,676
square_centimetre,45759
square_centimetre | plot,7
square_kilometre,1031
square_metre,12351260
square_metre plot,104
square_metre | centimetre depth,9
square_metre | day(s) | hours per day | pitfall trap,44
square_metre | zones | plots | square_metre plot,230
км,50
