island,reps
,18744508
New Guinea,71581
Hispaniola,38852
Borneo,23658
Oahu,21026
Bougainville Island,20490
Madagascar,19252
Bermuda,14603
Luzon,11394
Java,10571
Saint Lawrence Island,9859
Sumatra,9658
Trinidad,9615
New Guinea Id.,9063
Negros Id.,9051
Luzon I.,8590
Luzon Island,8041
Jamaica,7976
Sulawesi,7686
Long Island,7349
Cuba,7078
Mindanao Island,6764
Honshu,5142
Mindanao Id.,3884
Kapingamarangi Atoll,3865
Tobago,3740
Vancouver Island,3730
Hawaii,3666
Mindanao,3565
Mindoro,3542
Negros,3492
Santa Cruz Island,3485
Guam,3405
Puerto Rico,3332
Mindanao I.,3272
Viti Levu I.,3262
Vancouver,3207
Maui,3196
Samar Island,3163
Taiwan Id.,3105
Enewetak Atoll,2936
Prince of Wales Island,2900
Taiwan,2790
Celebes,2678
Molokai,2650
Ifalik Atoll,2620
New Caledonia Id.,2492
madagascar,2482
Sarichef Island,2471
Little Diomede Island,2469
Palawan,2467
Dominica,2433
Bohol Id.,2427
Luzon Id.,2423
Negros Island,2418
Singapore,2418
Chichagof Island,2402
Bikini Atoll,2384
Guadalupe,2311
Mindoro Island,2265
Greenland,2236
Bougainville Id.,2227
Yap I.,2211
Curacao,2202
Mauritius,2190
Guadalcanal Island,2183
Panay,2071
Solomon Islands,2034
Honshu Id.,1984
Kauai,1966
Carrie Bow Cay,1945
Tahiti,1903
Lord Howe,1883
Saint Croix,1880
New Britain,1796
Palawan Island,1779
Palawan Id.,1712
Aldabra Atoll,1711
Hokkaido,1667
Saint Vincent,1642
Leyte Island,1547
Babelthuap I.,1493
Pohnpei Island,1490
Palawan I.,1471
Mindoro Id.,1459
Raroia Atoll,1437
Moorea,1413
Laysan,1409
Norfolk,1401
Vanua Levu I.,1368
Amami-O-Shima Id.,1348
New Providence,1346
nouvelle-calédonie,1332
Ambon,1315
Helen Reef,1313
Wrangell Island,1296
Guadalcanal,1268
Réunion,1239
Tuamotu Ids,1209
Baranof Island,1204
Viti Levu,1195
One Tree Island,1187
Cebu Id.,1171
Koror I.,1169
Grand Cayman,1156
Sardinia,1143
Wallis Island,1140
Revillagigedo Island,1138
Saint Thomas,1137
Bohol Island,1125
Okinawa Id.,1103
moorea,1101
Tasmania,1087
Diego Garcia Atoll,1083
Bonaire,1070
Saint Croix Island,1067
Mitkof Island,1066
Madagascar Id.,1064
Upolu,1055
