countrycode,reps
,10963063
US,3746399
AU,1218048
MX,498359
PE,156790
PG,149514
BR,134591
CA,128844
CR,105005
CO,99592
ID,85040
VE,81837
EC,80968
IN,77450
NO,74353
AR,74204
KE,69995
BO,69657
PH,59206
MG,56981
CD,55485
USA,53699
GB,52319
SE,49981
PA,49202
FR,47719
GT,47585
ZA,47200
BE,38704
CM,37215
CN,35589
UG,35336
ES,34648
MY,33800
HN,32397
PY,31916
RU,26317
GY,25497
NC,24826
TZ,23491
CL,22743
GF,20851
CU,19941
CH,19740
SB,19361
NA,17832
JP,17603
AO,17503
DO,16585
DE,16530
VU,15790
NI,15252
AQ,15162
PF,14580
ET,14117
BS,13265
TH,13147
TT,12954
SV,12637
NZ,11882
NG,11870
BZ,11732
PR,11683
NL,11278
JM,11190
IL,11004
BHS,10952
IT,10947
FJ,10688
PK,10343
VN,9861
ZM,9687
ZW,9593
EG,9565
SR,9536
CI,9126
SC,9124
TW,8875
GA,8767
GN,8685
SN,8387
MA,8358
MH,8196
CG,8166
LA,8071
BW,8008
BRA,7743
DZ,7485
GH,7207
CF,7011
MW,6645
IR,6207
MZ,6128
MM,5992
SD,5843
LK,5790
LR,5777
TN,5338
IS,5120
DK,4970
PT,4950
TF,4849
PER,4806
HT,4417
NP,4390
FI,4303
GL,3993
KI,3795
GR,3771
MU,3460
TD,3415
COL,3364
MN,3360
AF,3295
BD,3269
CZ,3228
FM,3218
RW,3207
KR,2947
GUY,2934
HR,2917
THA,2887
SL,2878
AS,2837
UA,2826
VC,2757
KH,2753
SG,2748
GU,2661
ML,2591
FK,2537
RE,2532
MEX,2492
UY,2470
PW,2454
MP,2426
WS,2404
VI,2379
SO,2330
AUS,2324
?,2296
SA,2273
ST,2223
UM,2207
BJ,2199
MR,2185
TO,2048
TR,2034
KW,2033
AT,2004
DM,1931
OM,1839
PAN,1804
NE,1779
BI,1739
HU,1714
BF,1714
RO,1686
BMU,1638
KY,1601
MQ,1587
NF,1567
CK,1560
LC,1560
GP,1551
LY,1424
ER,1343
IE,1332
PHL,1325
BM,1315
PN,1288
HTI,1238
GQ,1233
GS,1232
ZAF,1230
PS,1204
Kilolo District,1199
GM,1193
PL,1171
KM,1149
CY,1128
IND,1096
CV,1060
CHN,1026
SY,991
GD,986
VG,982
BN,967
AI,950
AG,934
TG,917
??,908
BB,878
CRI,825
ECU,824
PRY,820
YE,816
TC,780
IDN,760
KZ,759
ME,744
MV,725
CX,722
IQ,721
CYM,713
BQ,665
CW,661
LKA,659
WF,634
SZ,632
FO,560
BT,560
SUR,553
DJ,548
BH,547
CC,545
LB,535
KG,535
JPN,500
SH,481
AD,472
CAN,448
ITA,447
AM,443
BA,442
NZL,426
MS,410
AE,381
TL,367
HK,352
SJ,350
TM,341
AW,336
KN,323
MTQ,323
BG,323
MNG,321
GRD,308
MK,304
JO,283
FJI,277
JAM,275
SLB,270
DOM,269
MT,268
GW,266
CUB,265
MOZ,250
RS,249
LU,238
YT,237
AIA,233
MDG,231
LS,225
WSM,219
HND,216
UZ,211
AZ,210
SX,200
ARG,186
KP,183
GE,180
EE,178
CHL,173
DMA,166
LBN,160
AL,152
KEN,152
NIC,142
BRB,132
URY,128
GUF,127
SK,126
PAK,125
GTM,124
SI,112
GUM,112
UGA,111
ASM,107
BL,106
SOM,99
HM,99
LV,99
SGP,93
TV,91
ROU,84
TJ,84
COK,84
AGO,82
SS,81
NR,80
IO,75
ISR,75
ZMB,75
TON,74
CMR,74
MHL,68
SYC,66
LT,66
BY,65
QA,62
Mvomero District,60
BWA,54
IRL,54
MUS,52
BHR,52
MYS,50
BV,47
YU,47
GI,47
COM,45
EH,45
NPL,41
HO,41
PM,41
FRA,40
SLE,39
LBR,37
NU,36
GAB,36
AUT,34
NGA,32
MWI,31
SWE,31
ETH,27
COG,27
TUN,26
SLV,26
CHE,25
LI,25
AN,24
IM,24
DEU,22
FIN,21
GRL,21
TUR,20
SDN,20
ZR,20
MD,19
EGY,19
NFK,18
GIN,18
BLZ,18
PNG,17
ATA,17
OMN,16
GBR,15
GHA,14
TK,14
PI,14
NOR,13
SEN,13
NCL,13
Kigoma District,10
ESP,9
JE,9
TTO,9
KWT,8
GRC,7
SAU,7
HKG,6
DZA,6
MC,5
MLI,5
HUN,5
Simanjiro District,5
GLP,4
Mpwapwa District,4
PRT,3
Ludewa District,3
IRQ,3
TCD,3
NLD,3
Kisarawe District,2
CXR,2
SU,2
QAT,2
MAR,2
Sumbawanga District,2
MSR,2
KHM,1
Karatu District,1
Mpwapwa,1
STP,1
Us,1
NAM,1
POL,1
HRV,1
SVN,1
BGR,1
Muheza District,1
PYF,1
MO,1
MF,1
MMR,1
GNQ,1
MDV,1
XK,1
CYP,1
BGD,1
